comparison,pathway,NES,size,pval,padj,leadingEdge
R1_GSE51588_Medial_vs_Lateral,HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.77081732499293,193,2.29710833994208e-05,0.000104414015451913,BANK1;P2RY14;IRF4;CCL2;TNFAIP2;IL10RA;SLC25A28;APOL6;PELI1;BATF2;BST2;CD74;PML;TXNIP;EIF4E3;PTPN6;TNFSF10;STAT2;NLRC5;NCOA3;FGL2;GBP4;GZMA;NOD1;KLRK1;IRF8;XCL1;IL15;SECTM1;TNFAIP3;ISOC1;XAF1;CCL5;IRF1;ITGB7;CD38;SP110;CD69;NAMPT;OGFR;TRIM25;PARP12;HLA-B;RNF213;TDRD7;DHX58;LCP2;VCAM1;HLA-DRB1;ADAR;SSPN;HLA-G;HLA-DMA;SLAMF7;MX1;ISG20;PIM1;ZNFX1;RBCK1;STAT4;CD40;PTPN1;SOCS3;FPR1;IL2RB;CXCL10;CXCL9;IFI44L;IFIT3;TAPBP;GCH1;ARID5B;CASP8;GPR18;RSAD2;IFIT2;OASL;JAK2;SAMD9L;CMPK2
R1_GSE51588_Medial_vs_Lateral,HALLMARK_HEME_METABOLISM,-1.74197324743135,191,3.7040352779262e-05,0.000154334803246925,CAT;C3;EZH1;SELENBP1;BTG2;TNS1;GCLC;DAAM1;RCL1;TAL1;ALDH1L1;KHNYN;EPB41;OPTN;ENDOD1;PC;BNIP3L;ATP6V0A1;UCP2;RNF19A;GYPC;RANBP10;KLF3;NFE2L1;LRP10;RBM38;PDZK1IP1;ACSL6;HAGH;FOXO3;MGST3;SIDT2;MXI1;EPOR;XK;TNRC6B;VEZF1;RBM5;NEK7;LPIN2;PICALM;CROCCP2;ERMAP;ADD1;KEL;CTNS;XPO7;RNF123;MAP2K3;NR3C1;FOXJ2;KAT2B;CCND3;PIGQ;SPTA1;PPOX;RHD;USP15;CCDC28A;BLVRB;GAPVD1;TSPAN5;SEC14L1;SLC25A37;BCAM;CAST;RAD23A;EPB42;MKRN1;GCLM;ICAM4;ALAD
R1_GSE51588_Medial_vs_Lateral,HALLMARK_ANGIOGENESIS,2.07782200760389,36,5.18701557091211e-05,0.000199500598881235,S100A4;COL3A1;VCAN;POSTN;LUM;COL5A2;MSX1;KCNJ8;TIMP1;SPP1;FSTL1;ITGAV;APP;SLCO2A1;PDGFA;APOH;VAV2;CXCL6;JAG1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_XENOBIOTIC_METABOLISM,-1.69660592040276,195,9.82228234894151e-05,0.000350795798176483,MAOA;SLC1A5;FAH;CAT;ADH1C;CD36;NQO1;ALDH2;RBP4;TTPA;EPHX1;GCLC;NDRG2;AKR1C3;ACOX1;ABHD6;ETFDH;IDH1;ECH1;VNN1;ABCD2;PC;ACOX2;JUP;DDAH2;SPINT2;ALDH9A1;FMO3;MAN1A1;CES1;CYP4F2;CYB5A;BPHL;POR;IRF8;PDK4;LCAT;HACL1;ETS2;DCXR;RETSAT;MTHFD1;SLC46A3;PGD;GABARAPL1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_BILE_ACID_METABOLISM,-1.77092329343941,111,0.000121968364350377,0.000406561214501258,RXRA;CAT;LIPE;AR;ABCA5;PECR;PEX19;ACSL1;NR3C2;IDH1;ABCA6;PEX11A;ABCA8;ABCD2;OPTN;ACSL5;ABCA3;ALDH9A1;EPHX2;BBOX1;LONP2;ABCA4;HACL1;RETSAT;ISOC1;LCK;RXRG;MLYCD;CH25H;RBP1;BCAR3;ABCA9
R1_GSE51588_Medial_vs_Lateral,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.75486297942244,105,0.000434145516891797,0.00135670474028687,PDIA5;FKBP14;KDELR3;SSR1;SRPRB;WIPI1;ALDH18A1;EIF4A1;EXOSC4;YIF1A;ARFGAP1;MTHFD2;EIF4EBP1;EXOSC1;SPCS3;PDIA6;CALR;ATF6;NPM1;LSM1;SEC31A;ERN1;IGFBP1;EIF4E;DKC1;HSP90B1;ATP6V0D1;SLC7A5;ASNS;BANF1;NOP56;HSPA5;SEC11A;SERP1;SLC30A5;EXOSC9;CHAC1;NHP2;HYOU1;DDX10;EIF2AK3;DNAJB9;XPOT;ZBTB17;PSAT1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_DNA_REPAIR,1.6230738849041,139,0.00053062104959189,0.0015606501458585,NME1;RAD51;ITPA;APRT;TYMS;TARBP2;SF3A3;SUPT4H1;SAC3D1;ZWINT;PRIM1;ERCC1;SEC61A1;HPRT1;TAF10;DAD1;POLR2G;POLR2H;RBX1;TMED2;PCNA;POLH;RFC4;IMPDH2;GUK1;PNP;SMAD5;MPG;GTF2H1;GTF2H3;CANT1;ADA;TAF12;FEN1;RPA3;AK1;RAE1;CDA;COX17;DUT;UMPS;GTF2A2;GTF3C5;RFC3;DDB2;NFX1;ERCC8;POLR1D;PDE4B;POLR2J;CCNO;EDF1
R1_GSE51588_Medial_vs_Lateral,HALLMARK_COAGULATION,1.60178913798593,136,0.000860739235115458,0.00239094231976516,PRSS23;F12;BMP1;MMP2;CAPN5;HTRA1;MMP14;SPARC;C1R;TIMP1;MMP11;C2;APOA1;F2;PROS1;CFI;ARF4;PLAU;CFB;PROC;ITGB3;COMP;FYN;FN1;LAMP2;PREP;S100A13;SERPINE1;CD9;ITGA2;C1S;SH2B2;FGA;HRG;ADAM9;TMPRSS6;MMP9;WDR1;DPP4;RABIF;SERPING1;C8B;CTSK;APOC1;PLG;F3
R1_GSE51588_Medial_vs_Lateral,HALLMARK_MYC_TARGETS_V2,1.61768302196278,57,0.00621832788298,0.0163640207446842,BYSL;CBX3;CDK4;SRM;GNL3;SORD;NPM1;PLK1;NOP16;TFB2M;MCM4;IPO4;PLK4;AIMP2;TMEM97;NOP56;PRMT3;MRTO4;GRWD1;MPHOSPH10;SLC19A1;NIP7
R1_GSE51588_Medial_vs_Lateral,HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.54713722181742,92,0.00691935023304455,0.0172983755826114,SLC25A28;BATF2;BST2;CD74;TXNIP;STAT2;GBP4;IL15;NCOA7;IRF1;UBA7;SP110;OGFR;TRIM25;PARP12;TDRD7;CNP;DHX58;ADAR;HLA-C;MX1;ISG20;SELL;CXCL10;IFI44L;IFIT3;CASP8;LPAR6;RSAD2;IFIT2;TMEM140;OASL;SAMD9L;CMPK2;GBP2;OAS1;CSF1;PARP14;GMPR;MOV10;PLSCR1;RNF31;IL7;NUB1;IRF9;TRIM26
R1_GSE51588_Medial_vs_Lateral,HALLMARK_IL2_STAT5_SIGNALING,-1.3988081818727,193,0.012210568536817,0.0290727822305168,ITIH5;LRIG1;CDKN1C;SLC1A5;FAH;BCL2;DHRS3;TNFRSF4;HK2;AHNAK;MAP3K8;GPX4;IRF4;IL10RA;TRAF1;POU2F1;HOPX;SHE;TNFSF10;NRP1;IKZF4;SPRY4;RHOB;CST7;NCOA3;SCN9A;FGL2;GBP4;IRF8;SPRED2;SH3BGRL2;CAPN3;NFKBIZ;PRKCH;GABARAPL1;CD81;CD83;TNFRSF21;EOMES;MAP6;KLF6;DENND5A;IL13;MAFF;SLC2A3;FLT3LG;MXD1;CCND3;TLR7;CD79B;RRAGD;CD48;PIM1;GPR65;MYO1C;HIPK2;LTB;IFNGR1;SELL;IGF1R;IL2RB;ENO3;S100A1;CXCL10
R1_GSE51588_Medial_vs_Lateral,HALLMARK_APICAL_JUNCTION,1.348689493307,192,0.0156092982197594,0.0354756777721804,THY1;DMP1;CERCAM;VCAN;CD276;MPZL1;BMP1;MMP2;CRAT;MDK;TGFBI;PARD6G;COL17A1;CDH6;SHROOM2;CDH15;ACTG2;COL9A1;NRAP;TNFRSF11B;CD86;B4GALT1;CLDN7;PFN1;COL16A1;ALOX15B;ARPC2;SRC;DSC3;ICAM5;CD99;ITGA9;CAP1;ITGA2;MAPK13;DSC1;ATP1A3;TRO;VAV2;ADAM9;LAMC2;MPZL2;NEGR1;LAYN;MMP9;ADAM23;VASP;KRT31;YWHAH;BAIAP2;PTK2;RASA1;MYL12B;EGFR;ACTB;ACTG1;GRB7;PKD1;NF2
R1_GSE51588_Medial_vs_Lateral,HALLMARK_SPERMATOGENESIS,1.38692503826498,131,0.0226475089580929,0.0492337151262888,CDKN3;SCG5;BUB1;CCNB2;KIF2C;CDK1;TTK;RPL39L;GSTM3;SNAP91;EZH2;DBF4;TSN;NAA11;CLPB;GFI1;TNP1;SLC12A2;RFC4;CRISP2;NEFH;AURKA;IDE;ADCYAP1;SLC2A5;PSMG1;DPEP3;TUBA3C;ARL4A;HSPA2;GMCL1;DMRT1;SYCP1;GAPDHS;GRM8;GSG1;TNNI3;NF2;TCP11;CHFR;LDHC;HOXB1;AKAP4;PACRG;ADAD1;HTR5A;MTNR1A;NEK2;DNAJB8;MEP1B
