gene,outcome,tissue,n_snp,IVW_b,IVW_se,IVW_p,MRRAPS_b,MRRAPS_se,MRRAPS_p,Median_b,Median_se,Median_p,Egger_b,Egger_int,Egger_int_p,achieved_power,MDE,N_factor_OR1.1
TCF7L1,ART,Artery_Aorta,165,0.0325639649883181,0.00203723254958993,0,0.0338929555749225,0.00202012578525083,0,0.0296315338745509,0.00324028760804947,0,-0.116215083172871,0.066648447387946,0,1,0.00570748059678975,0.00358600020259447
TCF7L1,KNEE,Artery_Aorta,165,0.0325639649883181,0.00203723254958993,0,0.0338929555749225,0.00202012578525083,0,0.0296315338745509,0.00324028760804947,0,-0.116215083172871,0.066648447387946,0,1,0.00570748059678975,0.00358600020259447
TCF7L1,COX,Artery_Aorta,165,0.0325639649883181,0.00203723254958993,0,0.0338929555749225,0.00202012578525083,0,0.0296315338745509,0.00324028760804947,0,-0.116215083172871,0.066648447387946,0,1,0.00570748059678975,0.00358600020259447
GATAD2A,ART,Whole_Blood,1083,-0.0329712824525481,0.00154335871465619,0,-0.0334334903345946,0.00100692004765425,0,-0.0247799298606866,0.00445320017193057,2.62872124068281e-08,-0.00725896370747452,-0.0323623692497424,0,1,0.00432385096122661,0.00205808285138782
GATAD2A,KNEE,Whole_Blood,1083,-0.0329712824525481,0.00154335871465619,0,-0.0334334903345946,0.00100692004765425,0,-0.0247799298606866,0.00445320017193057,2.62872124068281e-08,-0.00725896370747452,-0.0323623692497424,0,1,0.00432385096122661,0.00205808285138782
GATAD2A,COX,Whole_Blood,1083,-0.0329712824525481,0.00154335871465619,0,-0.0334334903345946,0.00100692004765425,0,-0.0247799298606866,0.00445320017193057,2.62872124068281e-08,-0.00725896370747452,-0.0323623692497424,0,1,0.00432385096122661,0.00205808285138782
BCL6,ART,Skin_Not_Sun_Exposed_Suprapubic,6,0.0479800583463759,0.0294349366752918,0.103093515927039,0.0484826476989704,0.0116864506910395,3.34484921260536e-05,0.0550240095337127,0.00839332239537869,5.53856960294752e-11,,0.0479800583463759,4.01918896069109e-05,0.370893193004125,0.0824644834855889,0.748609455970085
BCL6,KNEE,Skin_Not_Sun_Exposed_Suprapubic,6,0.0479800583463759,0.0294349366752918,0.103093515927039,0.0484826476989704,0.0116864506910395,3.34484921260536e-05,0.0550240095337127,0.00839332239537869,5.53856960294752e-11,,0.0479800583463759,4.01918896069109e-05,0.370893193004125,0.0824644834855889,0.748609455970085
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,6,0.0479800583463759,0.0294349366752918,0.103093515927039,0.0484826476989704,0.0116864506910395,3.34484921260536e-05,0.0550240095337127,0.00839332239537869,5.53856960294752e-11,,0.0479800583463759,4.01918896069109e-05,0.370893193004125,0.0824644834855889,0.748609455970085
ZNF853,ART,Muscle_Skeletal,12,0.00867165621102696,0.036157651901014,0.810462766030763,0.00896017163154789,0.0196809053290817,0.648913329919006,0.00886246817943752,0.0217302419832813,0.683390932426736,3.4994941680292,1.14088992722019,0.434587092551436,0.0566147510088802,0.101298743087555,1.12961261997896
ZNF853,KNEE,Muscle_Skeletal,12,0.00867165621102696,0.036157651901014,0.810462766030763,0.00896017163154789,0.0196809053290817,0.648913329919006,0.00886246817943752,0.0217302419832813,0.683390932426736,3.4994941680292,1.14088992722019,0.434587092551436,0.0566147510088802,0.101298743087555,1.12961261997896
ZNF853,COX,Muscle_Skeletal,12,0.00867165621102696,0.036157651901014,0.810462766030763,0.00896017163154789,0.0196809053290817,0.648913329919006,0.00886246817943752,0.0217302419832813,0.683390932426736,3.4994941680292,1.14088992722019,0.434587092551436,0.0566147510088802,0.101298743087555,1.12961261997896
PKNOX2,ART,Skin_Not_Sun_Exposed_Suprapubic,30,0.0203077810094577,0.00491119005418808,3.54951445655782e-05,0.0205866988682288,0.00233906243849855,0,0.0294451684195546,0.00668006563214189,1.04369988283004e-05,0.208961142274588,0.0952294603596668,0.951502048028493,0.98518636907112,0.0137591174591567,0.0208402334045231
PKNOX2,KNEE,Skin_Not_Sun_Exposed_Suprapubic,30,0.0203077810094577,0.00491119005418808,3.54951445655782e-05,0.0205866988682288,0.00233906243849855,0,0.0294451684195546,0.00668006563214189,1.04369988283004e-05,0.208961142274588,0.0952294603596668,0.951502048028493,0.98518636907112,0.0137591174591567,0.0208402334045231
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,30,0.0203077810094577,0.00491119005418808,3.54951445655782e-05,0.0205866988682288,0.00233906243849855,0,0.0294451684195546,0.00668006563214189,1.04369988283004e-05,0.208961142274588,0.0952294603596668,0.951502048028493,0.98518636907112,0.0137591174591567,0.0208402334045231
ATF6,ART,Adipose_Subcutaneous,630,0.00399937304212458,0.00242776761249639,0.0994869668112224,0.00434173938572398,0.00168827500115909,0.0101200099251104,-0.0190334526834891,0.0210722579287255,0.366394845498524,-0.131341129728236,0.0151614994133898,0,0.377440115515384,0.00680159785618329,0.00509264406776439
ATF6,KNEE,Adipose_Subcutaneous,630,0.00399937304212458,0.00242776761249639,0.0994869668112224,0.00434173938572398,0.00168827500115909,0.0101200099251104,-0.0190334526834891,0.0210722579287255,0.366394845498524,-0.131341129728236,0.0151614994133898,0,0.377440115515384,0.00680159785618329,0.00509264406776439
ATF6,COX,Adipose_Subcutaneous,630,0.00399937304212458,0.00242776761249639,0.0994869668112224,0.00434173938572398,0.00168827500115909,0.0101200099251104,-0.0190334526834891,0.0210722579287255,0.366394845498524,-0.131341129728236,0.0151614994133898,0,0.377440115515384,0.00680159785618329,0.00509264406776439
PIEZO1,ART,PIEZO1_locus,15,-0.0497690990032273,0.0248052544389784,0.0448142910243752,-0.0494532417180308,0.025841706602534,0.0556586584074623,-0.0609912827998178,0.00166125744661597,0,-1.0232751927529,0.138740290631891,0.161418202704621,0.518552497281728,0.069494034167773,0.531638555344036
