tf,outcome,tissue,n_snp,thr,method,estimate,se,p,Q,p_het
ATF6,KNEE,Adipose_Subcutaneous,210,5e-08,MR-Egger slope,0.00553309658313929,0.000602758089869416,4.32572921809358e-20,,
ATF6,KNEE,Adipose_Subcutaneous,210,5e-08,MR-Egger intercept,-0.00873664973133566,0.000111479610961317,0,,
TCF7L1,COX,Artery_Aorta,55,5e-08,IVW (RE),0.00597367080821493,0.00465387446905568,0.199285143741108,41.2874775362559,0.897870403859911
TCF7L1,COX,Artery_Aorta,55,5e-08,Weighted median,-0.00303135775452936,0.00643120097974917,0.637389575001534,,
TCF7L1,COX,Artery_Aorta,55,5e-08,MR-Egger slope,-0.017485910040071,0.0146218028083053,0.231743697976537,,
TCF7L1,COX,Artery_Aorta,55,5e-08,MR-Egger intercept,0.00723421115798352,0.00419364023067351,0.0845196619521253,,
GATAD2A,COX,Whole_Blood,361,5e-08,IVW (RE),-0.0819110762098721,0.00359001236383947,3.15367979338086e-115,25.5626064410486,1
GATAD2A,COX,Whole_Blood,361,5e-08,Weighted median,-0.0807158125018816,0.00468892375698558,2.07997557372026e-66,,
GATAD2A,COX,Whole_Blood,361,5e-08,MR-Egger slope,-0.081503523320523,0.00106662685994335,0,,
GATAD2A,COX,Whole_Blood,361,5e-08,MR-Egger intercept,-0.000221866280502578,0.000185451173946369,0.231556284561243,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,IVW (RE),0.0100845177271089,0.0668918233318867,0.880166144263542,0.0726498749233258,0.787516929426616
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,Weighted median,,,,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,MR-Egger slope,,,,,
BCL6,COX,Skin_Not_Sun_Exposed_Suprapubic,2,1e-05,MR-Egger intercept,,,,,
ZNF853,COX,Muscle_Skeletal,4,5e-08,IVW (RE),0.0908963668883111,0.0833914599161735,0.275714857764139,0.740808668775975,0.863565904384107
ZNF853,COX,Muscle_Skeletal,4,5e-08,Weighted median,0.156687700715533,0.113557433415556,0.167645102636068,,
ZNF853,COX,Muscle_Skeletal,4,5e-08,MR-Egger slope,-5.1452195945718,0.0131538133101443,0,,
ZNF853,COX,Muscle_Skeletal,4,5e-08,MR-Egger intercept,-1.69394323754138,0.00425408173752692,0,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,IVW (RE),0.0299432006169478,0.0113702953730095,0.00845201722819795,0.00931859636736436,0.999999999999388
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,Weighted median,0.0295433933938124,0.0149250729493515,0.047765682277364,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,MR-Egger slope,-0.0458529223662394,0.255524052111362,0.857587043671012,,
PKNOX2,COX,Skin_Not_Sun_Exposed_Suprapubic,10,5e-08,MR-Egger intercept,-0.0271767470486484,0.0916161648303236,0.766743636669779,,
ATF6,COX,Adipose_Subcutaneous,210,5e-08,IVW (RE),0.0386793929956414,0.00561095248511767,5.44161963100817e-12,53.2038142701594,1
ATF6,COX,Adipose_Subcutaneous,210,5e-08,Weighted median,0.0591116952955935,0.00737678828456322,1.11759771733137e-15,,
ATF6,COX,Adipose_Subcutaneous,210,5e-08,MR-Egger slope,0.032542357905551,0.00188295022479978,6.3566373264744e-67,,
ATF6,COX,Adipose_Subcutaneous,210,5e-08,MR-Egger intercept,0.00587379100130583,0.000348368392947484,8.73080857195994e-64,,
