tf,rho,p,fdr
ZSCAN9,-0.126239843819611,1.26298489074021e-06,1.62343226405258e-05
ZNF19,-0.126066354726879,1.30639232905705e-06,1.66056980493473e-05
ZNF133,-0.12584304536582,1.36437847976166e-06,1.7152186602718e-05
ZNF205,-0.125157721940345,1.55818310147298e-06,1.93756681313597e-05
ZNF619,-0.124875817182774,1.64535146602289e-06,2.02395922272064e-05
MEF2D,0.124085301224662,1.91548112764396e-06,2.33118128726031e-05
ZNF30,-0.123931895369939,1.97261757710218e-06,2.37544685074199e-05
FOXF2,0.123763723740064,2.03713224858051e-06,2.4275825962251e-05
SP140L,-0.123698724349292,2.06260608594521e-06,2.4325993425993e-05
PPARG,0.12359535648922,2.10374750357964e-06,2.45133560361566e-05
THAP6,-0.123551726094239,2.12134811851355e-06,2.45133560361566e-05
ZNF774,-0.122306692342611,2.68750678565591e-06,3.07450776279036e-05
MECOM,0.122155087902797,2.76561526614333e-06,3.13253847967125e-05
SRY,0.12153780598757,3.10670564126436e-06,3.48438358196709e-05
ESRRA,0.121391606353983,3.19320621593248e-06,3.5466290398318e-05
ZFP14,-0.121155899368245,3.33754364641427e-06,3.6712980110557e-05
ZKSCAN4,-0.120832071374778,3.54606775034491e-06,3.86352524418532e-05
GRHL1,0.120654801985459,3.66544495427789e-06,3.95591417706972e-05
ZNF680,-0.120158940478223,4.02015752264088e-06,4.29818710831884e-05
ZNF737,-0.120051381970795,4.10132380637838e-06,4.34436521712673e-05
MAFK,0.119814079166352,4.28598340559286e-06,4.49831652843875e-05
ZNF277,-0.119565579051649,4.48787585737183e-06,4.66739089166671e-05
TEAD4,0.11886459834029,5.10761319178507e-06,5.23293520127251e-05
ZNF229,-0.118848088193596,5.12315334390315e-06,5.23293520127251e-05
ZNF429,-0.118786079989348,5.18192338244327e-06,5.24612420311071e-05
DMRT3,0.118339989979185,5.62412990288353e-06,5.64386369201646e-05
HMGN3,0.11800504647381,5.97964158826716e-06,5.89824932693646e-05
TFE3,0.117991010863245,5.99499851145797e-06,5.89824932693646e-05
ATF6B,-0.117957061025212,6.0323004480032e-06,5.89824932693646e-05
ZNF391,-0.117559418416094,6.48605752794933e-06,6.27660570360463e-05
ZNF226,-0.117523186300941,6.52898670217614e-06,6.27660570360463e-05
ZNF576,-0.117289277375379,6.81273619013316e-06,6.49480850126028e-05
MXD1,0.116996307307009,7.18477657456587e-06,6.79287967049864e-05
ZNF605,-0.116627478158656,7.68079921904441e-06,7.16375400208946e-05
ZNF776,-0.11661201891817,7.70228795679198e-06,7.16375400208946e-05
MKX,0.116310421340571,8.13318409384306e-06,7.50351822851328e-05
ZBTB12,-0.116168855904926,8.34328944726793e-06,7.61321321214253e-05
ZNF384,0.116141036655543,8.38518238400314e-06,7.61321321214253e-05
SOX4,0.115869413523785,8.80491189589348e-06,7.93135370779696e-05
PAX9,0.115601405059061,9.23866560412852e-06,8.2248676466283e-05
ZNF143,0.115579776912426,9.27454481132038e-06,8.2248676466283e-05
ZNF543,-0.115366258397887,9.63596386873244e-06,8.47964820448455e-05
JDP2,0.115273343579507,9.79740122721343e-06,8.5558984762841e-05
ZNF627,-0.114456465065336,1.1332177248665e-05,9.82122028217637e-05
ZBTB25,-0.114404170548783,1.14378657090604e-05,9.83828448959782e-05
KLF5,0.113888613624715,1.2531378883774e-05,0.000106984309276399
HIF1A,0.113357440158066,1.37618733048428e-05,0.000116619133783261
ZFPM2,0.11330948315346,1.38784648130918e-05,0.000116742380486596
MXI1,0.113182483079244,1.4191786952297e-05,0.000118506600535969
ZNF180,-0.11302374658138,1.45928877772642e-05,0.000120972924762248
ZKSCAN7,-0.112893004539001,1.49313387323435e-05,0.00012288814035828
KLF6,0.112755262927863,1.52959916673981e-05,0.00012499010333931
MAFB,0.112316095340211,1.65161083967311e-05,0.000134003035502556
GLYR1,0.111911074083824,1.77230355153236e-05,0.000141707529955555
PRDM16,0.111857739008237,1.78880880832235e-05,0.000141707529955555
NFE2,0.111844168422511,1.79303169730557e-05,0.000141707529955555
ADNP,0.111834269033584,1.79611816814296e-05,0.000141707529955555
PRRX1,0.111215431395062,1.99942466848459e-05,0.000156667247996326
ZNF318,0.11106041937323,2.0536784094254e-05,0.00015982368029814
ZFHX4,0.110905410416998,2.10932944353532e-05,0.000163045465094892
ZNF572,-0.110761470965778,2.16228813005858e-05,0.000166017289985705
THAP1,0.110582141216768,2.23003771425238e-05,0.000170077543006981
