sample,group,T_cells,CD8_T_cells,CD4_T_cells,Tregs,Th1_cells,Th2_cells,Th17_cells,B_cells,Plasma_cells,NK_cells,Monocytes,Macrophages_M1,Macrophages_M2,Dendritic_cells,Plasmacytoid_DC,Neutrophils,Mast_cells,Eosinophils
GSM1332201,Healthy,-0.149141598697188,-0.19961302982717,-0.0408307868141733,-0.293667246546847,-0.0594200855861665,-0.31773674865631,-0.243122662770284,-0.193115882797506,-0.348511067973469,-0.312534525051157,0.10035777633774,0.0862238771496904,0.530258115340461,-0.197498622293305,-0.0196861735379475,0.20022733706419,0.248205937815443,-0.344979802418517
GSM1332202,Healthy,-0.231157771720628,-0.286438898593323,-0.0799587863356299,-0.240023075869034,-0.0228915646047658,-0.363139102831458,-0.349896488351665,-0.197816728098567,-0.250490710753387,-0.245406645727889,0.046498070448202,0.201257407514019,0.451788106398387,-0.188733889949642,-0.00593662660173751,0.0735985086006115,0.144826273997668,-0.24411437649485
GSM1332203,Healthy,-0.21622479325595,-0.260904386178985,0.00821457845609145,-0.177888664581818,-0.0350200051319562,-0.29273643881757,-0.263258029403822,-0.133968501205247,-0.251276590744673,-0.300110040042675,-0.0505091574893133,0.134932414698927,0.334636492648815,-0.235191173164959,0.066902740536772,0.035976299198773,0.230223515250681,-0.35530965375754
GSM1332204,Healthy,-0.218357746858738,-0.191372577341191,-0.0674357154108164,-0.27432032457687,-0.0264973482072515,-0.257151641067026,-0.26928980591108,-0.253478034441137,-0.302337450654685,-0.39340128652266,-0.0521063919260006,0.119064492009106,0.443368950953154,-0.227223604938604,0.0235713665980997,0.144491456830858,0.130375249938087,-0.245882051746587
GSM1332205,Healthy,-0.197874128332981,-0.221864442259463,-0.151019558755688,-0.353344944029348,0.0306446616840834,-0.205333469960747,-0.319429553944145,-0.107285711896362,-0.313406090792715,-0.251525140056833,0.00777505497873774,0.207696740739538,0.379344736153713,-0.106617458828753,0.126602001659737,0.150604640117847,-0.0472024575364293,-0.0878455508868306
GSM1332206,Healthy,-0.192552253553191,-0.26790988412313,0.0376389734993957,-0.253794961347417,0.0324726377354313,-0.204418338307405,-0.331544526386544,-0.0601556577432306,-0.30783893913182,-0.365770923523827,-0.116717522854952,0.203340873043681,0.44004800334217,-0.214290330050969,0.0628307980709021,0.0730794674091957,0.12630009198773,-0.184661462539606
GSM1332207,Healthy,-0.0990464882249483,-0.0767435930530955,-0.0476594103792829,-0.307610811872045,0.095697763608527,-0.140905769961374,-0.251759387695104,-0.0192758730145589,-0.243589264738052,-0.209813312579846,0.103997956021026,0.208784674693183,0.360896711320807,-0.0933584630783977,0.152567204244987,0.210315097046039,0.160782084677559,-0.147888995696407
GSM1332208,Healthy,-0.180618637686588,-0.251595502366414,-0.0762867896015749,-0.267690306276857,0.0139155891865041,-0.180157623822285,-0.345745013856039,-0.0359817859515693,-0.353402553565504,-0.291548540831744,-0.0860259118680009,0.114918836486626,0.21581257564554,-0.0957415199970489,0.0357768506558767,-0.0169268009186326,0.154192364234566,-0.167176180064865
GSM1332209,Healthy,-0.229120131576774,-0.230935052294973,-0.0832428450947096,-0.255910090816948,-0.0248476441607704,-0.267253835463523,-0.360396957865262,-0.170532013327394,-0.324264208850807,-0.267043643052151,-0.00984660660580712,0.09714558852863,0.508308866235386,-0.295178881658823,0.051639694457524,0.147189291672952,0.188431970093642,-0.224213968958054
GSM1332210,Healthy,0.00824774282822652,0.0731236949583805,0.0830871951893415,-0.274208395322344,0.0437388996963882,-0.156480124120337,-0.212659583196541,-0.0949850720132969,-0.289567584118279,-0.226061392204099,-0.0461923570439692,0.264621720350156,0.354221319507023,-0.230716977130797,-0.00267415353589302,0.105722368076477,0.145913622200293,-0.281238296914827
GSM1332211,OA,0.0236171010878142,-0.137728992854754,0.124376365071164,-0.304766329342596,-0.00859038972407056,-0.227160358360759,-0.266597258205913,-0.157495016795566,-0.179410380429321,-0.30816756379983,0.0632925115496983,0.123416707011241,0.485357239867997,-0.195829716665047,0.0406553943518517,0.125272696915029,0.246401321189362,-0.356284014247825
GSM1332212,OA,-0.0213617942920955,-0.183656525995213,0.0783438738741641,-0.291151067203354,0.00463348827938942,-0.251121877699725,-0.289441205878139,-0.099080954232645,-0.279533526052819,-0.27112718467368,0.168629329727856,0.143816963517508,0.506297300360036,-0.0164962108017784,-0.00501726264546084,0.243009967006051,0.399156881853766,-0.327448184773618
GSM1332213,OA,0.0591930155606803,-0.0916406732960963,0.0534178114855564,-0.337700544596779,0.0383864104667576,-0.258681203154697,-0.238773141757881,-0.139916205794957,-0.266850648760554,-0.284321758183602,0.167854731252041,-0.0448756288724393,0.472130315172467,-0.187215188588133,-0.0213869761026077,0.182793494492569,0.179562632539965,-0.260337473346152
GSM1332214,OA,-0.105075403316815,-0.183190821917036,0.0608939120569173,-0.294665613639255,-0.00772284881329628,-0.333702813985474,-0.200685966634026,-0.180079207363988,-0.283186578798921,-0.329452810853326,0.114554360306402,0.10775936195281,0.463801818381206,-0.0705776348579824,0.0533520174298852,0.0773728159493823,0.194723554379506,-0.281767821291034
GSM1332215,OA,-0.00877963672910569,-0.148993696904458,0.163244193570262,-0.262915816819695,-0.0437110689324402,-0.272983331198778,-0.396544186256343,-0.0174088256607658,-0.227186070843672,-0.306319871190812,0.121855581791486,0.0457340124594829,0.456075184317136,-0.113168466578151,0.00251749520400518,0.181900361196687,0.435136278640031,-0.36468829733421
GSM1332216,OA,-0.0973482616504736,-0.204215805978713,-0.0458987440181801,-0.210748322771267,-0.0059621408476576,-0.293854070306723,-0.3141876788404,-0.176813708416206,-0.230045976841086,-0.249594376565564,0.15801791492813,0.253905642741671,0.484310373951679,0.0785280110070028,0.00807694796675074,0.200515232668046,0.378208362042099,-0.317535620885358
GSM1332217,OA,-0.033797004785741,-0.0797293318080726,0.047919870668188,-0.240978832120987,0.0501357619302436,-0.202352364079676,-0.385102608902117,-0.0225841574505422,-0.214673885489299,-0.249578362933104,0.091062296780567,0.0829867636003066,0.518493875349232,-0.201613761880153,0.0483348946826762,0.249925564442394,0.382527042401717,-0.260719184382712
GSM1332218,OA,0.0192936525592657,-0.120448390239185,0.0673736240301059,-0.239583168120908,0.010816081778983,-0.241825458985907,-0.441670625701392,-0.0336961269891897,-0.225110839632973,-0.267915994411524,0.146407155632888,0.144273763792716,0.557369615119475,-0.245717026685549,0.032428128028924,0.306888443391909,0.236722266658792,-0.283547690758359
GSM1332219,OA,0.00233191870186874,-0.0758642261961916,0.117685321028094,-0.252845282734059,0.0101690216075306,-0.263124354035254,-0.245088474835496,-0.0522965740047548,-0.294054749522473,-0.256264531325101,0.0874486036820416,0.0793082189299367,0.463113507390284,-0.169195563001275,0.00144372686321248,0.155265925308741,0.404597251630688,-0.331538430689838
GSM1332220,OA,0.0279243932498176,-0.218251807242432,0.102139775446448,-0.136292530749943,0.00446628811246248,-0.180538242918478,-0.259057605490768,0.021645388842412,0.105426681235781,-0.205728770838241,0.0596249597216162,0.112237004918951,0.511033410003177,-0.101053457835532,0.0377700251263066,0.112285353100902,0.249128493467935,-0.343606358976851
GSM1332221,,0.209505632415532,0.115238240307487,0.358634138118243,-0.246569549510446,0.0668437202842377,-0.163594035201006,-0.205458939255773,-0.00438300320252955,0.212039763942418,-0.107449723929521,0.27883191347527,0.217842535832092,0.547447413406256,-0.0374765649264866,0.0848661721331962,0.291434820728091,0.0290770279558603,-0.353779725299628
GSM1332222,,0.307434121949008,0.198592524792973,0.441926980303795,-0.157364255606562,0.113929205675715,-0.123895261714373,-0.263587171330208,0.30243349047337,0.227398236795329,-0.0958486874352222,0.231320310038396,0.3364277209744,0.54795736015233,0.212785366915189,-0.0324874079009475,0.250319298692961,0.0554392376747609,-0.289718947051845
