gene,rho,is_TF,logFC,P.Value,adj.P.Val
TSHZ1,0.623721488595438,TRUE,0.350862560225156,8.17594875704269e-05,0.000564966747395581
ZNF513,0.608547418967587,TRUE,-0.322162840603341,0.000553747484410839,0.00279400346697028
ZNF337,0.604033613445378,TRUE,0.353655142445948,0.00222342308513889,0.00857698381970731
ZNF133,0.589435774309724,TRUE,0.2709457214445,0.00248479539566485,0.00936739627854335
TCF7L1,0.583097238895558,TRUE,0.204416394969887,2.40391338366266e-06,2.65832755010029e-05
ZNF506,0.578871548619448,TRUE,0.21875651598972,0.0132250150215109,0.0361847318217421
ZNF853,0.578199279711885,TRUE,0.255027792718489,0.00030358792879457,0.0017139365453573
E2F4,0.557166866746699,TRUE,-0.513990279179562,3.81279955996818e-05,0.000287645500601126
TAL1,0.546794717887155,TRUE,-0.186366640318676,0.0157635472887082,0.0420889884348407
NR1H2,0.528643457382953,TRUE,-0.647411786584232,0.000668940658780387,0.00322794274255117
HIC1,0.511260504201681,TRUE,0.363916635593425,0.000370985913713877,0.0020093808469319
ZNF383,0.509723889555822,TRUE,-0.202800955044652,0.0167139301578046,0.0441820424689376
ZNF467,-0.498199279711885,TRUE,0.176134748049232,0.0110059031429866,0.0313472678387088
ZNF641,0.496278511404562,TRUE,0.226385143676471,0.00992353911907658,0.0288151781422639
ZNF827,0.493301320528211,TRUE,0.447686770755156,1.15100864553631e-07,2.21360648206765e-06
PKNOX2,0.482352941176471,TRUE,0.310971697071577,1.07327596637195e-09,4.74745735791861e-08
HOXA5,0.474957983193277,TRUE,0.103560415532717,0.000266594183621028,0.00154484926491312
BCL6,0.474285714285714,TRUE,0.373153341871265,0.000898327618935187,0.00401373990009089
ZNF75D,0.471500600240096,TRUE,0.209720890235247,0.00692974799154631,0.0215357742032364
NANOG,0.469579831932773,TRUE,0.417278863081377,4.3074720769428e-08,1.02071704394698e-06
ZNF555,-0.465546218487395,TRUE,0.24670425660812,0.00059787656640478,0.00296038135678785
ZNF470,0.462761104441777,TRUE,0.470302547356163,3.08835645634717e-07,4.76540583438685e-06
ZNF92,-0.460648259303722,TRUE,0.131078566863237,0.00071933238233219,0.00339698957777515
WIZ,0.455078031212485,TRUE,-0.281455825002254,0.00191945187660568,0.00755426121818413
ZNF514,0.454405762304922,TRUE,0.434062455069618,0.000582160054204899,0.0028933572731457
ATF6,-0.454309723889556,TRUE,-0.72256200455299,6.29707326027736e-06,6.1442766296971e-05
GATAD2A,0.452581032412965,TRUE,0.456934395024293,4.80986603312281e-06,4.87228414194959e-05
ZNF211,0.448355342136855,TRUE,0.383232231316932,0.000733263257858453,0.00342619839147242
E2F7,-0.447010804321729,TRUE,-0.397076258547029,0.000693258640466954,0.00332113435342833
EOMES,0.446146458583433,TRUE,0.195141044429304,0.00343257658373003,0.012138315356489
ETS2,0.44547418967587,TRUE,-0.271042904784365,0.0187658079900659,0.0482601302380183
ZNF746,-0.441920768307323,TRUE,0.240790961105962,0.00288394381338702,0.0105426816538969
TRPS1,-0.439327731092437,TRUE,-0.241761047567698,0.00192414490711849,0.00755426121818413
ZNF19,-0.435582232893157,TRUE,0.437389335484015,1.61945731238984e-08,4.77559967453627e-07
HOXA4,0.431548619447779,TRUE,0.321516463216055,0.000538858202485082,0.00272925509426604
ZNF559,0.431356542617047,TRUE,0.577065962535389,1.86435658597001e-08,5.37826345561347e-07
ZNF662,0.430204081632653,TRUE,0.364242342957991,9.37685028788202e-05,0.000625280418694444
E2F3,-0.427899159663866,TRUE,-0.484421893722622,0.000615467611261828,0.00302490933386832
ZNF497,-0.422424969987995,TRUE,0.350753132182648,4.45594739678069e-05,0.000326687414117568
HOXB8,0.420024009603842,TRUE,0.119345228348248,5.45396911883006e-06,5.44166693284774e-05
CEBPA,0.419255702280912,TRUE,-0.548331788992353,5.68438167011407e-11,3.77158723812069e-09
ZNF362,0.414261704681873,TRUE,0.212174152368483,0.0100021423376546,0.0289800062927242
HES1,0.412725090036014,TRUE,-0.193140454114512,4.03238251915966e-08,9.72903927804521e-07
ZNF624,-0.412436974789916,TRUE,0.282520707249954,0.00360689391812309,0.012628887148679
ZBTB42,0.410900360144058,TRUE,-0.278224212971533,0.000699502812978481,0.00333243584989642
PRDM16,0.409939975990396,TRUE,0.484290567421094,1.20302513770643e-09,5.14972373463366e-08
ZNF540,0.406194477791116,TRUE,-0.380593424696301,0.000106506431581637,0.000703154401536479
FOXK1,0.402737094837935,TRUE,-0.248155093279567,0.00229970303243998,0.00881995931805738
