tf,n_target,n_overlap,enrich_p,enrich_FDR
TBX1,576,6,0.393958368624459,0.657745178385241
TBX15,597,11,0.0168096713213075,0.0882045940211463
TBX18,376,6,0.114640451284012,0.330760214429702
TBX19,739,9,0.20319726034239,0.450265439175955
TBX2,951,17,0.00448551554569107,0.0342693387690798
TBX20,389,1,0.968489746623122,0.988771722429438
TBX21,76,1,0.48883999819904,0.734028613647929
TBX3,497,5,0.442600953522023,0.704473184355887
TBX4,409,5,0.290599306323896,0.55377736318103
TBX5,445,5,0.352515986877825,0.622278682935902
TBX6,331,2,0.789669528578405,0.960874481437363
TCF12,76,1,0.48883999819904,0.734028613647929
TCF15,173,1,0.78360949588538,0.95696556083189
TCF21,543,14,0.000336757599154087,0.00440552749578291
TCF23,79,3,0.032396783617768,0.138739589035733
TCF3,15,1,0.12390469268216,0.342407941699508
TCF4,62,1,0.421487000875092,0.681083055559581
TCF7L1,1370,28,2.76961010206688e-05,0.000696046749335229
TCFL5,391,3,0.669803810875924,0.887188126749664
TEAD1,126,7,0.000126952599632668,0.00220435877543996
TEAD2,30,2,0.0283898291052088,0.126103659513834
TEAD3,953,26,3.17550477540701e-07,1.59610897921773e-05
TEAD4,68,2,0.120089003592459,0.337308818914114
TEF,444,7,0.0973857020790969,0.295248715827103
TERF1,460,19,2.77537295949745e-08,2.20873431360005e-06
TERF2,417,10,0.00394606360754697,0.0314040895433947
TET1,238,4,0.157666498714525,0.386080785313774
TFAP2B,765,10,0.137412315179351,0.361526876093595
TFAP2E,290,2,0.725116796727834,0.92826614058322
TFAP4,39,4,0.000373004133351139,0.00462622009545893
TFCP2,12,1,0.100411383199272,0.302501170206007
TFCP2L1,436,4,0.534275679631135,0.771436178077574
TFDP2,628,9,0.102938067476684,0.308168822696657
TFE3,1326,26,0.000107746424385547,0.00202818115646645
TFEB,753,9,0.218101415538171,0.477176558971873
TFEC,902,4,0.958573230119786,0.988771722429438
TGIF1,1000,22,7.43832546056457e-05,0.00157857795885315
TGIF2,17,1,0.13922662419564,0.364277879744757
THAP1,53,5,0.00010124554692598,0.00197325504723083
THAP11,112,2,0.257959148295849,0.528816566514374
THAP2,329,1,0.946091601426951,0.988771722429438
THAP3,460,4,0.57664927824882,0.813512109908745
THAP4,1086,6,0.918813323690395,0.988771722429438
THAP5,321,5,0.15298844498351,0.383670131447608
THAP6,470,1,0.984770492472965,0.990664787060825
THAP8,693,4,0.860992857915299,0.981622180337639
THRA,839,12,0.0671693157802615,0.237580357667221
THRB,706,12,0.0225219912279724,0.111850216159021
TP53,242,5,0.0627510772266493,0.226140674533774
TP63,19,1,0.1542818341374,0.38469752376297
TP73,41,1,0.303551982040534,0.567303606357554
TRERF1,705,7,0.424424572923302,0.684671397198907
TRPS1,284,7,0.0130097954816552,0.0739499817098213
TSC22D1,226,8,0.000899165641084508,0.00954114652484116
TSHZ1,288,2,0.721577772766987,0.92576003077027
TSHZ2,547,18,1.78871611505159e-06,6.5700918841318e-05
TSHZ3,975,41,4.81024012214814e-17,4.59377931665148e-14
TWIST2,25,1,0.197892951606767,0.444054507292417
UBP1,819,18,0.000346439993659069,0.00447094856681636
UNCX,749,3,0.961980832646061,0.988771722429438
USF1,59,1,0.405942835449532,0.669560289903805
VAX1,392,7,0.0584442913178961,0.213847885856669
VAX2,392,7,0.0584442913178961,0.213847885856669
VDR,24,1,0.190783084388497,0.435880013375634
VENTX,910,14,0.030412496982664,0.132620706020293
VEZF1,909,27,3.32397503702615e-08,2.4418432002769e-06
VSX1,214,2,0.562297304995701,0.801483472046111
VSX2,198,2,0.52035505071484,0.759845678031609
WIZ,870,14,0.0218320265222209,0.109734659624847
YBX2,152,1,0.739271656890184,0.936755976114664
YBX3,666,19,7.24482898983247e-06,0.000223187473719033
YY1,69,1,0.456200359974414,0.713046389158045
YY2,405,6,0.147184334251958,0.373832551092074
ZBED2,242,3,0.357180705512066,0.625885456447749
ZBED3,501,7,0.153066303750302,0.383670131447608
ZBED4,773,8,0.368570547277894,0.63508915129729
ZBED5,374,1,0.963958037588456,0.988771722429438
ZBED6,285,7,0.0132413056255282,0.0739499817098213
ZBTB1,246,2,0.638128411713611,0.861969778198725
ZBTB11,20,2,0.0131302317468085,0.0739499817098213
ZBTB14,870,6,0.779382381938253,0.95546877374972
ZBTB17,1136,15,0.0760844357152556,0.256072746789691
ZBTB18,718,12,0.025236497948004,0.117565148977287
ZBTB2,314,10,0.000483948275365102,0.00570580991325521
ZBTB21,376,13,3.04929569715555e-05,0.000743534991562419
ZBTB22,424,6,0.170544818628324,0.404730448078101
ZBTB24,611,8,0.170543505154311,0.404730448078101
ZBTB25,370,1,0.962643693764814,0.988771722429438
ZBTB34,238,2,0.62018284606623,0.849343679184551
ZBTB37,398,2,0.866757767728923,0.981622180337639
ZBTB38,538,16,2.37319821624827e-05,0.000612541701761378
ZBTB39,281,3,0.448775256121426,0.709570148337684
ZBTB4,669,10,0.071691236460807,0.24627744899306
ZBTB40,347,4,0.363117280391164,0.629359351676155
ZBTB41,509,6,0.290161548803916,0.55377736318103
ZBTB42,576,11,0.0132218645465903,0.0739499817098213
ZBTB43,343,11,0.000239763839225942,0.00354803063344981
ZBTB44,453,9,0.0190723829992542,0.0984547338610147
ZBTB45,627,1,0.996305595945429,0.996774795544692
ZBTB46,585,10,0.0344257793534095,0.145471766736753
ZBTB47,733,28,6.84717358022463e-11,1.08984179485242e-08
ZBTB48,673,7,0.378480328226924,0.643147176969239
ZBTB5,283,3,0.453347826692392,0.713046389158045
ZBTB6,771,11,0.07858198772391,0.25923602133355
ZBTB7A,86,3,0.0401203113632956,0.164441619536255
ZBTB7B,1032,12,0.197597179880525,0.444054507292417
ZBTB7C,737,15,0.00227472761124713,0.0201144895253797
ZBTB8B,293,1,0.925647401983546,0.988771722429438
ZC3H8,370,7,0.0454742976365237,0.177336287645022
ZEB2,53,1,0.373596536362949,0.639399090011857
ZFAT,245,3,0.364345061465892,0.630343358152042
ZFHX3,440,13,0.000148710307163601,0.00249154988317964
ZFHX4,372,15,1.14210305648432e-06,4.36283367577011e-05
ZFP1,369,7,0.044933331709124,0.177319552819064
ZFP2,199,3,0.254560616380747,0.526202139921242
ZFP28,638,8,0.199821653263177,0.44690791303591
ZFP41,401,1,0.971703024281723,0.988771722429438
ZFP42,342,2,0.80456229922154,0.966486787115183
ZFP62,387,1,0.967919959786847,0.988771722429438
ZFP64,721,2,0.988057966156168,0.991171594200777
ZFP69B,376,5,0.235874476233872,0.498570203628936
ZFP82,532,4,0.689624325630599,0.900827144317859
ZFP90,501,2,0.936268162398404,0.988771722429438
ZFP91,995,28,5.62669597729151e-08,3.58232977220893e-06
ZFP92,160,5,0.0136396686299885,0.0752941245181446
ZFPM1,252,1,0.892830119913618,0.988771722429438
ZFPM2,646,24,3.00972648757262e-09,2.87428879563185e-07
ZFX,51,1,0.362429557587294,0.629359351676155
ZFY,48,1,0.345306524519216,0.614092608781846
ZGLP1,552,3,0.865846710310867,0.981622180337639
ZGPAT,570,4,0.739992141405561,0.936755976114664
ZHX1,465,6,0.225631071460488,0.485492853284427
ZHX2,474,14,8.31434703355519e-05,0.00168940455681813
ZHX3,523,9,0.0420298701350116,0.170217994760424
ZIC1,867,10,0.232563733290556,0.495755279670716
ZIC3,909,6,0.81325694428354,0.967316054139587
ZIC4,458,2,0.912896097869767,0.988771722429438
ZIM3,399,6,0.140131133702328,0.365206612796879
ZKSCAN1,40,2,0.0480956588915801,0.18446327004602
ZKSCAN2,190,4,0.0867883704539935,0.27094398880434
ZKSCAN5,367,2,0.8349843527244,0.973638653054704
ZKSCAN7,166,1,0.76973419115312,0.950442622111896
ZKSCAN8,396,4,0.459437966230891,0.715763878875206
ZNF10,188,1,0.810602984716513,0.967316054139587
ZNF101,336,2,0.796558459431958,0.965372244616142
ZNF117,182,4,0.0768832932119546,0.256725681879079
ZNF121,796,12,0.0489907776003416,0.187144770433305
ZNF131,628,11,0.0233774054807752,0.112871138838095
ZNF134,582,10,0.0334201616179147,0.142483278326377
ZNF135,228,1,0.867294705898939,0.981622180337639
ZNF136,612,5,0.625962326215782,0.852773211891686
ZNF140,711,11,0.0499109593157377,0.189146691057657
ZNF141,292,1,0.924980872710448,0.988771722429438
ZNF142,515,8,0.0851342016749498,0.267444613814398
ZNF143,49,1,0.351064459254828,0.620863997385853
ZNF146,1145,15,0.0800991023477894,0.261577293193787
ZNF148,10,1,0.0844018933899559,0.266900027110622
ZNF16,282,1,0.917979647605763,0.988771722429438
ZNF160,194,1,0.820436973534672,0.968501000896924
ZNF165,102,5,0.00207776628708902,0.0188977790873335
ZNF169,263,1,0.90283697776585,0.988771722429438
ZNF174,338,2,0.799257949687765,0.966179112429352
ZNF175,450,15,1.14580228826567e-05,0.000321835642733444
ZNF18,853,5,0.872667257703304,0.981622180337639
ZNF182,368,1,0.961968742086015,0.988771722429438
ZNF184,269,1,0.907897425078323,0.988771722429438
ZNF189,84,1,0.523761059859157,0.761326959156004
ZNF195,642,1,0.996774795544692,0.996774795544692
ZNF197,367,1,0.961626728567827,0.988771722429438
ZNF202,568,2,0.961257275956379,0.988771722429438
ZNF207,467,10,0.00852388279884991,0.0541632976849357
ZNF213,441,1,0.980236566654253,0.990609440375463
ZNF214,600,7,0.275771596325542,0.546393930479031
ZNF215,287,2,0.719793971442267,0.925172601248135
ZNF219,429,5,0.324822270678461,0.590867178091295
ZNF22,430,4,0.523360905656281,0.761326959156004
ZNF236,346,1,0.953693520831163,0.988771722429438
ZNF239,593,6,0.420537540046422,0.680700594481921
ZNF24,20,2,0.0131302317468085,0.0739499817098213
ZNF248,386,1,0.967631232615325,0.988771722429438
ZNF25,778,5,0.816545818344065,0.967316054139587
ZNF250,617,6,0.457795186773497,0.714369940144918
ZNF251,412,2,0.879188642475459,0.986019583076172
ZNF254,179,2,0.467207808324085,0.721573970980849
ZNF256,41,1,0.303551982040534,0.567303606357554
ZNF257,425,4,0.514174242931763,0.757772225308385
ZNF26,495,4,0.63436307014469,0.858764224796443
ZNF260,702,3,0.948002366426643,0.988771722429438
ZNF263,313,11,0.000108311245005015,0.00202818115646645
ZNF264,637,9,0.10974536317784,0.318561768494946
ZNF267,653,14,0.00197727215132627,0.018156681774198
ZNF268,290,1,0.923629921489061,0.988771722429438
ZNF273,233,3,0.335634790882606,0.603636959120318
ZNF275,288,6,0.0421533983654349,0.170217994760424
ZNF276,758,4,0.902920421547698,0.988771722429438
ZNF277,742,3,0.960148909374278,0.988771722429438
ZNF28,387,2,0.856182544408033,0.981622180337639
ZNF280B,81,1,0.510953010089685,0.754188755232842
ZNF280C,339,3,0.573827740382365,0.813064528286585
ZNF280D,624,2,0.974667833857161,0.989168736805089
ZNF281,739,14,0.00589750657539327,0.0423467577406058
ZNF282,786,5,0.823348485707062,0.969559479749282
ZNF286A,257,2,0.661712799701762,0.88136084200165
ZNF286B,14,1,0.1161422400073,0.332083350919075
ZNF292,380,1,0.965843744451506,0.988771722429438
ZNF296,596,8,0.155190813611944,0.385437271529864
ZNF3,420,4,0.504908206841938,0.747577267494652
ZNF300,275,1,0.912695492496367,0.988771722429438
ZNF311,192,1,0.817216789270036,0.967316054139587
ZNF316,481,2,0.926245979393691,0.988771722429438
ZNF317,769,11,0.0774877285801355,0.256947155534824
ZNF318,391,2,0.860113442522667,0.981622180337639
ZNF319,350,2,0.814800169225908,0.967316054139587
ZNF32,758,4,0.902920421547698,0.988771722429438
ZNF320,609,7,0.288087331947749,0.55377736318103
ZNF322,778,7,0.527095877649324,0.765009974399855
ZNF324,679,7,0.387093070793808,0.65083430036635
ZNF324B,319,2,0.7722968322082,0.950442622111896
ZNF329,484,5,0.420222320797357,0.680700594481921
ZNF331,508,13,0.000586911467968514,0.00675301749289074
ZNF333,427,4,0.517858614424554,0.75851990302983
ZNF334,216,1,0.852340655315145,0.981622180337639
ZNF335,906,11,0.174627594743897,0.409752710025605
ZNF337,152,3,0.149632665031053,0.378040198689564
ZNF33A,492,4,0.629618143532928,0.85409847595731
ZNF34,219,1,0.856229443363444,0.981622180337639
ZNF341,825,5,0.85366016531666,0.981622180337639
ZNF343,346,3,0.587702880281119,0.82295637927928
ZNF345,291,1,0.924308396812546,0.988771722429438
ZNF35,552,11,0.00986980421576079,0.0607399825945675
ZNF350,509,2,0.939905368463639,0.988771722429438
ZNF354A,721,8,0.300406281384384,0.565488087937394
ZNF358,619,6,0.460877751604679,0.716837545248319
ZNF362,659,9,0.127421504979818,0.344617412672987
ZNF366,233,2,0.608624852056407,0.841153015504875
ZNF37A,220,2,0.577338351046154,0.813512109908745
ZNF383,215,1,0.85102126809972,0.981622180337639
ZNF384,63,2,0.105851499629905,0.315900569207997
ZNF391,237,2,0.61789233941822,0.849343679184551
ZNF394,701,14,0.00373672272941731,0.030186255908052
ZNF396,317,1,0.939989597577961,0.988771722429438
ZNF398,346,8,0.0117033573983346,0.0684259893951536
ZNF407,423,6,0.169278048243354,0.404730448078101
ZNF41,797,6,0.70413018619792,0.913647184536703
ZNF410,525,5,0.490029531572524,0.734659658793972
ZNF414,693,6,0.570761076762426,0.809920993028406
ZNF418,505,7,0.157444444389555,0.386080785313774
ZNF420,177,1,0.791161257510994,0.961270993540711
ZNF423,1098,35,3.46673500062174e-11,8.27682981398439e-09
ZNF430,271,2,0.689933543656188,0.900827144317859
ZNF431,314,2,0.764697954636796,0.950442622111896
ZNF432,282,4,0.235972494283015,0.498570203628936
ZNF436,428,7,0.0841608436178524,0.266900027110622
ZNF438,495,9,0.0313205287778391,0.135344366438174
ZNF440,397,1,0.970669917811048,0.988771722429438
ZNF444,529,4,0.685371301255365,0.899773382343457
ZNF445,411,1,0.974130064304096,0.989168736805089
ZNF446,391,5,0.260411905879664,0.529134830032084
ZNF449,567,8,0.127526966314762,0.344617412672987
ZNF45,280,2,0.707037967387646,0.916175385149528
ZNF451,549,7,0.209151700964255,0.462360820418665
ZNF460,169,2,0.437875778020902,0.699688577965715
ZNF462,133,2,0.325982099879228,0.591849630008865
ZNF467,556,4,0.722189762223928,0.92576003077027
ZNF468,376,2,0.844850049718217,0.979164802768079
ZNF469,484,24,8.7274755222022e-12,2.7782463745677e-09
ZNF471,320,3,0.534754711923931,0.771436178077574
ZNF48,455,7,0.107107866881924,0.316032876257321
ZNF480,208,2,0.546879229427271,0.784951137763807
ZNF485,369,1,0.962307721555335,0.988771722429438
ZNF487,284,3,0.455628310631351,0.713046389158045
ZNF490,404,6,0.145997653512773,0.373800962747179
ZNF493,167,1,0.771769308152975,0.950442622111896
ZNF496,395,6,0.135519379786034,0.35850694652538
ZNF497,323,4,0.315449182403695,0.581571369103337
ZNF500,279,1,0.915755154458007,0.988771722429438
ZNF501,142,1,0.715087906067935,0.9210460862206
ZNF502,423,7,0.0802535569694027,0.261577293193787
ZNF506,326,2,0.782576882270621,0.956928197910939
ZNF507,458,3,0.768902969969315,0.950442622111896
ZNF510,262,1,0.901967069378095,0.988771722429438
ZNF511,675,4,0.846953464530943,0.980412798335819
ZNF512,429,1,0.97798830946174,0.990433547758178
ZNF512B,549,3,0.863406102729551,0.981622180337639
ZNF513,744,7,0.479906013299702,0.7321249883406
ZNF516,261,5,0.0807334906700883,0.262246542822906
ZNF517,603,4,0.778534248753806,0.95546877374972
ZNF518B,250,11,1.41084856500861e-05,0.000384960108452348
ZNF519,365,1,0.960933491039168,0.988771722429438
ZNF521,656,15,0.000724630812043118,0.00804677238954858
ZNF524,780,8,0.377888577460816,0.643147176969239
ZNF527,167,1,0.771769308152975,0.950442622111896
ZNF528,503,6,0.281115003592955,0.551262481378383
ZNF529,417,4,0.499311874038382,0.741590730492465
ZNF532,340,5,0.180133538012535,0.42163610000483
ZNF536,301,5,0.126471265282026,0.344617412672987
ZNF540,225,1,0.863703843009144,0.981622180337639
ZNF547,461,7,0.112623591187909,0.325925847225614
ZNF548,199,1,0.828242534933338,0.971877721663469
ZNF549,523,6,0.31149713298029,0.578754400770772
ZNF554,641,8,0.203196618956237,0.450265439175955
ZNF556,229,2,0.599188411409122,0.832932944535242
ZNF558,310,2,0.758462058103649,0.948077572629561
ZNF562,417,7,0.0757074833829605,0.256072746789691
ZNF563,510,6,0.291675406994825,0.55377736318103
ZNF569,279,3,0.444187565330025,0.705822171198292
ZNF57,205,3,0.268726716957344,0.536891244130259
ZNF570,130,1,0.68310397881655,0.899773382343457
ZNF571,133,1,0.691420206057582,0.900827144317859
ZNF574,269,1,0.907897425078323,0.988771722429438
ZNF575,491,8,0.06884265280213,0.240823199362762
ZNF576,827,2,0.994851771130091,0.996774795544692
ZNF577,197,2,0.517646514234231,0.75851990302983
ZNF579,329,3,0.553514697786688,0.791327150278873
ZNF580,438,5,0.340376965474836,0.609868671723205
ZNF581,475,3,0.789828762228617,0.960874481437363
ZNF582,429,8,0.0362700142291002,0.149947461423336
ZNF583,80,2,0.155927789307981,0.385437271529864
ZNF584,230,11,6.4383271830021e-06,0.000212020774474724
ZNF585A,232,1,0.871936462431316,0.981622180337639
ZNF586,502,6,0.279613609864292,0.549446496749792
ZNF587,277,1,0.914238902827589,0.988771722429438
ZNF589,307,9,0.00163528336284022,0.0151620933156545
ZNF596,200,1,0.829762639408337,0.971877721663469
ZNF597,72,1,0.470435337662897,0.721573970980849
ZNF599,278,1,0.915000393554702,0.988771722429438
ZNF613,98,1,0.579254696060677,0.813512109908745
ZNF614,184,3,0.219697693581066,0.477930062346054
ZNF618,509,6,0.290161548803916,0.55377736318103
ZNF621,291,3,0.471478699363403,0.721573970980849
ZNF623,368,1,0.961968742086015,0.988771722429438
ZNF628,272,1,0.910328393094348,0.988771722429438
ZNF629,547,4,0.710281569412387,0.918231653393172
ZNF641,282,2,0.710730926239024,0.918231653393172
ZNF644,331,9,0.00271519372807684,0.0229469912417113
ZNF646,405,3,0.692782539697731,0.901372377944596
ZNF649,305,6,0.0529462224364213,0.197514228229619
ZNF652,141,3,0.127516529033899,0.344617412672987
ZNF653,438,3,0.742159177258138,0.937181839873234
ZNF654,409,7,0.0698887083853547,0.242704423665505
ZNF655,615,6,0.454708585312788,0.713046389158045
ZNF658,121,1,0.656793107111955,0.876029912418879
ZNF664,665,10,0.0694971426885717,0.24222544258243
ZNF667,502,7,0.15415542297953,0.38469752376297
ZNF668,489,5,0.428849781216906,0.68948070885883
ZNF669,110,1,0.621666211256546,0.849343679184551
ZNF672,518,7,0.172063415622732,0.404730448078101
ZNF675,362,1,0.959870195885458,0.988771722429438
ZNF678,340,2,0.801925804701139,0.966462233728673
ZNF680,776,4,0.912370728590165,0.988771722429438
ZNF687,467,7,0.118287218191609,0.337206845889512
ZNF689,432,5,0.329999147242963,0.595745152395142
ZNF69,247,1,0.887948667448345,0.988771722429438
ZNF691,434,2,0.896584295183788,0.988771722429438
ZNF692,696,2,0.985478060426999,0.990664787060825
ZNF696,248,1,0.888942346127378,0.988771722429438
ZNF697,110,1,0.621666211256546,0.849343679184551
ZNF699,246,4,0.171124280020088,0.404730448078101
ZNF7,363,1,0.960227789869413,0.988771722429438
ZNF70,287,4,0.245423787228671,0.5150949042768
ZNF700,487,2,0.929398487231957,0.988771722429438
ZNF707,366,1,0.961281653974248,0.988771722429438
ZNF708,584,7,0.254242828907961,0.526202139921242
ZNF71,253,2,0.653281830146039,0.874398354685786
ZNF710,367,4,0.402794891745827,0.666670921347079
ZNF711,410,5,0.292295797950492,0.553854140957778
ZNF714,161,2,0.413794306142842,0.676667058846599
ZNF721,299,2,0.740576714101122,0.936755976114664
ZNF736,346,2,0.809742306218834,0.967316054139587
ZNF74,415,2,0.881709887309664,0.986183156626664
ZNF740,38,1,0.284855586664429,0.55377736318103
ZNF746,480,4,0.610253138663762,0.842184606103892
ZNF749,186,2,0.487195452872971,0.734028613647929
ZNF750,460,22,1.35160986075855e-10,1.84398202432059e-08
ZNF76,1188,14,0.1623433639576,0.394498505291369
ZNF763,131,1,0.685900546959201,0.899773382343457
ZNF764,148,1,0.729853568617713,0.93183176207208
ZNF765,106,1,0.608024356307341,0.841153015504875
ZNF766,303,3,0.498155212311542,0.741025276880876
ZNF768,889,6,0.796422698506268,0.965372244616142
ZNF770,1342,21,0.00752141620072975,0.0507636493550552
ZNF771,371,1,0.962976685268067,0.988771722429438
ZNF773,59,1,0.405942835449532,0.669560289903805
ZNF774,262,1,0.901967069378095,0.988771722429438
ZNF775,907,5,0.903488095138725,0.988771722429438
ZNF777,376,4,0.420523848653499,0.680700594481921
ZNF778,420,11,0.0012791009579689,0.012215414148603
ZNF781,231,2,0.603927763672736,0.837084200736521
ZNF784,380,5,0.242354176799217,0.509797882914653
ZNF785,466,1,0.984212815302333,0.990664787060825
ZNF787,634,5,0.656736878693715,0.876029912418879
ZNF789,579,4,0.750976144720498,0.942420786081571
ZNF79,156,1,0.748362898170452,0.941259922596012
ZNF791,371,3,0.634856065661035,0.858764224796443
ZNF792,152,1,0.739271656890184,0.936755976114664
ZNF8,550,10,0.0239496136788578,0.113227133976778
ZNF800,740,19,3.11428268717244e-05,0.000743534991562419
ZNF805,121,2,0.287205633187094,0.55377736318103
ZNF808,184,1,0.803751036462308,0.966486787115183
ZNF814,293,1,0.925647401983546,0.988771722429438
ZNF816,563,7,0.226821286574385,0.486773772311321
ZNF827,246,1,0.886946140227372,0.988771722429438
ZNF829,76,1,0.48883999819904,0.734028613647929
ZNF83,211,8,0.000575009933990585,0.00669676203610986
ZNF837,349,2,0.813547034304415,0.967316054139587
ZNF84,329,1,0.946091601426951,0.988771722429438
ZNF841,416,4,0.497440477756726,0.741025276880876
ZNF845,229,1,0.868470610699333,0.981622180337639
ZNF846,431,3,0.732239372428777,0.933629640413193
ZNF85,551,4,0.715619053377681,0.9210460862206
ZNF853,491,12,0.00140332515884877,0.0131389757519664
ZNF860,140,2,0.348360101292311,0.61837155526795
ZNF879,160,1,0.757138583518125,0.947663626814954
ZNF891,239,1,0.87967401547738,0.986019583076172
ZNF91,433,2,0.89584670282196,0.988771722429438
ZNF92,413,11,0.00111848508491352,0.011282566846519
ZSCAN1,122,2,0.290450596444341,0.55377736318103
ZSCAN22,583,7,0.252914376232363,0.526202139921242
ZSCAN25,363,2,0.830421173693603,0.971877721663469
ZSCAN29,413,6,0.156834806511513,0.386023814996121
ZSCAN30,303,1,0.931996920960392,0.988771722429438
ZSCAN31,475,8,0.0591403408718058,0.21474914651169
ZSCAN4,393,4,0.453652051904477,0.713046389158045
ZSCAN5A,451,1,0.98193442804629,0.990664787060825
ZXDA,152,1,0.739271656890184,0.936755976114664
ZXDB,232,1,0.871936462431316,0.981622180337639
ZXDC,345,2,0.808458841329021,0.967316054139587
