tf,n_target,n_overlap,enrich_p,enrich_FDR
ETV7,382,6,0.121046622394612,0.339001537791363
EVX1,308,1,0.934966269275097,0.988771722429438
EVX2,693,7,0.407203306883702,0.670481307024027
FEV,731,8,0.313313876259137,0.579873550053247
FEZF1,411,10,0.00356498633363379,0.0290988200736775
FIGLA,414,5,0.299099148243048,0.564505309431049
FIZ1,691,4,0.859488760505481,0.981622180337639
FOS,88,2,0.180809390106975,0.422183294748561
FOSB,464,7,0.115437038229146,0.332055335869982
FOXA3,648,5,0.675463695392486,0.893445746675656
FOXB1,394,5,0.265392347977094,0.535242665703831
FOXC1,1108,23,0.000120745676407927,0.00219924165211346
FOXC2,753,13,0.0160075984164211,0.0849292027093454
FOXD1,484,3,0.800259348619495,0.966179112429352
FOXD2,521,9,0.041192418133162,0.168114356056281
FOXD3,631,8,0.192038379057592,0.436735007206748
FOXE1,163,1,0.763519836883299,0.950442622111896
FOXF1,187,7,0.00136004626045513,0.0128598433538084
FOXF2,527,6,0.317643317566738,0.583898990126636
FOXG1,575,6,0.392392929168434,0.657745178385241
FOXH1,489,8,0.067579352035613,0.238148639092289
FOXI1,710,12,0.0234015554868511,0.112871138838095
FOXJ1,151,1,0.736948226510223,0.936755976114664
FOXJ2,34,1,0.259147804323274,0.528816566514374
FOXJ3,1342,29,6.90457916786268e-06,0.000219795770176962
FOXK2,50,2,0.071395425183269,0.246146682491054
FOXL1,645,18,1.7064237925072e-05,0.000452676311623437
FOXN1,307,2,0.753692288993908,0.94458810497268
FOXN2,370,4,0.408716341880233,0.67181429689436
FOXN3,707,12,0.0227395463480229,0.111850216159021
FOXO6,816,18,0.00033163948907113,0.00440552749578291
FOXP1,169,2,0.437875778020902,0.699688577965715
FOXP2,34,1,0.259147804323274,0.528816566514374
FOXP4,298,7,0.0165262130964764,0.0871963177189775
FOXQ1,703,9,0.166995474282619,0.403748551746585
FOXS1,410,12,0.000290672478250774,0.00414316741387297
GABPA,51,1,0.362429557587294,0.629359351676155
GATA3,71,1,0.465732040284788,0.721573970980849
GATA5,494,1,0.987727947703521,0.991171594200777
GATA6,52,2,0.0764196155340961,0.256072746789691
GATAD2A,918,25,5.6410121963637e-07,2.56531745120349e-05
GATAD2B,395,6,0.135519379786034,0.35850694652538
GBX1,390,7,0.0571798991587242,0.210837079909582
GBX2,400,6,0.141295452330077,0.365206612796879
GCM1,400,7,0.0636742104801271,0.22774858055626
GCM2,396,9,0.00856403973866523,0.0541632976849357
GFI1,1035,21,0.000326760578579819,0.00440552749578291
GFI1B,29,1,0.225716049066268,0.485492853284427
GLI1,79,1,0.502224427999616,0.744758274440425
GLI4,973,11,0.236984487160528,0.499603057921202
GLIS1,470,8,0.0562968048863372,0.209196298313043
GLIS2,1066,34,6.76827132936183e-11,1.08984179485242e-08
GLIS3,838,28,1.40458886285775e-09,1.49042484892128e-07
GLYR1,438,10,0.0055402979049409,0.0403891946505234
GMEB1,794,14,0.0106961002630792,0.0630541713039546
GMEB2,608,16,0.000100663985324757,0.00197325504723083
GRHL1,578,12,0.00524663366863858,0.0388413577794562
GRHL2,75,4,0.00431250942926318,0.0334833049182629
GRHL3,376,3,0.643826492857775,0.86599197278757
GSC,393,7,0.0590829390749446,0.21474914651169
GSC2,391,8,0.0226173342986195,0.111850216159021
GSX1,398,6,0.138971347609216,0.364277879744757
GSX2,405,6,0.147184334251958,0.373832551092074
GTF2B,474,12,0.001041060406664,0.0106904590146679
GTF3A,1149,9,0.683346095899656,0.899773382343457
GZF1,195,5,0.0291163476969241,0.128636874847209
HAND1,81,1,0.510953010089685,0.754188755232842
HAND2,399,11,0.00084690634668672,0.00908759057399795
HDX,276,4,0.224752339060515,0.485492853284427
HES1,245,4,0.169420278023288,0.404730448078101
HES2,791,10,0.159398998308962,0.388331743329231
HES4,319,5,0.150237466546795,0.378566703303929
HES5,265,5,0.0848359952475038,0.267387377760284
HES6,180,2,0.470091349209497,0.721573970980849
HES7,217,4,0.124414194523277,0.342407941699508
HESX1,354,4,0.377032899480509,0.642975748221226
HEY1,403,8,0.0264526156499213,0.121502096411165
HEY2,506,6,0.285630263409137,0.55377736318103
HEYL,410,19,4.36827884210707e-09,3.79246026746568e-07
HIC2,560,9,0.0596374677536249,0.215734021608757
HIF1A,146,3,0.137418069132958,0.361526876093595
HIF3A,484,8,0.0644843713566775,0.229785726289653
HIVEP1,223,9,0.000165096394403784,0.00267232299416295
HIVEP2,409,13,7.19260269479347e-05,0.00156112172125631
HIVEP3,184,7,0.00123912868949524,0.0120719314177424
HLF,964,12,0.142716150955224,0.367369067822747
HLX,339,8,0.0104434032578408,0.0625791659351869
HMG20A,533,4,0.691033001447674,0.900827144317859
HMG20B,776,8,0.37256165100392,0.639399090011857
HMGA2,90,4,0.00819100791761574,0.053213690893354
HMGN3,475,16,5.096266944111e-06,0.000173819104700929
HMX1,395,6,0.135519379786034,0.35850694652538
HMX2,413,4,0.491808834222574,0.736171530850405
HMX3,402,4,0.4709470454835,0.721573970980849
HNF1B,37,1,0.278513107764364,0.548412408072099
HNF4A,82,1,0.51526000418494,0.758202317406191
HNF4G,55,2,0.0841574208903892,0.266900027110622
HOXA11,423,7,0.0802535569694027,0.261577293193787
HOXA13,669,8,0.235754232680249,0.498570203628936
HOXA2,360,5,0.210485404529773,0.464234552715781
HOXA4,67,1,0.446499444777434,0.70831722551902
HOXA5,443,6,0.195343562527225,0.442068962591232
HOXB13,42,3,0.00594963587586024,0.0424022556824368
HOXB2,658,16,0.000246468586825328,0.00356632576391194
HOXB3,611,12,0.00801052548792932,0.0531253600067535
HOXB4,531,7,0.187251837726645,0.431169825215549
HOXB5,461,4,0.578367644846117,0.813512109908745
HOXB7,103,2,0.228766506602447,0.489847564585956
HOXB8,397,8,0.0244822649926371,0.115175187526938
HOXC10,486,9,0.0283270314452961,0.126103659513834
HOXC12,406,8,0.027478139550356,0.124960110812333
HOXC13,591,6,0.417415737630274,0.680700594481921
HOXC4,70,2,0.125910493910045,0.344617412672987
HOXC9,809,11,0.101225498495094,0.30399481466294
HOXD11,397,10,0.00278897733044701,0.02336380132085
HOXD12,401,9,0.00924981126323551,0.0581155905025652
HOXD13,623,4,0.79962273951076,0.966179112429352
HOXD3,428,5,0.323098677960829,0.588853506588916
HOXD8,427,8,0.0354384484095071,0.148437360662628
HOXD9,443,3,0.749065488139235,0.941259922596012
HSF2,794,14,0.0106961002630792,0.0630541713039546
HSF4,986,13,0.0951192759529816,0.291150347868902
IKZF1,38,1,0.284855586664429,0.55377736318103
IKZF2,186,1,0.807207304843488,0.967316054139587
IKZF3,420,1,0.97613666965045,0.989607770187027
