ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007093,mitotic cell cycle checkpoint signaling,32/1912,140/18842,0.228571428571429,2.25248057381949,4.9987156159224,8.45760516490467e-06,0.00160264857963514,0.00126281634711717,BUB3/DYNLL1/ZWINT/RAD9A/BUB1/SPC25/CDK5RAP3/KLHL22/MUS81/SKA3/CHEK2/DTL/FBXO31/SPC24/FANCD2/TTK/MDC1/CDCA8/RPS27L/CHEK1/CDC14B/CDK1/BIRC5/TRIP13/CDK5RAP2/DBF4/NDC80/CLSPN/MAD2L1/FOXN3/DYNLT1/DYNC1H1,32
GO:0048285,organelle fission,78/1912,470/18842,0.165957446808511,1.63544467194872,4.68830538559283,8.61160066878251e-06,0.00160264857963514,0.00126281634711717,ANAPC11/BUB3/DYNLL1/ZWINT/FOXJ2/KAT5/RMI1/CDCA2/PPARG/SLX4/TOM1L2/BUB1/ANKLE2/KDR/SPC25/SYCE3/UCP2/KLHL22/MUS81/SKA3/NUMA1/CHEK2/PLCB1/AKAP8/LRP5/AKAP8L/SPC24/PRMT5/CENPA/FANCD2/PDGFB/TTK/SKA2/KIF23/ZSCAN21/MND1/IGF2/OBSL1/MYBL1/HORMAD1/PTTG2/SH2B1/CDC14C/FIGNL1/PHIP/PTTG1/CDCA8/DLGAP5/CUL3/MSH5/UHRF1/SMC2/KIF2A/NSFL1C/NUSAP1/ESPL1/CHEK1/CDC14B/ANAPC7/BAG6/CDK1/BIRC5/KLHDC3/TRIP13/CDK5RAP2/SIRT7/RAD51/UBE2C/FOXJ3/EML3/NDC80/MAD2L1/RACGAP1/DYNLT1/KIF20B/MUL1/DYNC1H1/NUDC,78
GO:1902850,microtubule cytoskeleton organization involved in mitosis,35/1912,160/18842,0.21875,2.15569429916318,4.93354073190256,9.21721944127145e-06,0.00165817777748473,0.00130657090421585,RAE1/HTT/KAT5/GPSM2/TACC1/SPC25/NUMA1/CHEK2/NEK6/CENPA/PARP3/TTK/KIF23/SETD2/CDCA8/DLGAP5/DCTN1/UHRF1/KIF2A/NSFL1C/NUSAP1/ESPL1/CDK1/BIRC5/CDK5RAP2/PCNT/SUN2/EML3/NDC80/INPPL1/RACGAP1/DYNLT1/DYNC1H1/GPSM1/NUDC,35
GO:0051294,establishment of spindle orientation,14/1912,38/18842,0.368421052631579,3.63064303016957,5.45501609694014,1.07547107876781e-05,0.00187236045551931,0.00147533740145567,HTT/KAT5/GPSM2/SKA3/NUMA1/CENPA/SKA2/DCTN1/NSFL1C/CDK5RAP2/NDC80/INPPL1/DYNLT1/GPSM1,14
GO:0000132,establishment of mitotic spindle orientation,12/1912,29/18842,0.413793103448276,4.07776655605252,5.57407858287007,1.14762377837228e-05,0.00193553922871099,0.00152511948630639,HTT/KAT5/GPSM2/NUMA1/CENPA/DCTN1/NSFL1C/CDK5RAP2/NDC80/INPPL1/DYNLT1/GPSM1,12
GO:0045839,negative regulation of mitotic nuclear division,19/1912,64/18842,0.296875,2.92558512029289,5.18555781476554,1.18970597771171e-05,0.00194571004900307,0.00153313364380269,BUB3/DYNLL1/ZWINT/TOM1L2/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/CHEK1/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,19
GO:0051784,negative regulation of nuclear division,20/1912,70/18842,0.285714285714286,2.81560071727436,5.1142450393019,1.33436669459296e-05,0.00211811089727006,0.00166897790324601,BUB3/DYNLL1/ZWINT/TOM1L2/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/HORMAD1/CDCA8/CHEK1/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,20
GO:0007094,mitotic spindle assembly checkpoint signaling,17/1912,56/18842,0.303571428571429,2.99157576210401,5.01581057077755,2.45647909053837e-05,0.00358313990584745,0.00282335610227301,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0071173,spindle assembly checkpoint signaling,17/1912,56/18842,0.303571428571429,2.99157576210401,5.01581057077755,2.45647909053837e-05,0.00358313990584745,0.00282335610227301,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
GO:0071174,mitotic spindle checkpoint signaling,17/1912,56/18842,0.303571428571429,2.99157576210401,5.01581057077755,2.45647909053837e-05,0.00358313990584745,0.00282335610227301,BUB3/DYNLL1/ZWINT/BUB1/SPC25/KLHL22/SKA3/SPC24/TTK/CDCA8/BIRC5/TRIP13/CDK5RAP2/NDC80/MAD2L1/DYNLT1/DYNC1H1,17
