gene,rho,is_TF
TRIP10,0.610948379351741,FALSE
SEMA6A,0.610948379351741,FALSE
GOLGA1,0.610564225690276,FALSE
VPRBP,0.609987995198079,FALSE
SYTL3,0.609987995198079,FALSE
C3orf17,0.609699879951981,FALSE
NLRC3,-0.608643457382953,FALSE
ZNF513,0.608547418967587,TRUE
SETD1B,0.607587034813926,FALSE
SLC41A2,-0.607394957983193,FALSE
MLF2,0.607394957983193,FALSE
TMPRSS12,-0.607202881152461,FALSE
FLII,0.60672268907563,FALSE
FUNDC1,-0.606338535414166,FALSE
CBX3,-0.6062424969988,FALSE
METTL17,0.6062424969988,FALSE
FADS3,0.605954381752701,FALSE
FOXJ3,0.605954381752701,TRUE
CDK11A,0.605282112845138,FALSE
YY1AP1,0.605282112845138,FALSE
LOC339290,0.60499399759904,FALSE
C6orf136,0.604705882352941,FALSE
ZBTB48,0.604705882352941,TRUE
LAS1L,0.604129651860744,FALSE
ZNF337,0.604033613445378,TRUE
TIE1,0.603841536614646,FALSE
RFPL1-AS1,-0.603553421368547,FALSE
TRIM28,0.603073229291717,FALSE
RERE,0.602689075630252,FALSE
KANSL3,0.602689075630252,FALSE
ZNF839,0.602304921968788,FALSE
SLC25A28,0.601632653061225,FALSE
WDR63,-0.60124849939976,FALSE
C11orf10,-0.601152460984394,FALSE
ESYT1,0.601056422569028,FALSE
DERL3,0.600192076830732,FALSE
LEFTY1,0.599423769507803,FALSE
COQ4,0.599231692677071,FALSE
SKA2,-0.598847539015606,FALSE
EFHD1,0.59875150060024,FALSE
PDCL,-0.598655462184874,FALSE
POU6F1,0.598655462184874,TRUE
FAM156B,0.598655462184874,FALSE
BBIP1,-0.598463385354142,FALSE
PHYHD1,0.597983193277311,FALSE
AKAP2,0.597887154861945,FALSE
SDR39U1,0.597695078031213,FALSE
PTPLAD2,-0.59750300120048,FALSE
PRB3,-0.596734693877551,FALSE
ALG13,-0.596638655462185,FALSE
CD74,0.595198079231693,FALSE
TRIM44,0.594909963985594,FALSE
RELA,0.594717887154862,TRUE
LAMTOR2,-0.594333733493397,FALSE
MINK1,0.594333733493397,FALSE
CUTA,-0.593853541416567,FALSE
SLC25A42,0.593565426170468,FALSE
GDPD3,0.593469387755102,FALSE
DCAF8,0.593469387755102,FALSE
LCE1C,-0.593181272509004,FALSE
PXMP4,-0.593181272509004,FALSE
DYNC1H1,0.592893157262905,FALSE
SURF4,-0.592509003601441,FALSE
MT1F,-0.592509003601441,FALSE
SLC25A29,0.592412965186075,FALSE
BAIAP3,0.592124849939976,FALSE
CHST12,-0.591836734693878,FALSE
NUMA1,0.591260504201681,FALSE
GRAP,0.591164465786315,FALSE
KDELR2,-0.590972388955582,FALSE
RXRB,0.590972388955582,TRUE
MLL,0.590684273709484,FALSE
PDXDC2P,0.590684273709484,FALSE
RNF41,0.590492196878752,FALSE
C4orf48,-0.589435774309724,FALSE
ARHGAP35,0.589435774309724,FALSE
ZNF133,0.589435774309724,TRUE
RXRA,0.588859543817527,TRUE
NPR1,0.588763505402161,FALSE
PHF15,0.588571428571429,FALSE
DAPK2,0.587995198079232,FALSE
CDC37,0.587899159663866,FALSE
FAM151B,-0.587803121248499,FALSE
MRPS33,-0.587611044417767,FALSE
PRKCSH,0.587515006002401,FALSE
SHISA4,-0.587418967587035,FALSE
MMS22L,-0.587130852340936,FALSE
ENTPD7,-0.58703481392557,FALSE
C12orf75,-0.586938775510204,FALSE
PNN,0.586746698679472,FALSE
FP588,0.586266506602641,FALSE
LAMP2,-0.586074429771909,FALSE
NNT,-0.585978391356543,FALSE
C6orf125,-0.585978391356543,FALSE
SHFM1,-0.58578631452581,FALSE
VWF,0.585594237695078,FALSE
LBX1,-0.585402160864346,TRUE
MAP3K14,0.585210084033613,FALSE
RBM18,-0.584729891956783,FALSE
DCBLD2,-0.584153661464586,FALSE
LOC100652764,-0.583961584633854,FALSE
ATP5I,-0.583865546218488,FALSE
PATL1,0.583865546218488,FALSE
TFF3,0.583577430972389,FALSE
TCF7L1,0.583097238895558,TRUE
TRAP1,0.582713085234094,FALSE
FLJ45671,0.582713085234094,FALSE
SYVN1,0.582617046818728,FALSE
NDUFB1,-0.582521008403361,FALSE
ZMIZ2,0.582328931572629,FALSE
GLB1L2,0.582232893157263,FALSE
SRRT,0.581944777911165,FALSE
CTRL,0.581848739495798,FALSE
EDEM3,-0.581752701080432,FALSE
PRR25,-0.581464585834334,FALSE
IL26,-0.581176470588235,FALSE
PLEKHM2,0.581176470588235,FALSE
C17orf28,0.580792316926771,FALSE
PHC2,0.580600240096038,FALSE
DNAJC17,0.580504201680672,FALSE
AGMAT,-0.580408163265306,FALSE
MYEOV2,-0.58031212484994,FALSE
ATXN7L3B,0.58031212484994,FALSE
RABAC1,-0.580216086434574,FALSE
POLR3E,0.580024009603842,FALSE
ZDHHC11,0.579639855942377,FALSE
MMP17,-0.579639855942377,FALSE
HERC1,0.579543817527011,FALSE
HN1L,-0.579351740696279,FALSE
LEMD2,0.579351740696279,FALSE
C17orf67,0.579351740696279,FALSE
EPS8L1,-0.578967587034814,FALSE
DNM2,0.578967587034814,FALSE
ZNF506,0.578871548619448,TRUE
DR1,-0.578775510204082,FALSE
SRD5A3,-0.578679471788716,FALSE
KIAA0664,0.578487394957983,FALSE
LETMD1,0.578391356542617,FALSE
ZNF853,0.578199279711885,TRUE
SLC6A16,0.577719087635054,FALSE
MEPCE,0.577719087635054,FALSE
C19orf63,-0.577623049219688,FALSE
LSMD1,-0.577623049219688,FALSE
UQCRQ,-0.576758703481393,FALSE
GIMAP8,0.576758703481393,FALSE
EVI2A,-0.57608643457383,FALSE
ASCC2,0.575990396158463,FALSE
GBA2,0.575798319327731,FALSE
VPS52,0.575510204081633,FALSE
SIN3B,0.575126050420168,FALSE
NCOA3,0.575126050420168,FALSE
ASMT,0.574933973589436,FALSE
LZTR1,0.574933973589436,FALSE
USP24,0.574933973589436,FALSE
PHF20,0.574741896758703,FALSE
RBM14-RBM4,-0.574261704681873,FALSE
EXOSC1,-0.574165666266507,FALSE
