tf,overall_beta,hip_beta,knee_beta,overall_p,hip_p,knee_p,dir_consist,n_sig05,n_sig_bonf,verdict
TCF7L1,0.0358236355077165,0.00597367080821493,0.0433553066576268,2.93862600217103e-34,0.199285143741108,4.87351087887637e-34,TRUE,2,2,Replicated
GATAD2A,-0.0183579452247712,-0.0819110762098721,-0.0270330276503168,1.22611465616704e-16,3.15367979338086e-115,7.45583264214759e-24,TRUE,3,3,Replicated
PKNOX2,0.00764648947555762,0.0299432006169478,0.0341462010241136,0.274491917931983,0.00845201722819795,8.21408283297217e-05,TRUE,2,1,Directionally consistent
ATF6,-0.00374498476549142,0.0386793929956414,-0.00434886520244468,0.282854666943109,5.44161963100817e-12,0.304868760524069,FALSE,1,1,Inconsistent
BCL6,0.0446543244824222,0.0100845177271089,0.075953080218984,0.29012253550709,0.880166144263542,0.144298288460206,TRUE,0,0,Directionally consistent
ZNF853,0.0254552031591958,0.0908963668883111,-0.062976712943193,0.624618476445969,0.275714857764139,0.31784453398851,FALSE,0,0,Inconsistent
