logFC,AveExpr,t,P.Value,adj.P.Val,B,tf
0.652125105404769,0.0652629957248313,11.4781412242181,1.07320929527073e-15,1.41117162350331e-12,25.5017969628149,ZFHX4
0.666063749174021,0.042056948027763,11.2657981487592,2.12686002035164e-15,1.41117162350331e-12,24.8346616052885,CSRNP3
0.53522043668652,0.0332510338283885,10.8025720706206,9.64744139424285e-15,3.62480052040431e-12,23.3582762581337,PURG
0.612074342925283,0.0280691263992976,10.7648023097238,1.09263014933061e-14,3.62480052040431e-12,23.2366396481667,NPAS3
-0.77245093843944,-0.0582890893120501,-9.80117423440015,2.7757895535249e-13,6.22334023254731e-11,20.0713944079708,FOXS1
0.453167987515186,0.0377563816198503,9.79718386660521,2.81386898231227e-13,6.22334023254731e-11,20.0580476815111,MEOX2
0.574765464567632,0.0459164394209575,9.44902615230767,9.30230086181539e-13,1.76345046337557e-10,18.8863809833341,ZNF521
0.80369545509425,-0.0460058780306587,9.3700593656096,1.22230297226879e-12,2.02749505525086e-10,18.6187074520787,MXD1
0.551778036119993,0.0255273832269046,9.26787033504024,1.74209180334146e-12,2.56861758114901e-10,18.2712972600037,TET1
0.56798140444907,0.0399542469468041,8.85848419237267,7.28201871692825e-12,8.70857898798385e-10,16.8684903757677,PLAGL1
0.592462634516034,0.022577792365541,8.84558535425348,7.619739042445e-12,8.70857898798385e-10,16.8240174113635,HOXC6
0.567028279763249,0.0401094945876158,8.83620800956818,7.8751279469334e-12,8.70857898798385e-10,16.7916758961174,ZNF273
0.700351166083659,0.0260250344993229,8.7362531467871,1.11967621425698e-11,1.1429310279377e-09,16.4464228728273,HOXC4
0.585384842855956,0.0345077100234135,8.64416209683002,1.54972477333145e-11,1.46891769586488e-09,16.1275119635525,ZNF618
-0.608691286054371,-0.0533191520845472,-8.59875809333551,1.81958813275575e-11,1.60972896811125e-09,15.9699969115479,TBX18
0.566362605031032,0.0180276870198227,8.44357604181874,3.15383554411548e-11,2.61571235440078e-09,15.4302930398024,ZNF135
0.395392417107989,0.0214462794974086,8.42433284046784,3.37691668188654e-11,2.63598143344908e-09,15.3632267647116,ZNF711
0.425169905559471,0.0358501154651396,8.35281045804316,4.35464351009151e-11,3.21033996549524e-09,15.1136953114832,ZNF423
0.249980420201662,0.0317154372577531,8.28105257660456,5.62243774108908e-11,3.77158723812069e-09,14.8629382127851,RXRG
-0.548331788992353,0.0341879827193426,-8.27797802980217,5.68438167011407e-11,3.77158723812069e-09,14.8521854319708,CEBPA
0.485419827936333,0.0224612318355276,8.1716124186665,8.30802811384606e-11,5.24988252717797e-09,14.4797561182425,ZNF462
0.265581513376273,0.0195583846536073,8.12221673353223,9.91194290980268e-11,5.97870374604916e-09,14.3065256407132,FOXD3
