donor,predicted_state,gene,mean_log_expression,z
113,HTC,RAPGEF4-AS1,0,-0.218217890235992
113,HTC,DRAXIN,0.00633525199408937,2.98241418650109
113,HTC,DHH,0,-0.276740729461188
113,HTC,CCL18,0,-0.241301824127722
113,HTC,LCK,0,-0.374092873287016
113,HTC,HBA2,0.0007041563657965,-0.285237911689778
113,HTC,HBA1,0,-0.583010545289258
113,HTC,DMP1,0,-0.344328454429059
113,HTC,BNC1,0,-0.322509438851439
113,HTC,SLA2,0,-0.587182523459391
113,HTC,LCE1E,0,0
113,HTC,GDNF,0.000515331907366363,-0.383898510116019
113,HTC,MMP1,0.000354197116403019,-0.427576168951805
113,HTC,S100A2,0.0118133143744351,-0.655172086284884
113,HTC,LRRC38,0,-0.378241867862281
113,HTC,WNT16,0.00212141493322393,-0.49388550012677
113,HTC,KRTAP2-3,0,-0.218217890235992
113,HTC,TAC1,0.026664606828914,-0.669192216095652
113,HTC,GCSAM,0,-0.218217890235992
113,HTC,DCLK1,0,-0.380257837180033
113,HTC,TCN1,0,0
113,HTC,RETN,0,0
113,HTC,PGLYRP1,0,0
113,HTC,PADI4,0,0
113,HTC,MS4A3,0,0
113,HTC,MNDA,0.000288659949876655,-0.219925760594463
113,HTC,RNASE6,0,-0.235947057269194
113,HTC,SPI1,0.00224376225961297,-0.334560386212787
113,HTC,CLDN10,0,-0.332169031798302
113,HTC,LY6D,0.00366862081068021,-0.385899796442845
113,HTC,TNFAIP6,0.0125021961244988,-0.573961123905713
113,HTC,FAM159B,0.000881911580851537,-0.479707564381768
113,HTC,PRG4,0.144685471432775,-0.961585898693575
113,HTC,F5,0.0149428071317466,-0.708088148045109
113,HTC,SOX11,0.00352186012826118,-0.401868189397802
113,HTC,AMTN,0.0441127920159609,-0.295200199599723
113,HTC,DEFB1,0.00968867766735609,-0.453263177181666
113,HomC,CCDC160,0,-0.543696547439079
113,HomC,ANKRD1,0,-0.304245898766611
113,HomC,SPINK1,0,-0.52514464239922
113,HomC,CLDN4,0.00107129896684269,-0.505129007476954
113,HomC,TMEM156,0.000384122868282299,-0.583929386630193
113,HomC,FAM170B,0,-0.352126787991565
113,HomC,MTBP,0.000664298498430907,-1.01123451654657
113,HomC,ROBO4,0,-0.309096904528277
113,HomC,TEK,0,-0.29155837573271
113,HomC,EBF2,0.000430988885203141,-0.219005885888725
113,HomC,NR2F2-AS1,0,-0.237416964681221
113,HomC,CRYBB1,0,-0.312980642444085
113,HomC,CRIP3,0.000139207209711591,-0.248045441126482
113,HomC,ADAD2,0,-0.320872173109454
113,HomC,ARHGEF15,0.000162691494770105,-0.279006594641316
113,HomC,ROPN1,0,-0.505733199781978
113,HomC,PLA2G10,0,-0.393328994646316
113,HomC,HIST1H2AH,0,-0.888327691857778
113,HomC,HIST1H2BE,0,-0.248716416393874
113,HomC,RAPGEF4-AS1,0,-0.218217890235992
113,HomC,DRAXIN,0.000985231953304481,-0.186612169504144
113,HomC,DHH,0.000244219647336278,1.09261146030436
113,HomC,CCL18,0,-0.241301824127722
113,HomC,LCK,0.000451844473004656,0.773494794490952
113,HomC,HBA2,0.0053240735231657,2.42730246190079
113,HomC,HBA1,0.00376796030476865,2.34822402291119
113,HomC,DMP1,0,-0.344328454429059
113,HomC,BNC1,0,-0.322509438851439
113,HomC,SLA2,0.000928462266400915,1.87161873080387
113,HomC,LCE1E,0,0
113,HomC,GDNF,0.000223588617866418,-0.472463616990792
113,HomC,MMP1,0,-0.500646372205826
113,HomC,S100A2,0.00932240962227758,-0.693855467799866
