donor,excluded_states,retained_states,n_lateral,n_medial,total_delta,within_lateral_reference,composition_lateral_reference,within_medial_reference,composition_medial_reference,within_symmetric,composition_symmetric,within_share_symmetric,composition_share_symmetric,within_share_lateral_reference,within_share_medial_reference,decomposition_error,medial_higher_within,both_components_contribute
113,HTC;RegC;EC,FC;HomC;ProC;preHTC,2747,2154,-0.0469190794213279,0.00976502788591554,-0.0566841073072434,-0.00255528939721037,-0.0443637900241175,0.00360486924435259,-0.0505239486656805,-0.0768316277474517,1.07683162774745,-0.208124882379441,0.054461626884538,2.77555756156289e-17,FALSE,FALSE
116,HTC;RegC;EC,FC;HomC;ProC;preHTC,1663,3083,-0.138201079558538,-0.10038986615762,-0.0378112134009173,-0.102281063431527,-0.0359200161270106,-0.101335464794574,-0.0368656147639639,0.733246550014475,0.266753449985525,0.726404355727904,0.740088744301046,2.77555756156289e-17,TRUE,TRUE
118,HTC;RegC;EC,FC;HomC;ProC;preHTC,2201,4075,-0.0694116085257127,-0.0155414741685099,-0.0538701343572027,-0.0487031741907776,-0.0207084343349351,-0.0321223241796438,-0.0372892843460689,0.462780287936195,0.537219712063805,0.223903097747011,0.701657478125379,2.77555756156289e-17,TRUE,TRUE
