gene,rho
PI4KB,0.790769230769231
SASH3,0.772307692307692
CECR1,0.750769230769231
CIC,0.735384615384615
ULK3,0.729230769230769
C1orf162,0.728461538461539
RNF166,0.728461538461539
UCP2,0.726923076923077
PLCG2,0.719230769230769
RHOG,0.716923076923077
HLA-F,0.715384615384615
ARHGAP30,0.713846153846154
HLA-J,0.710769230769231
TMC6,0.707692307692308
