metric,estimate,null_95th,pass
balanced_accuracy,0.679969663690466,0.194972172976379,TRUE
macro_F1,0.635461094673984,,
recall_ProC,0.743515850144092,,
recall_HomC,0.87037037037037,,
recall_HTC,0.653846153846154,,
recall_RegC,0.284848484848485,,
recall_preHTC,0.76027397260274,,
recall_FC,0.807692307692308,,
recall_EC,0.639240506329114,,
