outcome,model,beta,se,z,p_source,p_recalculated,p_matches_source
"OA (overall, M13_ARTHROSIS)",Fixed effect,-0.027300165290345,0.0197033303642433,-1.38556095774997,0.165881006808663,0.165881006808664,TRUE
Knee OA (gonarthrosis),Fixed effect,-0.032085179597907,0.0238598301781971,-1.34473629352258,0.178710409754076,0.178710409754076,TRUE
Hip OA (coxarthrosis),Fixed effect,-0.00501764346680688,0.031693500440653,-0.15831774329259,0.874206427336958,0.874206427336958,TRUE
