donor,state,n_lateral,n_medial,mean_lateral,mean_medial,delta_lateral_minus_medial,det_lateral,det_medial,available
113,EC,1508,456,0.155631897011549,0.202028472657361,-0.0463965756458118,0.229442970822281,0.355263157894737,TRUE
113,FC,425,144,0.18014509757636,0.16563815970578,0.0145069378705801,0.185882352941176,0.256944444444444,TRUE
113,HomC,1716,343,0.17936038331258,0.162585128257125,0.0167752550554551,0.215034965034965,0.285714285714286,TRUE
113,HTC,1327,460,0.159431044174819,0.18779194465888,-0.02836090048406,0.207987942727958,0.308695652173913,TRUE
113,preHTC,293,1201,0.270639708104408,0.272270253726559,-0.00163054562215054,0.300341296928328,0.511240632805995,TRUE
113,ProC,313,466,0.211337062120779,0.235776374581665,-0.0244393124608861,0.220447284345048,0.493562231759657,TRUE
113,RegC,618,110,0.159097841384122,0.190634533875488,-0.031536692491366,0.176375404530744,0.309090909090909,TRUE
116,EC,917,137,0.178480679922324,0.316708793856582,-0.138228113934258,0.302071973827699,0.496350364963504,TRUE
116,FC,123,786,0.15118551275707,0.223520495469243,-0.072334982712173,0.186991869918699,0.323155216284987,TRUE
116,HomC,1097,104,0.172250191843311,0.271125810758728,-0.0988756189154174,0.247037374658159,0.442307692307692,TRUE
116,HTC,860,136,0.163377356873503,0.312682616896751,-0.149305260023248,0.26046511627907,0.448529411764706,TRUE
116,preHTC,322,1833,0.259579248414496,0.374632571516317,-0.115053323101821,0.422360248447205,0.626295690125477,TRUE
116,ProC,121,360,0.279500179424321,0.38311522535429,-0.103615045929969,0.380165289256198,0.638888888888889,TRUE
116,RegC,345,191,0.181772400463276,0.286442235783404,-0.104669835320127,0.228985507246377,0.424083769633508,TRUE
118,EC,891,324,0.201622592848185,0.253493109148712,-0.0518705163005269,0.323232323232323,0.407407407407407,TRUE
118,FC,257,118,0.178480486664916,0.217876569291293,-0.0393960826263768,0.276264591439689,0.322033898305085,TRUE
118,HomC,1113,210,0.198575787015438,0.186002309016282,0.0125734779991563,0.327942497753819,0.285714285714286,TRUE
118,HTC,1376,402,0.180904323689998,0.207924460643693,-0.0270201369536953,0.303052325581395,0.310945273631841,TRUE
118,preHTC,517,3179,0.233672927541877,0.290532221112742,-0.056859293570865,0.439071566731141,0.516514627241271,TRUE
118,ProC,314,568,0.257212733666485,0.284856101968508,-0.0276433683020231,0.417197452229299,0.477112676056338,TRUE
118,RegC,172,75,0.197597186202293,0.231628485496456,-0.0340312992941625,0.296511627906977,0.36,TRUE
