outcome,Q,df,p,I2,phi,tau2,egger_intercept,egger_intercept_p,outcome_short
"OA (overall, M13_ARTHROSIS)",7.13909527378454,4,0.128717728633323,43.9704914054251,1.78477381844613,0.004404861173623,-0.00899996365545297,0.341722131342824,Overall OA
Knee OA (gonarthrosis),5.59599524535289,4,0.23141939861113,28.5203109612765,1.39899881133822,0.00329524925852477,-0.00541832349075207,0.617023506335805,Knee OA
Hip OA (coxarthrosis),3.72339351140059,4,0.444732618120157,0,1,0,-0.0170902321811473,0.0431318642607764,Hip OA
