outcome,model,beta,se,p,outcome_short,mde_beta,variance_model,mde_OR
"OA (overall, M13_ARTHROSIS)",Multiplicative random effects,-0.027300165290345,0.0263227483843237,0.299674332746699,Overall OA,0.0737454227736282,Prespecified,1.07653270989707
"OA (overall, M13_ARTHROSIS)",DerSimonian-Laird,-0.00365711912149655,0.0458261933071919,0.936393045901059,Overall OA,0.128385985771816,Conservative,1.13699178066059
Knee OA (gonarthrosis),Multiplicative random effects,-0.032085179597907,0.0282212353803691,0.255573320498435,Knee OA,0.0790641958785287,Prespecified,1.08227379735751
Knee OA (gonarthrosis),DerSimonian-Laird,-0.015626085980631,0.0461592777176634,0.734967321543799,Knee OA,0.129319150132577,Conservative,1.1380532760666
Hip OA (coxarthrosis),Multiplicative random effects,-0.00501764346680688,0.031693500440653,0.874206427336958,Hip OA,0.0887920423447904,Prespecified,1.09285336547034
Hip OA (coxarthrosis),DerSimonian-Laird,-0.00501764346680688,0.031693500440653,0.874206427336958,Hip OA,0.0887920423447904,Conservative,1.09285336547034
