gene,logFC,P.Value,adj.P.Val,status,is_piezo
DIS3L,-0.33964018875,0.000214728880766219,0.00154918162999231,Lateral higher,FALSE
SPSB3,-0.40237216855,0.000215140745604558,0.00155163842784825,Lateral higher,FALSE
DCP1A,-0.3865039845,0.000215689544541098,0.00155508086604506,Lateral higher,FALSE
PHLDB2,-1.0251619033,0.000215809973374992,0.0015554335788114,Lateral higher,FALSE
GLYCTK,-0.572175856,0.000216221005837807,0.00155787986716926,Lateral higher,FALSE
CLIC4,0.50910744665,0.000216451890039761,0.00155902699077645,Medial higher,FALSE
POLE2,0.6111793984,0.000216584678057837,0.00155946703644954,Medial higher,FALSE
TNNC1,0.657239869,0.000216725279807146,0.00155996303321146,Medial higher,FALSE
FUCA2,0.3314124078,0.000216818168078005,0.00156011537943525,Medial higher,FALSE
IGSF3,1.0461827805,0.000217065668691691,0.00156137977029817,Medial higher,FALSE
CCNJL,0.3493073222,0.000217339039238361,0.00156262433112062,Medial higher,FALSE
DLG4,0.3933021555,0.000217382366033973,0.00156262433112062,Medial higher,FALSE
RACGAP1P,0.4528946872,0.000218113967713396,0.00156736538675315,Medial higher,FALSE
PNMA2,1.0614191543,0.000218416407727001,0.00156863992294215,Medial higher,FALSE
SH2D1B,-0.9454154475,0.000218435561171008,0.00156863992294215,Lateral higher,FALSE
PPAPDC3,0.38123297745,0.000219307452025922,0.00157438141797619,Medial higher,FALSE
MTMR2,0.31944432475,0.000219385023812705,0.00157441868623357,Medial higher,FALSE
C19orf18,-0.6074925941,0.000219499705823289,0.00157472216394069,Lateral higher,FALSE
LINC00478,-0.51087810895,0.000219794290712325,0.00157631566487784,Lateral higher,FALSE
TRIM17,0.59687476455,0.000219965020185834,0.00157702014472059,Medial higher,FALSE
GOLGA7B,0.9162779945,0.000220132605687756,0.00157770162732127,Medial higher,FALSE
UBQLNL,-0.705810908,0.00022077549953996,0.00158178809815323,Lateral higher,FALSE
HSD11B1L,0.37410189905,0.00022117169547837,0.00158410494568506,Medial higher,FALSE
TWIST1,0.6965931627,0.000221523812755345,0.00158610466591648,Medial higher,FALSE
LOC651536,-1.12054007845,0.000222055282015079,0.00158938680302468,Lateral higher,FALSE
ARHGAP22,0.6108535279,0.000222153716380262,0.00158956830220508,Medial higher,FALSE
PFN1,0.4337306489,0.000222388260343181,0.00159039617649423,Medial higher,FALSE
SAMD5,0.57795870195,0.000222415647705749,0.00159039617649423,Medial higher,FALSE
NRIP3,0.69218151865,0.000222512199055284,0.00159056370484737,Medial higher,FALSE
GRIA3,0.8075520317,0.000224023813803356,0.00160054815648003,Medial higher,FALSE
TMED2,0.55868263235,0.000224056139043845,0.00160054815648003,Medial higher,FALSE
NEIL3,0.91282980635,0.000224470298920052,0.00160298028302986,Medial higher,FALSE
SNORA59B,-0.47184546065,0.000225151066146319,0.00160731407640785,Lateral higher,FALSE
CSNK2B,0.32696657355,0.000225411418524687,0.0016086447426998,Medial higher,FALSE
MYO1E,0.48938483885,0.000226145180175329,0.00161335190527181,Medial higher,FALSE
C17orf67,-0.69287016525,0.000226805124327489,0.00161752952930215,Lateral higher,FALSE
PYROXD2,-0.44603342265,0.000227088514486323,0.00161859782371129,Lateral higher,FALSE
DCUN1D4,-0.52946519585,0.000227103740252246,0.00161859782371129,Lateral higher,FALSE
ARHGEF16,-0.414351678,0.00022727122349325,0.00161926094118087,Lateral higher,FALSE
BTN3A2,-0.53893184395,0.000228784981732536,0.00162951241736939,Lateral higher,FALSE
SULT1A4,-0.46134669765,0.0002301472980385,0.0016384049031962,Lateral higher,FALSE
RAB13,0.59240340835,0.000230184138661621,0.0016384049031962,Medial higher,FALSE
GLG1,0.36077332145,0.000230421585631985,0.00163955849874614,Medial higher,FALSE
CAPSL,0.7023808523,0.000230973213868986,0.00164294615699091,Medial higher,FALSE
GSTO1,0.5669022487,0.000231270094821625,0.00164452013813664,Medial higher,FALSE
UHRF1BP1L,0.4174239205,0.000231836983869979,0.00164751660160427,Medial higher,FALSE
RAI14,0.49571475915,0.000231880402460884,0.00164751660160427,Medial higher,FALSE
FAM179A,-1.0652187348,0.00023191871249137,0.00164751660160427,Lateral higher,FALSE
LOC645645,0.4637349326,0.000233065605716685,0.00165512342655871,Medial higher,FALSE
C1orf115,-0.5784202549,0.000233817434189787,0.0016599206359322,Lateral higher,FALSE
ST3GAL3,-0.32724137355,0.000234507556550768,0.0016642767928523,Lateral higher,FALSE
RBBP6,-0.34427876665,0.000234746277007461,0.00166542759865176,Lateral higher,FALSE
HLA-F,-0.49923491575,0.000235058645193731,0.00166709998378025,Lateral higher,FALSE
ASF1B,0.47025461405,0.000235576408554349,0.00167022752244922,Medial higher,FALSE
NDFIP2,0.5890135626,0.00023565458441871,0.00167023738034402,Medial higher,FALSE
CD96,-0.99002611015,0.000236181903667679,0.00167342956631249,Lateral higher,FALSE
CLDN7,0.457553245,0.000236857938179705,0.00167767302874794,Medial higher,FALSE
FGF2,-0.926634135,0.00023732022832956,0.00168040026257311,Lateral higher,FALSE
TBC1D10C,-0.98805751665,0.000238134741185171,0.00168561890343633,Lateral higher,FALSE
RANBP17,0.5638122552,0.000238701133999834,0.00168907842119856,Medial higher,FALSE
APOD,-1.5341188941,0.000239330094665962,0.00169297828265821,Lateral higher,FALSE
CEP78,0.2947216497,0.000239726552666657,0.0016951663677141,Medial higher,FALSE
SMARCD3,0.36625337315,0.000239849624443817,0.0016951663677141,Medial higher,FALSE
C6orf138,2.1726464352,0.000239873210731152,0.0016951663677141,Medial higher,FALSE
C6orf163,-0.65554101645,0.000240483177405355,0.00169892499997443,Lateral higher,FALSE
COL11A2,0.5914369141,0.00024178316450234,0.0017075263399601,Medial higher,FALSE
SIL1,0.30679607315,0.000241872415972121,0.0017075263399601,Medial higher,FALSE
RPL8,0.39690198705,0.000241936198039584,0.0017075263399601,Medial higher,FALSE
FAM173A,0.3633661302,0.000242227730003621,0.00170902938145922,Medial higher,FALSE
PXMP4,0.29657723865,0.000242308749037696,0.00170904666312191,Medial higher,FALSE
LOC100190986,-0.77781019205,0.000242726534655359,0.00171143843819234,Lateral higher,FALSE
RAD51AP1,1.0609688267,0.000243326618996468,0.00171455999757971,Medial higher,FALSE
CMBL,-0.79415564265,0.000243326899251956,0.00171455999757971,Lateral higher,FALSE
TSN,0.36223921825,0.00024347874468908,0.00171507436997308,Medial higher,FALSE
VKORC1L1,-0.611597729,0.000243695181573971,0.00171604324687504,Lateral higher,FALSE
PDCL,0.40113883615,0.000243887157060114,0.00171683930109113,Medial higher,FALSE
PVRL1,0.43626201055,0.000244498553023375,0.00172058638801827,Medial higher,FALSE
ZNF29P,-0.4409839585,0.000244591033302941,0.00172068051630193,Lateral higher,FALSE
C2CD4B,-1.615286723,0.000245244833049474,0.00172472214952866,Lateral higher,FALSE
LOC644962,0.53597130535,0.000246005340475326,0.00172951136587566,Medial higher,FALSE
TCF7,0.71458368,0.000246345550447143,0.00173134359073546,Medial higher,FALSE
HACL1,-0.34276747805,0.000246893762327769,0.0017346260889757,Lateral higher,FALSE
SGCB,-0.44491152715,0.000246975384480634,0.0017346260889757,Lateral higher,FALSE
DAB2,-0.39401979475,0.00024705183999847,0.0017346260889757,Lateral higher,FALSE
HDC,1.04758800875,0.000247359906932844,0.00173622868525434,Medial higher,FALSE
ATAD3A,0.3962142418,0.000248038062696194,0.00174042707734439,Medial higher,FALSE
CEP76,0.2871844579,0.000248375619282868,0.0017422336248439,Medial higher,FALSE
ZNF341,-0.45359973915,0.000248478679919876,0.00174239466331952,Lateral higher,FALSE
ZNF592,-0.35001165735,0.000249079184784089,0.00174604267722317,Lateral higher,FALSE
MS4A4E,-1.0118682292,0.000249357092145481,0.00174742766377207,Lateral higher,FALSE
PMM2,0.4677667087,0.000251893363970994,0.00176463267410533,Medial higher,FALSE
PROCR,0.52703981415,0.000253796071254472,0.00177689799932656,Medial higher,FALSE
FAM60A,0.4169538958,0.000253846646294296,0.00177689799932656,Medial higher,FALSE
HOXA1,0.75533497725,0.000253889250731286,0.00177689799932656,Medial higher,FALSE
METTL12,0.3202390643,0.000254728640203564,0.00178219922216401,Medial higher,FALSE
RAP1GAP,2.74492775335,0.000254912962153628,0.00178291535458704,Medial higher,FALSE
COX4NB,0.41813354235,0.000255040707239927,0.00178323544322819,Medial higher,FALSE
WDR90,0.7809334323,0.000255379373140179,0.00178502960300294,Medial higher,FALSE
FAM195A,0.3783831127,0.000255516860594034,0.00178541688134964,Medial higher,FALSE
LOC729088,-0.436905976,0.000256477153576518,0.00179155139518189,Lateral higher,FALSE
LOC728061,0.59416513915,0.000256892893698754,0.0017938793655651,Medial higher,FALSE
TNFAIP3,-0.5534782455,0.000257285269530849,0.00179604274160303,Lateral higher,FALSE
HAUS1,0.48397659945,0.000257458083845622,0.00179667251838626,Medial higher,FALSE
TCEAL6,0.40392813255,0.000258098699809439,0.00180028656276378,Medial higher,FALSE
DDIT4L,0.8908387437,0.000258141494541202,0.00180028656276378,Medial higher,FALSE
RBFOX2,0.4749807803,0.00025891123951483,0.00180507605189954,Medial higher,FALSE
ODF2,0.3156479555,0.000259304018766582,0.00180723518622579,Medial higher,FALSE
CCR2,-0.98543841145,0.00025961189786759,0.00180880141012678,Lateral higher,FALSE
GPATCH8,-0.43315801595,0.000260164097799468,0.00181206834945054,Lateral higher,FALSE
ANGPTL5,0.9417255982,0.000260528896069496,0.00181402834420733,Medial higher,FALSE
CD300LB,0.61957563795,0.000262932842769098,0.0018301808626923,Medial higher,FALSE
PPAPDC1A,0.80345601535,0.000263320652169066,0.0018322939302564,Medial higher,FALSE
SPRED2,-0.68127610625,0.000263960204637712,0.00183599498792978,Lateral higher,FALSE
RELA,-0.4033918546,0.000264021346186297,0.00183599498792978,Lateral higher,FALSE
MAZ,0.4631966738,0.000264526221295449,0.00183891798198102,Medial higher,FALSE
NLRP1,-0.43045923535,0.000265811585729141,0.00184726313507357,Lateral higher,FALSE
PSD,0.6828572718,0.000266021677245985,0.00184813271269711,Medial higher,FALSE
TCEANC,-0.3813300362,0.000267758914913801,0.00185960789182791,Lateral higher,FALSE
COL1A1,0.89799413285,0.000267927227210158,0.0018601829065673,Medial higher,FALSE
ZNF573,-0.4051698695,0.000268089146692021,0.00186071318406026,Lateral higher,FALSE
BMP2,0.45312547435,0.000268903698702931,0.00186561502985679,Medial higher,FALSE
CFL1,0.4420064433,0.000268966933322495,0.00186561502985679,Medial higher,FALSE
COMMD5,0.4147392302,0.000269118592929062,0.00186607192648803,Medial higher,FALSE
ARHGAP42,-0.6790816555,0.000270064212308584,0.00187169461563813,Lateral higher,FALSE
DCPS,0.26902094,0.000270101572199709,0.00187169461563813,Medial higher,FALSE
UBTD2,0.49298245815,0.00027248474152968,0.00188760767444382,Medial higher,FALSE
PIEZO1,-0.5035281644,0.000272626386996261,0.00188798763767675,Lateral higher,TRUE
TNPO2,-0.3011114609,0.00027296578185094,0.00188937072402291,Lateral higher,FALSE
RPS29,0.47625455725,0.000272999824641596,0.00188937072402291,Medial higher,FALSE
WDR63,0.50588004505,0.000273483741746842,0.00189211779595334,Medial higher,FALSE
SRCRB4D,-0.6314466457,0.000274128565385968,0.00189597601089844,Lateral higher,FALSE
ROR1,0.73746959815,0.000274404428608339,0.00189637838917531,Medial higher,FALSE
RGAG4,-0.38973007365,0.000274440141739946,0.00189637838917531,Lateral higher,FALSE
NXPH3,-0.599761563,0.00027444828839297,0.00189637838917531,Lateral higher,FALSE
AVEN,0.4188467257,0.000275277380736628,0.00190150320285269,Medial higher,FALSE
ENOSF1,-0.44805522075,0.000275425104255259,0.00190191964055885,Lateral higher,FALSE
FANK1,0.47943618365,0.000275565369636105,0.00190228432888752,Medial higher,FALSE
LOC100134240,0.97378344315,0.000276422393273878,0.0019075951454611,Medial higher,FALSE
TMEM87B,0.42804033875,0.000276758872007102,0.00190931144430653,Medial higher,FALSE
RALBP1,-0.3119556233,0.000276968352758929,0.00190988382538325,Lateral higher,FALSE
TNFRSF17,-1.4654268393,0.000277017445250283,0.00190988382538325,Lateral higher,FALSE
EHD1,-0.33441085815,0.00027714173717575,0.00191013531908965,Lateral higher,FALSE
SGCG,-0.75283117075,0.00027781799371933,0.00191349144443714,Lateral higher,FALSE
THBD,-0.731990865,0.000277860942238286,0.00191349144443714,Lateral higher,FALSE
SNX12,0.3012665738,0.000277892583347596,0.00191349144443714,Medial higher,FALSE
PDZRN3,-0.80750279265,0.000278249071374912,0.00191493064204155,Lateral higher,FALSE
VEGFC,0.49109497005,0.000278277664559275,0.00191493064204155,Medial higher,FALSE
PAR5,-0.92440719625,0.000279659327498658,0.00192371477164827,Lateral higher,FALSE
NUDT17,-0.41638920345,0.000279738034302374,0.00192371477164827,Lateral higher,FALSE
CHEK2,0.48370730075,0.00027981948958694,0.00192371477164827,Medial higher,FALSE
CCDC78,0.4480812531,0.000279933370959098,0.00192388963194385,Medial higher,FALSE
LOC100128402,-0.79672693495,0.000280304202629304,0.00192582975855736,Lateral higher,FALSE
SLCO2A1,0.660845849399999,0.000280725022324672,0.00192751942288677,Medial higher,FALSE
NRN1L,-0.60979778695,0.000280727359861405,0.00192751942288677,Lateral higher,FALSE
SOHLH2,0.8404308531,0.000280911549893377,0.00192817546017063,Medial higher,FALSE
ITGA1,-0.46360907175,0.000281115591944925,0.00192896730472745,Lateral higher,FALSE
NRBF2,0.40755434375,0.000281335833389974,0.001929848475847,Medial higher,FALSE
NOA1,0.32496097495,0.000281421449309796,0.001929848475847,Medial higher,FALSE
LOC100128482,-0.8916317946,0.00028169731041,0.00193113138860331,Lateral higher,FALSE
VPS18,2.22520927305,0.000281933061254736,0.00193213861008602,Medial higher,FALSE
LOC100506247,0.58530159065,0.000282668860576877,0.00193657104102937,Medial higher,FALSE
PRPF4,0.2455079068,0.000282782684731726,0.00193674085588303,Not highlighted,FALSE
ZNF335,-0.4514137234,0.000283703843044976,0.00194243814728182,Lateral higher,FALSE
LBR,-0.42026939185,0.000283930524654433,0.00194337846830812,Lateral higher,FALSE
KCNE4,0.47195219975,0.000284385742596528,0.00194588193550163,Medial higher,FALSE
SLC35F5,0.28640279725,0.000285477717742174,0.00195273940765025,Medial higher,FALSE
PROSER1,-0.32531254135,0.000285889844010837,0.0019549436928399,Lateral higher,FALSE
IGLL5,-2.05083317355,0.000286294210175483,0.00195709354485767,Lateral higher,FALSE
ENTPD1,0.4685243594,0.00028672463818655,0.00195942014760724,Medial higher,FALSE
SYNC,-0.46091720935,0.000287094381597245,0.00196133071246962,Lateral higher,FALSE
SH2B1,-0.49032719425,0.000287761116160941,0.00196526838264766,Lateral higher,FALSE
PIP4K2B,-0.3048171512,0.000288611504991798,0.00197045745655417,Lateral higher,FALSE
MYL10,0.7700776035,0.000289226947556129,0.00197344542259664,Medial higher,FALSE
LOC151534,0.49939241815,0.00028923059981786,0.00197344542259664,Medial higher,FALSE
CEACAM3,-1.40549298375,0.000289412555877756,0.00197406770631952,Lateral higher,FALSE
NUDT7,-0.66066961225,0.000289681528543277,0.00197528294949008,Lateral higher,FALSE
PCNA,0.73093228465,0.000291541598153195,0.00198734341680611,Medial higher,FALSE
SEMA3E,0.7128602464,0.000292516270159637,0.00199336275329337,Medial higher,FALSE
FLJ45671,-0.4989410405,0.000292631799466701,0.00199352549389279,Lateral higher,FALSE
NEK9,-0.32748894735,0.000293394346757403,0.00199809449926958,Lateral higher,FALSE
IGSF1,-0.89141039775,0.000294264584677656,0.00200339381718572,Lateral higher,FALSE
PSMB5,0.4579571725,0.00029471038579758,0.00200557379933403,Medial higher,FALSE
SRM,0.32823996745,0.000294769190716756,0.00200557379933403,Medial higher,FALSE
C11orf9,0.87042197935,0.000295019225641579,0.00200664734088668,Medial higher,FALSE
RYR3,-0.958643492,0.000298134606415216,0.00202720348819749,Lateral higher,FALSE
LOC645434,-0.8489078794,0.000298344941016857,0.00202799973656209,Lateral higher,FALSE
MRPS21,0.2998754487,0.000300166972526754,0.00203974757463354,Medial higher,FALSE
DEM1,0.3346783639,0.000300685587354639,0.00204263363402189,Medial higher,FALSE
FLJ35946,-0.61144766755,0.000301399422831225,0.00204630815646334,Lateral higher,FALSE
PPP6R1,2.8803493495,0.000301472847666172,0.00204630815646334,Medial higher,FALSE
MSH5,-0.51516048415,0.000301508718346129,0.00204630815646334,Lateral higher,FALSE
SH3BGRL2,-0.75655787755,0.000301923768240522,0.0020484859035458,Lateral higher,FALSE
TLL1,0.70041088915,0.000302541840126155,0.00205203932224014,Medial higher,FALSE
LINC00494,0.46613023445,0.000302771218311398,0.00205231942586425,Medial higher,FALSE
ENPP2,0.66574200965,0.000302771838800956,0.00205231942586425,Medial higher,FALSE
POU6F1,-0.4365537212,0.000303780489227735,0.00205851501610021,Lateral higher,FALSE
ETS2,-0.56312685235,0.000304295394377246,0.00206136201136526,Lateral higher,FALSE
UBOX5,-0.37918045345,0.000304400055720425,0.00206142901993483,Lateral higher,FALSE
LOC401397,0.3755035865,0.000305429727194314,0.00206775830249944,Medial higher,FALSE
DNM2,-0.43026022775,0.000305640068239938,0.00206853850788897,Lateral higher,FALSE
RUNX2,0.52785109505,0.000307146249423962,0.00207808560418975,Medial higher,FALSE
BUB3,0.28543660615,0.000308248162219193,0.00208489242058206,Medial higher,FALSE
NR2F2,-0.4295761574,0.000308578448090733,0.00208647758870675,Lateral higher,FALSE
AARS2,-0.3727160439,0.000309482412850825,0.00209193954143293,Lateral higher,FALSE
LOC389043,3.258351282,0.000309935152352723,0.00209434900092464,Medial higher,FALSE
LOC339352,0.36160206605,0.000310064944030412,0.00209457536104023,Medial higher,FALSE
AK2,0.49389014295,0.000310663175155006,0.00209759958414561,Medial higher,FALSE
HIGD1C,-0.83813526765,0.000310705491914176,0.00209759958414561,Lateral higher,FALSE
SH3BGRL3,0.59233842075,0.000310899562871965,0.00209823027787873,Medial higher,FALSE
ITGB3,0.75917586775,0.000311057393414722,0.00209823027787873,Medial higher,FALSE
B9D2,0.25093698565,0.000311088297451218,0.00209823027787873,Medial higher,FALSE
FBXL6,0.38050499025,0.000311461674165119,0.00210009743844999,Medial higher,FALSE
FBXO42,-0.3131995695,0.000313334333279168,0.00211172324500351,Lateral higher,FALSE
LOC254057,-0.63359520665,0.000313469031420019,0.00211172324500351,Lateral higher,FALSE
HLA-E,-0.41387052845,0.000313477122017118,0.00211172324500351,Lateral higher,FALSE
CHPF2,0.50126805405,0.000313652918644452,0.00211225333942852,Medial higher,FALSE
SSR2,0.44161706025,0.000314129865443736,0.00211481053331233,Medial higher,FALSE
HMBOX1,3.2590934414,0.000314879954819416,0.00211920444840097,Medial higher,FALSE
LDHA,0.61977243315,0.00031534580922013,0.00212168327935548,Medial higher,FALSE
CENPO,0.60040655185,0.000315676639488035,0.00212325240016813,Medial higher,FALSE
GSDMB,-0.64720466265,0.000316108685148416,0.00212536735732865,Lateral higher,FALSE
NFAM1,-0.55398073145,0.000316186500933961,0.00212536735732865,Lateral higher,FALSE
COPG,0.35298464085,0.000316775471022497,0.00212866853434704,Medial higher,FALSE
ADSSL1,-0.45239944435,0.000317216669666274,0.00213044607784628,Lateral higher,FALSE
WTAP,0.3199595571,0.000317235879282093,0.00213044607784628,Medial higher,FALSE
TRAPPC5,0.3500031473,0.000319373110075206,0.00214413700319626,Medial higher,FALSE
SLC39A7,0.7725483926,0.000319616614190493,0.00214510971671447,Medial higher,FALSE
CAV1,-0.620731588,0.000320592950849279,0.00215099872513063,Lateral higher,FALSE
ORC5,0.2851898913,0.000321067756650966,0.00215352014883497,Medial higher,FALSE
MS4A15,1.08646345205,0.00032134381110605,0.00215416469838306,Medial higher,FALSE
CPE,0.809918553,0.000321361918272023,0.00215416469838306,Medial higher,FALSE
NEK4,-0.3396563785,0.0003224876625493,0.00216068366577381,Lateral higher,FALSE
RPUSD3,-0.39408206805,0.000322533094095603,0.00216068366577381,Lateral higher,FALSE
PLEKHH3,-0.5275885609,0.000324831733146783,0.00217541251829089,Lateral higher,FALSE
C22orf34,-1.10890033235,0.000325671071625314,0.00218017702016015,Lateral higher,FALSE
DSTNP2,0.6161285414,0.000325743624288363,0.00218017702016015,Medial higher,FALSE
GOT2,0.3309399609,0.000326273098706734,0.00218304904431525,Medial higher,FALSE
ZNF767,-0.51363241265,0.000326767526050622,0.00218528216633316,Lateral higher,FALSE
NCOA7,-0.6010539969,0.000326807782598463,0.00218528216633316,Lateral higher,FALSE
PHGDH,0.424424456,0.00032788859674175,0.0021918355120856,Medial higher,FALSE
PTPRZ1,1.07968432365,0.000329059870050015,0.00219882404620532,Medial higher,FALSE
EPHB3,0.6416343931,0.000329219906924543,0.00219882404620532,Medial higher,FALSE
ZFPM2,-0.3536601285,0.000329237307764377,0.00219882404620532,Lateral higher,FALSE
SNTB1,-0.48504655225,0.0003293817823822,0.00219911372939767,Lateral higher,FALSE
GNL3,0.4079445994,0.000329933454554628,0.0022021210504671,Medial higher,FALSE
SLC39A9,0.4246513636,0.00033026436091231,0.00220365349035723,Medial higher,FALSE
PRAM1,-0.9397639213,0.000331114228223267,0.00220864663977691,Lateral higher,FALSE
ATP6V0A4,0.79687340235,0.000335928665237845,0.00224007367451061,Medial higher,FALSE
COL12A1,1.02385297,0.000336314402544263,0.002241958591524,Medial higher,FALSE
HOXA6,-0.93824376365,0.000338374476217186,0.00225500049224149,Lateral higher,FALSE
ABL2,0.5936720378,0.0003395531819937,0.00226216257725175,Medial higher,FALSE
FAM124A,-0.7840768333,0.000339829109732967,0.00226330765306537,Lateral higher,FALSE
SPATA17,0.4995660031,0.000341267660708214,0.00227219288513164,Medial higher,FALSE
SERPIND1,1.1491166408,0.000341576886902227,0.00227355582738593,Medial higher,FALSE
HIST2H3A,1.32909003825,0.000341781833947542,0.00227422405996541,Medial higher,FALSE
SCN3B,-0.51959052305,0.000342212481221594,0.00227639323900064,Lateral higher,FALSE
CDADC1,-0.30355804205,0.00034305672057235,0.00228131146007024,Lateral higher,FALSE
CEP68,-0.67134633145,0.000343175526917411,0.00228140405302797,Lateral higher,FALSE
TXNDC16,-0.66118200515,0.000343701958870007,0.00228420562460751,Lateral higher,FALSE
DR1,0.5050211206,0.000344282921159732,0.00228682091028628,Medial higher,FALSE
C13orf27,0.5919938348,0.000344305741135876,0.00228682091028628,Medial higher,FALSE
DYNLL1,0.4699127201,0.000346035755371906,0.00229760981405668,Medial higher,FALSE
ZNF366,-0.4654483595,0.000346654513911415,0.00230101586408334,Lateral higher,FALSE
NT5M,-0.38786270605,0.000348077703835562,0.00230975784436582,Lateral higher,FALSE
PRADC1,0.36875646495,0.00034866370850814,0.00231294083179904,Medial higher,FALSE
YIPF2,0.3975646485,0.000348945988339601,0.00231297575392395,Medial higher,FALSE
LOC100128593,0.4190259931,0.000348982328907297,0.00231297575392395,Medial higher,FALSE
ATF6,0.31461544165,0.000348987974640419,0.00231297575392395,Medial higher,FALSE
PFDN4,0.61618986105,0.000349722320742367,0.00231713674102588,Medial higher,FALSE
SMURF1,-0.4287023051,0.000350128345595316,0.00231912051564839,Lateral higher,FALSE
LMNB2,0.6087027286,0.000350506129208441,0.00232091607992147,Medial higher,FALSE
GAL3ST4,0.55698459275,0.000350974440744899,0.00232330980982442,Medial higher,FALSE
DCXR,-0.5668689234,0.000351699319750259,0.0023273999401301,Lateral higher,FALSE
MRPL51,0.4621870495,0.000352756377815333,0.00233368513693404,Medial higher,FALSE
AP2A2,-0.51387171825,0.000353250575662517,0.00233581872623357,Lateral higher,FALSE
WNT6,-0.65663618905,0.000353293656183728,0.00233581872623357,Lateral higher,FALSE
NUDC,-0.3862034328,0.000353562408250873,0.00233688529452233,Lateral higher,FALSE
TGM6,1.064241289,0.000353868831244589,0.00233820012674128,Medial higher,FALSE
GLRX3,0.4963860043,0.000354403547910005,0.00234102216038215,Medial higher,FALSE
SCARNA17,-0.73246465015,0.000355001023745578,0.00234425691211712,Lateral higher,FALSE
PIK3R1,-0.65097141295,0.000356108750427203,0.00235085813028605,Lateral higher,FALSE
DHX16,-0.36817915695,0.000356474845025361,0.0023525609311261,Lateral higher,FALSE
BICC1,2.75199210505,0.000356697429282662,0.0023533158877029,Medial higher,FALSE
LINC00346,0.7425306172,0.00035717932693243,0.00235578069115652,Medial higher,FALSE
FAM108C1,0.5426621657,0.000357742892923461,0.00235878248162204,Medial higher,FALSE
CUTA,0.33509650275,0.000358079299942961,0.00235952116967489,Medial higher,FALSE
AGPAT9,-0.6350037379,0.000358178203419757,0.00235952116967489,Lateral higher,FALSE
H2BFM,0.4418952474,0.000358180346738988,0.00235952116967489,Medial higher,FALSE
RSPRY1,0.31436119105,0.000358311000664546,0.00235966723780055,Medial higher,FALSE
ITPK1,-0.81194102595,0.000358531265466204,0.00236040317385619,Lateral higher,FALSE
KIAA1377,-0.57910435615,0.000358801462970746,0.0023608777237221,Lateral higher,FALSE
TMEM39A,0.32638611835,0.000358820419024699,0.0023608777237221,Medial higher,FALSE
GAS8,-0.52855136195,0.000359685348102515,0.00236585294584998,Lateral higher,FALSE
COL5A3,0.5369817373,0.000361031918498022,0.00237399222828566,Medial higher,FALSE
ENPP4,-0.43295311865,0.000362170376218789,0.00238075854442765,Lateral higher,FALSE
RPSAP52,0.36223802385,0.000362471104465853,0.00238201554813935,Medial higher,FALSE
ACSL6,-1.41875639895,0.000363522919011808,0.00238820614145118,Lateral higher,FALSE
THOC6,0.49370272435,0.000364575848521692,0.00239440031915575,Medial higher,FALSE
RG9MTD2,-0.3333516821,0.000366314460746738,0.00240509271058347,Lateral higher,FALSE
HLA-J,-0.41575560675,0.000366486571562557,0.00240549665197005,Lateral higher,FALSE
SLC9A5,0.49163947165,0.000366731374479568,0.0024058240074537,Medial higher,FALSE
C6orf26,-0.63323352415,0.000366757650271996,0.0024058240074537,Lateral higher,FALSE
CRLS1,0.4195185689,0.000367353678305358,0.00240900729891412,Medial higher,FALSE
C10orf57,-0.52400512225,0.000368110834638995,0.0024132449894718,Lateral higher,FALSE
MASP1,0.93754665995,0.000368513909687406,0.00241515955514325,Medial higher,FALSE
MAPK4,-1.165956017,0.000368709614401181,0.00241571431700437,Lateral higher,FALSE
PRSS12,1.01454495925,0.000369986355524642,0.00242334935422222,Medial higher,FALSE
SATB2,0.7299833238,0.000370817198327941,0.00242806011379571,Medial higher,FALSE
HYLS1,0.5473997543,0.00037157978312313,0.00243232122855682,Medial higher,FALSE
TOP2A,1.62964884825,0.000372369626420678,0.00243675815701041,Medial higher,FALSE
EPS8L2,0.647584816299999,0.000372883729525426,0.00243938853673295,Medial higher,FALSE
SLC50A1,0.30985605465,0.000373832902968276,0.00244486268952674,Medial higher,FALSE
PHTF1,0.4624362211,0.000374483017397139,0.00244837829709124,Medial higher,FALSE
TBL2,0.33895463905,0.000375662054855611,0.00245534886334713,Medial higher,FALSE
RBM34,0.32061123805,0.000375795407110449,0.00245548263606684,Medial higher,FALSE
ZMPSTE24,0.42364926005,0.000376099452250264,0.00245673131692124,Medial higher,FALSE
PWRN1,-1.2855966829,0.000377093101133808,0.00246248247849372,Lateral higher,FALSE
TPM3,-0.66280819895,0.000377997876603123,0.00246765000356277,Lateral higher,FALSE
LOC285954,0.7904962558,0.000378950526755735,0.00247312687008423,Medial higher,FALSE
LINC00482,-0.50031095245,0.000379677594508809,0.00247679351524338,Lateral higher,FALSE
C11orf84,0.57518176935,0.000379740087041957,0.00247679351524338,Medial higher,FALSE
GZMH,-1.1413246142,0.000380053523272738,0.0024776250331321,Lateral higher,FALSE
ASPHD2,0.50356583515,0.000380095381370073,0.0024776250331321,Medial higher,FALSE
CLPB,0.37298905795,0.000381617615180634,0.00248680238628195,Medial higher,FALSE
NAA11,0.31758846745,0.000382157430103418,0.00248957424965844,Medial higher,FALSE
LOC283867,1.1534322607,0.000382402539738242,0.00249042516298989,Medial higher,FALSE
