gene,logFC,P.Value,adj.P.Val,status,is_piezo
FREM1,-2.2670026749,6.87103057993451e-10,2.18920759711679e-07,Lateral higher,FALSE
FP588,-1.3933774318,6.9444338084341e-10,2.18920759711679e-07,Lateral higher,FALSE
TCF15,-1.43887678225,7.1598269566745e-10,2.22201021782363e-07,Lateral higher,FALSE
SPON1,-2.0471234915,7.25279171871449e-10,2.22201021782363e-07,Lateral higher,FALSE
RAB15,1.16336517195,7.46314870510999e-10,2.2410525185431e-07,Medial higher,FALSE
THY1,2.09526833525,7.52100192412865e-10,2.2410525185431e-07,Medial higher,FALSE
CYP4Z1,-1.68105691615,7.75525089902104e-10,2.27962456156089e-07,Lateral higher,FALSE
PDXK,-1.15704703575,7.9160910018337e-10,2.29587748629182e-07,Lateral higher,FALSE
CPT1C,1.277369933,8.10815852780439e-10,2.32064031969475e-07,Medial higher,FALSE
KIAA0922,-0.9211506182,8.51591714620053e-10,2.40569129563836e-07,Lateral higher,FALSE
CPA1,-2.3815203045,8.67271858843612e-10,2.41857659917516e-07,Lateral higher,FALSE
PPP1R9A,-1.7939581136,9.21800668192095e-10,2.48305152717264e-07,Lateral higher,FALSE
TSPAN8,-2.02512458205,9.50769987174767e-10,2.48305152717264e-07,Lateral higher,FALSE
TUSC5,-3.35824846,9.5391188972743e-10,2.48305152717264e-07,Lateral higher,FALSE
EPS8L1,1.165764551,9.55212459127903e-10,2.48305152717264e-07,Medial higher,FALSE
SORL1,-1.00324101025,9.65428087079701e-10,2.48305152717264e-07,Lateral higher,FALSE
C1QTNF6,2.0049034225,9.69911997573039e-10,2.48305152717264e-07,Medial higher,FALSE
FRZB,-1.883464198,9.71117569153536e-10,2.48305152717264e-07,Lateral higher,FALSE
SYNM,-1.20490970475,9.86768080427547e-10,2.48305152717264e-07,Lateral higher,FALSE
MAOA,-2.2240808432,9.93129288635619e-10,2.48305152717264e-07,Lateral higher,FALSE
RXRA,-0.77367796325,1.01066374404753e-09,2.49817701824111e-07,Lateral higher,FALSE
SLC24A3,-2.0291594759,1.04717321747505e-09,2.55933840747385e-07,Lateral higher,FALSE
AOC3,-2.0157753425,1.07114055220633e-09,2.56576269474427e-07,Lateral higher,FALSE
MYZAP,-1.8416297815,1.07582678368992e-09,2.56576269474427e-07,Lateral higher,FALSE
LRRC8E,1.9536611379,1.09737856339003e-09,2.56576269474427e-07,Medial higher,FALSE
CD44,1.10561222485,1.10355185714241e-09,2.56576269474427e-07,Medial higher,FALSE
ADORA2B,1.60843737115,1.11020964894782e-09,2.56576269474427e-07,Medial higher,FALSE
GALNT5,1.6217431801,1.12057491725223e-09,2.56576269474427e-07,Medial higher,FALSE
DKK3,1.50334799215,1.14336299620823e-09,2.59066998890848e-07,Medial higher,FALSE
C19orf48,0.8136640545,1.19500650041708e-09,2.64744017991051e-07,Medial higher,FALSE
FAM176A,1.1542592081,1.22090633834986e-09,2.64744017991051e-07,Medial higher,FALSE
PTGES,2.0429794905,1.23468740959811e-09,2.64744017991051e-07,Medial higher,FALSE
FZD4,-1.594818644,1.23636300135926e-09,2.64744017991051e-07,Lateral higher,FALSE
PKNOX2,-0.97359998015,1.23874173255226e-09,2.64744017991051e-07,Lateral higher,FALSE
MLXIPL,-2.5590321548,1.24144399756745e-09,2.64744017991051e-07,Lateral higher,FALSE
SNX1,-1.1443669795,1.27087188064183e-09,2.67594387349156e-07,Lateral higher,FALSE
NPAS1,1.0884279698,1.2794141359099e-09,2.67594387349156e-07,Medial higher,FALSE
RFTN1,-0.8057681073,1.38846443051719e-09,2.87636936120095e-07,Lateral higher,FALSE
C20orf194,-0.85724549375,1.40483677362043e-09,2.88283108488601e-07,Lateral higher,FALSE
PPARG,-1.8628115106,1.44770667819818e-09,2.94303884711839e-07,Lateral higher,FALSE
KCNK2,2.36535366475,1.4852721311676e-09,2.99144809232941e-07,Medial higher,FALSE
BZW2,0.96151833875,1.53498502628386e-09,3.0632104854795e-07,Medial higher,FALSE
PISD,-1.0266789288,1.56604887330345e-09,3.09679046291788e-07,Lateral higher,FALSE
C9orf150,-1.1188994429,1.6003351467554e-09,3.11555422551887e-07,Lateral higher,FALSE
CCDC28B,0.82113489515,1.60704240205186e-09,3.11555422551887e-07,Medial higher,FALSE
NXN,1.3440993746,1.61850693032196e-09,3.11555422551887e-07,Medial higher,FALSE
CYP4B1,-2.81361573485,1.67615470137251e-09,3.19822079511008e-07,Lateral higher,FALSE
CDKN1C,-1.2948583105,1.76532237666997e-09,3.26362054472448e-07,Lateral higher,FALSE
NMT2,-0.8895219628,1.78189399501714e-09,3.26362054472448e-07,Lateral higher,FALSE
ATP8A2,1.09333641205,1.7996683573177e-09,3.26362054472448e-07,Medial higher,FALSE
OSBPL1A,-1.18650885345,1.81506529519279e-09,3.26362054472448e-07,Lateral higher,FALSE
S1PR3,1.88080010875,1.82508186004582e-09,3.26362054472448e-07,Medial higher,FALSE
SYN2,-1.7460567996,1.82878383332153e-09,3.26362054472448e-07,Lateral higher,FALSE
FGF11,1.10492620875,1.83959473538656e-09,3.26362054472448e-07,Medial higher,FALSE
PTPRF,-1.1271242179,1.84162308103714e-09,3.26362054472448e-07,Lateral higher,FALSE
LRRC17,1.539120983,1.85706358083376e-09,3.26362054472448e-07,Medial higher,FALSE
SLC1A5,-1.07356536925,1.86187683855151e-09,3.26362054472448e-07,Lateral higher,FALSE
PDE8B,-2.0002906035,1.87547153406841e-09,3.26362054472448e-07,Lateral higher,FALSE
TMEM164,-0.8534448575,1.89412022611849e-09,3.26991294908964e-07,Lateral higher,FALSE
MARC1,-1.9463360393,1.96963840462946e-09,3.37350980925196e-07,Lateral higher,FALSE
CDK14,0.99068226675,2.01229979055961e-09,3.41475211161481e-07,Medial higher,FALSE
TMEM132C,-2.6936022065,2.02511503493155e-09,3.41475211161481e-07,Lateral higher,FALSE
MYL9,-0.921405789,2.10167262954217e-09,3.4919890918127e-07,Lateral higher,FALSE
TRPC4,1.03966779275,2.10302763436679e-09,3.4919890918127e-07,Medial higher,FALSE
DOK5,1.09515598475,2.31457738199317e-09,3.79471729120658e-07,Medial higher,FALSE
SYTL3,-1.45042967335,2.32023445995989e-09,3.79471729120658e-07,Lateral higher,FALSE
SMOX,1.6022190064,2.34386250207388e-09,3.80475351829187e-07,Medial higher,FALSE
ZNF219,-1.0587400008,2.36187078273021e-09,3.80558616784797e-07,Lateral higher,FALSE
STXBP1,-0.93060076595,2.40195461383845e-09,3.84150775423092e-07,Lateral higher,FALSE
TUBB3,2.87887808705,2.41948585109248e-09,3.84150775423092e-07,Medial higher,FALSE
SAMD11,0.8780372632,2.45765255481363e-09,3.87383031683377e-07,Medial higher,FALSE
LOC158376,-1.1708237434,2.50061369449766e-09,3.91319058149016e-07,Lateral higher,FALSE
TMCC1,-0.9818634002,2.55574282320928e-09,3.92875913530929e-07,Lateral higher,FALSE
GREB1,-1.5163034208,2.56219344481923e-09,3.92875913530929e-07,Lateral higher,FALSE
DMP1,1.4190269388,2.564747136879e-09,3.92875913530929e-07,Medial higher,FALSE
SYTL2,1.31856122135,2.58307965647969e-09,3.92917123690533e-07,Medial higher,FALSE
ASPHD1,1.61613702635,2.62200565545021e-09,3.95730423632346e-07,Medial higher,FALSE
