Dataset,Tissue,Comparison,Probe,n_Ctrl,n_Case,Diff,CI_low,CI_high,P,AUC,Method,Direction,label
GSE51588,Subchondral bone,OA vs Normal,A_23_P140738,10,40,-0.1087938612,-0.422281151108581,0.204693428708581,0.499456981279177,0.5475,"limma, region adjusted",OA - Normal,GSE51588 | Subchondral bone
GSE55235,Synovium,OA vs Healthy,202771_at,10,10,0.243119085028624,-0.29696864197447,0.783206812031718,0.354339371972206,0.59,Welch t-test,OA - Healthy,GSE55235 | Synovium
GSE82107,Synovium,OA vs Healthy,202771_at,7,10,0.840828725185535,-0.0539078820901394,1.73556533246121,0.0630199208486417,0.814285714285714,Welch t-test,OA - Healthy,GSE82107 | Synovium
