donor,total_delta_lateral_minus_medial,within_state_component,composition_component,sum_check,pct_within
113,-0.0518610068299869,-0.0148746518881721,-0.0369863549418148,-0.0518610068299869,28.6817645807281
116,-0.146826417240252,-0.113331233658176,-0.0334951835820768,-0.146826417240252,77.1872227003479
118,-0.0727833223140678,-0.0367536592042127,-0.0360296631098551,-0.0727833223140677,50.4973640054747
