donor,total_delta,within_L_reference,composition_L_reference,within_M_reference,composition_M_reference,within_symmetric,composition_symmetric,error_L,error_M,error_symmetric,same_sign_symmetric,within_share_symmetric,within_share_min,within_share_max,trim_fraction
113,-0.0518610068299869,-0.016171950866659,-0.0356890559633279,-0.0135773529096853,-0.0382836539203017,-0.0148746518881721,-0.0369863549418148,0,0,0,TRUE,0.286817645807281,0.26180272500677,0.311832566607792,0
116,-0.146826417240252,-0.121061332814604,-0.0257650844256486,-0.105601134501747,-0.0412252827385051,-0.113331233658176,-0.0334951835820768,2.77555756156289e-17,0,0,TRUE,0.771872227003479,0.719224349995219,0.824520104011739,0
118,-0.0727833223140678,-0.0266070057317975,-0.0461763165822702,-0.0469003126766278,-0.0258830096374399,-0.0367536592042127,-0.0360296631098551,4.16333634234434e-17,2.77555756156289e-17,2.77555756156289e-17,TRUE,0.504973640054747,0.365564594825522,0.644382685283972,0
113,-0.0514381965896486,-0.0119912826248876,-0.0394469139647611,-0.011218059027379,-0.0402201375622696,-0.0116046708261333,-0.0398335257635153,3.46944695195361e-17,2.77555756156289e-17,2.77555756156289e-17,TRUE,0.225604154024106,0.218088109053896,0.233120198994315,0.1
116,-0.14509016289176,-0.100803455527987,-0.0442867073637734,-0.0976296027070086,-0.0474605601847515,-0.0992165291174976,-0.0458736337742625,0,0,0,TRUE,0.683826712576751,0.672889193596413,0.69476423155709,0.1
118,-0.0754177763527447,-0.0246545406022057,-0.050763235750539,-0.0479427679931114,-0.0274750083596332,-0.0362986542976585,-0.0391191220550861,2.77555756156289e-17,1.38777878078145e-17,2.77555756156289e-17,TRUE,0.481301041386876,0.326906225488421,0.635695857285332,0.1
113,-0.0549965545545515,-0.0147245824306942,-0.0402719721238573,-0.00341541784323769,-0.0515811367113138,-0.00907000013696595,-0.0459265544175855,1.38777878078145e-17,0,6.93889390390723e-18,TRUE,0.164919424688129,0.0621023966119535,0.267736452764305,0.2
116,-0.148718922238775,-0.104790791104108,-0.0439281311346666,-0.10364462190147,-0.0450743003373052,-0.104217706502789,-0.0445012157359859,0,0,0,TRUE,0.700769646080832,0.696916171400594,0.704623120761069,0.2
118,-0.0795324113848203,-0.0205050306532585,-0.0590273807315618,-0.0437471946662297,-0.0357852167185905,-0.0321261126597441,-0.0474062987250762,2.77555756156289e-17,4.16333634234434e-17,2.77555756156289e-17,TRUE,0.403937364658803,0.25781980322518,0.550054926092426,0.2
