iteration,balanced_accuracy
1,0.131277786087273
2,0.127640455421645
3,0.128806555111093
4,0.141637916010814
5,0.164717000907401
6,0.154587075905379
7,0.160478091342493
8,0.156018006560462
9,0.157455709057414
10,0.15875645445595
11,0.156317596272309
12,0.155362497921514
13,0.116275543860213
14,0.144842185511829
15,0.13335300166474
16,0.178033508557439
17,0.150810429784626
18,0.172836542442171
19,0.159034739750385
20,0.141910760702382
21,0.157940592270661
22,0.166385453181264
23,0.151612845485857
24,0.162108991260719
25,0.147268654375005
26,0.153208846583128
27,0.143836869547024
28,0.137466583698673
29,0.132462758157488
30,0.16144914971679
31,0.174165894112402
32,0.152129727355319
33,0.138854669196405
34,0.154058408393934
35,0.174365426451695
36,0.163927088553208
37,0.155163202550337
38,0.126438952907247
39,0.153748888198955
40,0.167450466909311
41,0.148664336141072
42,0.160800386010553
43,0.145439739182009
44,0.143353349318148
45,0.137489737797145
46,0.14674569606004
47,0.147612030039234
48,0.14976526271205
49,0.149347525296576
50,0.143108790156553
51,0.15862604194007
52,0.120166775968634
53,0.138255291866526
54,0.168004244687499
55,0.153518498062682
56,0.155871043759119
57,0.150652229271787
58,0.145290521867803
59,0.154846341172588
60,0.166481193331235
61,0.163378917560582
62,0.143231389318554
63,0.167126359617257
64,0.140148374024179
65,0.147975391095352
66,0.153932610856342
67,0.151175267099169
68,0.175462114674929
69,0.163113453091836
70,0.161705267042243
71,0.137895355780331
72,0.166566593768258
73,0.123023284699019
74,0.16462060431206
75,0.154401080384403
76,0.152427995131104
77,0.16273420355262
78,0.156286478309801
79,0.15997002680483
80,0.136229108405193
81,0.14201622796291
82,0.162528325853421
83,0.121233671445441
84,0.132529614411315
85,0.144220137502613
86,0.170992920911826
87,0.137144564149442
88,0.154870153547189
89,0.150928671892337
90,0.142052281714146
91,0.167540677658007
92,0.131772148118824
93,0.13576597193396
94,0.135178371968669
95,0.149124305981158
96,0.152090326524747
97,0.170309883198037
98,0.146818910752556
99,0.135946585040048
100,0.133877047681617
101,0.145912478152665
102,0.13689981334926
103,0.146705960568313
104,0.144136482600502
105,0.144430869943813
106,0.172385732853019
107,0.136682569133726
108,0.171247475563729
109,0.18092815993223
110,0.144818758627584
111,0.151058170285066
112,0.151787254161299
113,0.150223106059237
114,0.145680316682917
115,0.131410836445885
116,0.154994464340712
117,0.149682546748324
118,0.151868854170082
119,0.179199142724872
120,0.150102634721988
121,0.14406980399033
122,0.14039535072365
123,0.157913901494881
124,0.173920982096086
125,0.153456460050322
126,0.141780578030036
127,0.145266605705134
128,0.159366743529883
129,0.143174102073073
130,0.146882558812613
131,0.163394979510579
132,0.144582583732367
133,0.154744597222569
134,0.154936346004261
135,0.151593373485955
136,0.153804396535856
137,0.161454139935527
138,0.1630521400145
139,0.155026692296872
140,0.137979599636894
141,0.150010924133491
142,0.16814337906179
143,0.147638368568594
144,0.144194886346978
145,0.150838900422423
146,0.142168778346111
147,0.133761730980679
148,0.149156881554919
149,0.145844287525575
150,0.175106851881345
151,0.131213568158135
152,0.127813783467985
153,0.161096813574315
154,0.160613263246859
155,0.153325582223822
156,0.15314208125892
157,0.154554733084151
158,0.143692397653181
159,0.151531410315897
160,0.139104404255575
161,0.141805985707348
162,0.17597748512129
163,0.13874800879017
164,0.160525525182205
165,0.159164722100907
166,0.144900740916347
167,0.155640229973767
168,0.139520572067366
169,0.174079566580375
170,0.152029013585158
171,0.140825286883835
172,0.140961995353797
173,0.15226617700763
174,0.150656501409519
175,0.143813288692023
176,0.14629102052424
177,0.143018942002176
178,0.160243356129053
179,0.147720573061073
180,0.15686136566938
181,0.140269665072483
182,0.145354069941519
183,0.152681039093012
184,0.134126253765321
185,0.151391950908187
186,0.169739472367837
187,0.129688507071975
188,0.143135009576914
189,0.156131325038688
190,0.155340732948647
191,0.153827967555731
192,0.13330529862065
193,0.153965532192599
194,0.133181647360535
195,0.127543940537926
196,0.144478507924025
197,0.155348577792742
198,0.15531474615201
199,0.160131389745252
200,0.147326326934267
201,0.149723433838543
202,0.150526974314159
203,0.174576551709672
204,0.151420057548628
205,0.145961760878699
206,0.146242380899162
207,0.147300042980674
208,0.152101143245014
209,0.174608125841026
210,0.160716540914184
211,0.143411767103315
212,0.155127284251494
213,0.14414491580369
214,0.146832427936983
215,0.15887870192159
216,0.164274316902257
217,0.133469859668567
218,0.159932013011486
219,0.157409906619111
220,0.162597820461211
221,0.140175404947843
222,0.154568259373066
223,0.158760359479938
224,0.159262250527111
225,0.152779489972456
226,0.137057356203207
227,0.155480341609236
228,0.154194042375124
229,0.160987853752485
230,0.153504710222151
231,0.150898857904058
232,0.151841897465012
233,0.152040930958851
234,0.148097233401926
235,0.15170724211432
236,0.164415960211517
237,0.14743054998569
238,0.159356398453471
239,0.148505890930318
240,0.166865610392637
241,0.127999780416342
242,0.147295909806164
243,0.157110399309264
244,0.149234347005569
245,0.131306600552344
246,0.123344155489113
247,0.139976487372966
248,0.150179634371125
249,0.170992027546104
250,0.141367784080396
251,0.144557421759103
252,0.145423887919607
253,0.141170829246771
254,0.163106709429347
255,0.139875279672141
256,0.163052937880949
257,0.138799020608188
258,0.170923935700771
259,0.155577638455134
260,0.13269145222538
261,0.164558348271197
262,0.171981520903374
263,0.152905508170517
264,0.142005047197522
265,0.138254606263993
266,0.18455860923744
267,0.152249562712185
268,0.145741357752882
269,0.13784861116584
270,0.131040141733415
271,0.149287427777485
272,0.150239140443085
273,0.141365123662419
274,0.160942291475725
275,0.154312195792282
276,0.140742086422735
277,0.155519300729977
278,0.154357530250713
279,0.140641960171632
280,0.15589467331519
281,0.168949129325035
282,0.158612574085352
283,0.148279277632897
284,0.157552701555214
285,0.159495796319533
286,0.159641395617261
287,0.150601715029002
288,0.148927456068079
289,0.171053891102382
290,0.145059690715978
291,0.14538755201402
292,0.148797254824675
293,0.151618559827935
294,0.146506494296564
295,0.14982856020021
296,0.130700509945142
297,0.145665902891577
298,0.160493291927291
299,0.140790007283932
300,0.143799128925882
301,0.141109538991822
302,0.132355269693161
303,0.158702399636133
304,0.156421462012758
305,0.152549485470756
306,0.15473144539077
307,0.133483206081232
308,0.139156919771823
309,0.157451721965159
310,0.146503236069872
311,0.128827534538845
312,0.139766825799392
313,0.144992749500293
314,0.138481946910538
315,0.163952163033108
316,0.14577684372434
317,0.150831806063234
318,0.138306802077932
319,0.129651233736428
320,0.1376327455878
321,0.143015479071981
322,0.161201030381561
323,0.145148108022503
324,0.162793019055488
325,0.15056512381505
326,0.144449502898607
327,0.139677379517591
328,0.15635110760243
329,0.148379124214932
330,0.136315476889076
331,0.149568857792825
332,0.143915278261038
333,0.163797045601532
334,0.138410733995321
335,0.148075038974925
336,0.157893837233698
337,0.178006134695225
338,0.152115111830181
339,0.14154447781195
340,0.147246377362959
341,0.134890466862574
342,0.137613783630222
343,0.150287404223418
344,0.127826273525769
345,0.166841526384152
346,0.151573773016488
347,0.154441188373677
348,0.133133563858288
349,0.17509394384179
350,0.157800072199008
351,0.181093267693108
352,0.159621452054549
353,0.146029064273924
354,0.161443925933835
355,0.149837403496668
356,0.15860000393027
357,0.132018115524674
358,0.147632532760119
359,0.151868277520632
360,0.178443679547079
361,0.177068263983381
362,0.117477234910678
363,0.160260746673144
364,0.118808234852967
365,0.142292687450103
366,0.139433370656824
367,0.16452607362777
368,0.163542464195164
369,0.157961745639258
370,0.146994018110853
371,0.124776114150627
372,0.15730641589878
373,0.147791110780823
374,0.156858391212397
375,0.146658370420786
376,0.146307895559617
377,0.141359525531744
378,0.172738210790058
379,0.149085790498999
380,0.155054783425943
381,0.169194115526664
382,0.145178136509042
383,0.139301122851723
384,0.144422449773184
385,0.132741565869817
386,0.160090979658347
387,0.161925857721415
388,0.150253660193458
389,0.168848790843088
390,0.172504722548039
391,0.123567323563018
392,0.137902925196209
393,0.147230373170754
394,0.130168441029743
395,0.142645018061475
396,0.151216510088388
397,0.153660859112744
398,0.135910419349692
399,0.162395969516487
400,0.153729204122903
401,0.152380463600818
402,0.137411822032008
403,0.150577514937923
404,0.138255990926873
405,0.139038029443442
406,0.166297800815579
407,0.13604329695263
408,0.136320423844783
409,0.153845466854452
410,0.141167549894095
411,0.131578019812221
412,0.172557306050106
413,0.149386373432559
414,0.154023256569319
415,0.151407239660288
416,0.153635535127068
417,0.165106571930252
418,0.159285748315109
419,0.151757916742142
420,0.151449871674653
421,0.149215330306127
422,0.120687068793673
423,0.147735608514608
424,0.146886107276605
425,0.146091162915789
426,0.141907612788975
427,0.146834117168294
428,0.157782080917789
429,0.155980700466943
430,0.135183068890421
431,0.151230080277909
432,0.134668555597682
433,0.166300032933777
434,0.155514773371398
435,0.146088128625578
436,0.155611866386185
437,0.145416216038577
438,0.134052043872111
439,0.164884707317805
440,0.13571406698596
441,0.15170488301064
442,0.166494327192265
443,0.159221657155128
444,0.169742549240669
445,0.150093236548576
446,0.152085006262273
447,0.16061363670678
448,0.145171643349523
449,0.148801001735974
450,0.14467548452121
451,0.169310271727242
452,0.147092370079731
453,0.134046830581272
454,0.128952239942618
455,0.137154465971236
456,0.157516555919998
457,0.171782601410222
458,0.156286284479912
459,0.152864131446261
460,0.139328887522459
461,0.134106410664436
462,0.142636605113421
463,0.147869356030701
464,0.167140086243403
465,0.136787039807471
466,0.14889968717683
467,0.136017844432677
468,0.133951288521455
469,0.16891560010519
470,0.152128206262265
471,0.150645634377755
472,0.148504766869625
473,0.140421627644185
474,0.155583461174349
475,0.150558963658496
476,0.147393722940105
477,0.157525361466039
478,0.15217229385867
479,0.177182318225872
480,0.146060760062116
481,0.166041086054896
482,0.161254778137188
483,0.137963802420539
484,0.156102969010803
485,0.156469520691758
486,0.150567350931867
487,0.137668851252947
488,0.138836934906085
489,0.117089622661255
490,0.134259502551827
491,0.142175554248868
492,0.149149682497982
493,0.128860650979219
494,0.168356766553494
495,0.14574438682138
496,0.123972729645088
497,0.154759123070437
498,0.162767931036727
499,0.143389088417145
500,0.150328127817144
501,0.144530809509946
502,0.129039565902663
503,0.153197739187363
504,0.146670515446712
505,0.159907406402062
506,0.124275842299396
507,0.17355958575373
508,0.146096982551898
509,0.153371061210782
510,0.158454437582495
511,0.160020179103816
512,0.163648624490654
513,0.145359446663214
514,0.154203473766585
515,0.15844050813784
516,0.139538127268776
517,0.157542780265626
518,0.160957997360626
519,0.166490061234614
520,0.173998620704247
521,0.134800830864467
522,0.176714733470277
523,0.141458618084763
524,0.156239692756397
525,0.14562193866043
526,0.154018470700937
527,0.151553740223641
528,0.164647498428058
529,0.166110368157276
530,0.173173687879656
531,0.140163433168485
532,0.147186051405835
533,0.158566604831709
534,0.156870500115281
535,0.151495543919563
