donor,state,n_lateral,n_medial,mean_lateral,mean_medial,delta_lateral_minus_medial
113,FC,425,144,0.18014509757636,0.16563815970578,0.0145069378705801
113,HomC,1716,343,0.17936038331258,0.162585128257125,0.0167752550554551
113,ProC,313,466,0.211337062120779,0.235776374581665,-0.0244393124608862
113,preHTC,293,1201,0.270639708104408,0.272270253726559,-0.00163054562215054
116,FC,123,786,0.15118551275707,0.223520495469243,-0.0723349827121731
116,HomC,1097,104,0.172250191843311,0.271125810758728,-0.0988756189154175
116,ProC,121,360,0.279500179424321,0.38311522535429,-0.103615045929969
116,preHTC,322,1833,0.259579248414496,0.374632571516317,-0.115053323101821
118,FC,257,118,0.178480486664916,0.217876569291293,-0.0393960826263766
118,HomC,1113,210,0.198575787015438,0.186002309016282,0.0125734779991562
118,ProC,314,568,0.257212733666485,0.284856101968508,-0.027643368302023
118,preHTC,517,3179,0.233672927541877,0.290532221112742,-0.0568592935708651
