EC,FC,HomC,HTC,preHTC,ProC,RegC
0.097063007907383,0.136624904164415,0.127811173842201,0.0799058000025796,0.100881066928639,0.337716943113054,0.119997104041728
0.112617750907075,0.148256527963834,0.121061055656385,0.0651883574572473,0.0561536332939116,0.29079569961627,0.205926975105277
0.158968611604823,0.057091302493132,0.170623179191558,0.121736736531289,0.10129861067265,0.073282043825793,0.316999515680756
0.159008563488511,0.0619609457311299,0.159747107361773,0.0657059446640217,0.0766164824541577,0.0885517890814241,0.388409167218983
0.127389122706816,0.0512044376359621,0.0844789518789491,0.0553487157452877,0.0982960317995845,0.051448065443383,0.531834674790017
0.107281231262741,0.10910405424012,0.100774312126251,0.0899410657103375,0.122884091714795,0.328434474966954,0.1415807699788
0.0964606439884936,0.124981620887345,0.0959458534145981,0.10113620766609,0.0813712855238888,0.324328471212364,0.175775917307221
0.184996230954661,0.0781660186263328,0.112676479441293,0.117942250218623,0.0919184817014259,0.0411474237938477,0.373153115263817
0.180461837454161,0.012219752034029,0.133998093753576,0.147233084009266,0.0655790910836074,0.00936485307558203,0.451143288589778
0.136656771086814,0.0693012102603229,0.0960678851090104,0.0588699393077119,0.0857617544018478,0.0452983792709242,0.508044060563369
0.199793127239332,0.142649676113439,0.122807265712497,0.194820862254929,0.142031925634011,0.08466465813566,0.113232484910132
0.103711298703762,0.191008669602869,0.195840381571819,0.0875041930650109,0.070487334344652,0.111634641921249,0.239813480790639
0.1560009901982,0.219205898158681,0.180872353014114,0.119389108317736,0.0951657926292849,0.104984112816516,0.124381744865466
0.183270377790883,0.140709210580936,0.094298609869842,0.221018293731518,0.189524468437544,0.0484517357406789,0.122727303848598
0.0928683751535496,0.186308129485029,0.255060708489717,0.0813461002550416,0.0505688712708793,0.174046240264564,0.15980157508122
0.184704166519124,0.175691098421562,0.106040454772237,0.141762453364044,0.271708701843049,0.067058681689664,0.0530344433903192
0.207544590687939,0.204344965276822,0.126213915435209,0.128813642471659,0.135271310244586,0.0980739906664256,0.0997375852173606
0.100142260572723,0.133533301283255,0.190652208202171,0.152502110623085,0.161194709137381,0.146197263125715,0.11577814705567
0.187398490779151,0.188342083543808,0.167857471258689,0.155714725852591,0.0921005224535601,0.0993787810669082,0.109207925045292
0.1135917792625,0.240616781402688,0.221011279591764,0.148698616113434,0.086469040409547,0.161348341769455,0.0282641614506128
0.181152280289907,0.185398543928172,0.174630285698558,0.176405856595908,0.0935071698590486,0.115939871097771,0.0729659925306351
0.200536256203908,0.131327218347015,0.187238106496722,0.180276991546736,0.106543580882989,0.127565876179002,0.0665119703436272
0.142328248913834,0.233115304251193,0.154332195959237,0.152904358276074,0.0538380178400263,0.106283777594256,0.15719809716538
0.196035576105997,0.191251998292711,0.13582691233737,0.105968880598594,0.0992445202256474,0.0906178844492132,0.181054227990467
0.144617235121989,0.161411193510872,0.173804843980537,0.135468564274806,0.0887673262840067,0.164763407360665,0.131167429467124
0.153274787954785,0.155767301449512,0.197637492839023,0.0877972838345984,0.0637638358891066,0.10026926468659,0.241490033346386
0.233374997826985,0.082331657007965,0.167506386459306,0.255596920168542,0.102108511969369,0.0930812370388792,0.0660002895289539
0.181929077107549,0.0784245889762902,0.181767460946738,0.166899592380657,0.218152378130009,0.0600037114517726,0.112823191006984
0.109900056624262,0.164088021375388,0.164108403048041,0.176378120174677,0.131569569972516,0.116464194958397,0.137491633846719
0.14422886871819,0.119338082989054,0.16089386510696,0.172198192723942,0.128934714370149,0.118268321405148,0.156137954686558
0.176587122582916,0.133265346249786,0.0891984582461139,0.143025678051835,0.245420295122363,0.0733027160248311,0.139200383722155
0.146795058420703,0.187519382388562,0.0983918794477154,0.157656966196288,0.214220721266082,0.0859015896569238,0.109514402623725
0.128301325705906,0.229526367531796,0.162695101474117,0.115156945081009,0.206927135123754,0.146848861087771,0.010544263995647
0.136703241296207,0.185389027965366,0.112444878419988,0.150369375009129,0.194853886518289,0.171648815482904,0.0485907753081179
0.167800276313794,0.136885308516626,0.10201570665934,0.109420867124318,0.197860502560487,0.194781721688886,0.0912356171365496
0.16917178308951,0.107068192312882,0.101897459435076,0.214460926759596,0.186647701296594,0.187662512334256,0.0330914247720875
0.12760144773124,0.183119786700431,0.144596993453535,0.137467551320376,0.129312183729609,0.198928984757318,0.0789730523074906
0.0995833880167687,0.17071171604222,0.201060834827198,0.167697645628205,0.128809900603591,0.210737393428928,0.0213991214530905
0.0980109281347358,0.149848541835801,0.183639639525438,0.21406466032222,0.134975720500313,0.219460509681491,0
0.164752411018242,0.101447487848932,0.0969082717642945,0.145769062581557,0.276586507706641,0.0686598641039257,0.145876394976407
0.0709363269017505,0.218878067306335,0.157057230298407,0.150423954554866,0.0741466425344249,0.201736072840101,0.126821705564115
0.183680396983977,0.139600433406452,0.0725336398349116,0.142214633285383,0.283314437899575,0.0966726720556135,0.0819837865340874
0.104009042715904,0.180997940523987,0.182819660411673,0.14702765489181,0.127025518459594,0.229965724733807,0.0281544582632244
0.127816635469139,0.236204456546274,0.101239844395269,0.0908615268958676,0.198345394362028,0.100875707038882,0.144656435292542
0.109319011422636,0.218679133422981,0.181747572375974,0.137883075018192,0.0779575315370874,0.221864949804012,0.052548726419117
0.149308845953435,0.137733228818938,0.122008579943218,0.219093098237563,0.190292968235327,0.177491130044563,0.00407214876695582
0.155357646734319,0.153498106342634,0.130703379083688,0.156887666752549,0.199375333760813,0.146212138089293,0.0579657292367048
0.114533718497158,0.108190375270655,0.133976974952186,0.244678964712898,0.221155609600848,0.167422391290976,0.0100419656752779
0.0953454013290562,0.129843877036319,0.13265045614649,0.161001937741478,0.23832393969277,0.197078260342434,0.0457561277114537
0.10005462725861,0.0620647190854895,0.10833702630844,0.197319484236312,0.347161438013529,0.175849092157508,0.00921361294011077
