outcome,Q,df,p_het,I2_pct,tau2
"OA (overall, M13_ARTHROSIS)",6.89487978820074,4,0.141548725950168,41.9859356091279,0.0466942225145857
Knee OA (gonarthrosis),5.3510678873844,4,0.253134191221894,25.2485656287348,0.0320791188750695
Hip OA (coxarthrosis),3.62167391038548,4,0.459620253012227,0,0
