patient,n_cells,rho,P_cell,mean_Q1_homeo,mean_Q4_hyp,n_Q1,n_Q4,delta_Q1_minus_Q4,z_rho
OA1,111,-0.190155567333938,0.0456069140531285,0.596152075712055,0.294594829063728,26,30,0.301557246648328,-0.192498567814705
OA10,148,-0.16655303021022,0.0430547040741125,0.343126225792736,0.23172098240344,56,31,0.111405243389295,-0.168119237374633
OA2,145,-0.0374320202819516,0.654877423313301,0.463869775266017,0.321069187048475,43,23,0.142800588217542,-0.0374495176959877
OA3,155,-0.262676177796817,0.000959977041913482,0.281653409515824,0.141672623907028,42,42,0.139980785608796,-0.26898076182769
OA4,151,-0.27652906265602,0.000588017738043249,0.440707535385622,0.166968702360589,36,43,0.273738833025033,-0.283919814071945
OA5,148,-0.116859024131963,0.157230315043666,0.452760937395218,0.266462713561594,30,43,0.186298223833624,-0.117395369151254
OA6,153,-0.108923849581512,0.180162168546751,0.157701227682352,0.178291117601996,21,41,-0.020589889919644,-0.10935771454688
OA7,152,-0.144474812140851,0.0757609066016816,0.285533733206303,0.198363831746626,39,38,0.0871699014596775,-0.14549279812215
OA8,147,0.104446731691944,0.208035675328028,0.272833873545979,0.409736988300067,46,37,-0.136903114754089,0.104829044548975
OA9,154,-0.172620335866422,0.0322896445987189,0.456773000785315,0.217010089411178,27,38,0.239762911374136,-0.174366225616606
