"subtype","rho","p","p_adj"
"EC",0.372677070828331,0.00803204138644289,0.0562242897051003
"FC",0.0186794717887155,0.897430335255386,0.897430335255386
"HomC",0.280672268907563,0.0486851786767708,0.113598750245798
"HTC",-0.0877310924369748,0.543519859691634,0.634106502973573
"preHTC",-0.25406962785114,0.0751774157825829,0.13156047761952
"ProC",-0.339159663865546,0.0163925671323088,0.0573739849630809
"RegC",0.168115246098439,0.242413215879188,0.339378502230863
