"subtype","n_pairs","mean_LT","mean_MT","delta_LT_minus_MT","t","p","p_adj"
"EC",25,0.13440067204869,0.0760712676576766,0.0583294043910129,5.4071832942534,1.48773850044923e-05,3.85695691406304e-05
"FC",25,0.146459032115771,0.142547136058246,0.00391189605752543,0.423003850237936,0.676058755640028,0.676058755640028
"HomC",25,0.166126063233746,0.107804532210797,0.0583215310229483,5.36525840560588,1.65298153459845e-05,3.85695691406304e-05
"HTC",25,0.129771954405456,0.164542123164705,-0.0347701687592495,-3.35594591978969,0.00262678030767036,0.00306457702561542
"preHTC",25,0.110737543608477,0.214706543337273,-0.103968999728796,-6.32049099366649,1.55771410301169e-06,1.09039987210818e-05
"ProC",25,0.119069091880162,0.164293087588152,-0.0452239957079893,-4.35884863410494,0.000212081884286969,0.000296914638001756
"RegC",25,0.193435642707699,0.13003530998315,0.0634003327245486,4.70234049228,8.85165430885549e-05,0.000154903950404971
