patient,EC,FC,HTC,HomC,ProC,RegC,preHTC
OA1,0,1,6,27,56,8,13
OA10,48,0,3,16,52,10,19
OA2,6,0,6,34,64,19,16
OA3,65,31,4,20,0,8,27
OA4,47,4,3,7,25,12,53
OA5,35,10,11,24,6,39,23
OA6,43,1,4,9,30,11,55
OA7,29,3,31,9,22,18,40
OA8,27,0,59,5,48,3,5
OA9,16,2,3,11,44,37,41
