p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0.49521736126304,-1.17144462669595,0.014,0.008,1,LOC101926911
0.49521736126304,-0.878724281173831,0.014,0.008,1,MAGEE1
0.49521736126304,-0.819463627448828,0.014,0.008,1,RAB40A
0.495334127722083,-0.77270969308321,0.035,0.025,1,SULT2A1
0.495347137509662,-0.608973209453994,0.049,0.037,1,PDIA3P1
0.49560144311264,0.640808874889985,0.132,0.116,1,MED25
0.495705798120278,0.386144195942775,0.23,0.216,1,CYP3A5
0.495910866679488,0.458127337271841,0.116,0.1,1,RAB3IP
0.496001673382519,-0.658547030394995,0.049,0.037,1,ZNF276
0.496058950488749,-0.634716529754919,0.273,0.282,1,TASP1
0.496079500676542,-0.347855539430704,0.024,0.017,1,THEM5
0.496079500676542,0.359427639709171,0.024,0.017,1,ZNF878
0.496315644412699,-1.24143843146723,0.024,0.033,1,GNRHR2
0.496450341131553,-0.601636081583838,0.014,0.008,1,CARNS1
0.496450341131553,-0.49195171868136,0.014,0.008,1,FBF1
0.496450341131553,0.68617131071294,0.014,0.008,1,LOC101927575
0.496552454643023,-0.831603273122473,0.059,0.046,1,ZSCAN12P1
0.49683732965829,0.391848681369225,0.053,0.041,1,SAXO2
0.496964160324236,0.425236502519406,0.165,0.149,1,TCIRG1
0.497009403257924,-0.400891598999027,0.024,0.017,1,CES4A
0.497249940457287,-0.327277786276945,0.297,0.332,1,AAAS
0.497551932400652,-0.999850722091368,0.081,0.066,1,GRAMD4
0.497684956103491,-1.10924717947225,0.014,0.008,1,CPEB1
0.497694891629672,-2.82022233625383,0.014,0.021,1,MBLAC1
0.497940233824662,0.952437410873102,0.024,0.017,1,CD248
0.49821989694915,-0.877123069964873,0.043,0.054,1,C1orf145
0.498348100067242,-0.680805394217107,0.051,0.062,1,LOC101928700
0.498452660834674,-1.70318952331809,0.029,0.037,1,SLC8A3
0.498481012984311,-0.430989309751582,0.102,0.083,1,GNG4
0.498540631096213,-1.03610143347977,0.114,0.095,1,GSR
0.498624425132465,-0.899734009313321,0.049,0.037,1,LOC101927018
0.498681471183046,-0.975373470035433,0.063,0.075,1,LINC00663
0.49887199129337,-0.967059710358212,0.024,0.017,1,C2orf15
0.498921203652807,-0.888626783224058,0.014,0.008,1,ANKRD29
0.498921203652807,-0.707870601046087,0.014,0.008,1,PCDH7
0.498938765920657,-0.429488584273334,0.187,0.166,1,KCNAB1
0.499330274776975,-0.65550053434387,0.289,0.257,1,EXOSC6
0.499514889837605,-0.956416762450552,0.043,0.054,1,LINC00115
0.499524829772437,0.306050423945681,0.242,0.224,1,TBCD
0.499601619120322,0.375690922467233,0.039,0.029,1,SVEP1
0.499656891591963,-0.730587860939742,0.024,0.033,1,PLA2G7
0.499780865977767,-0.579785398893786,0.094,0.108,1,OSGEPL1
0.499804674575586,0.490249446345169,0.024,0.017,1,TPTE2P3
0.499858862602169,-0.517127564201493,0.067,0.054,1,PSRC1
0.499858862602169,-1.98963795865939,0.059,0.071,1,ZNF174
0.500035922930582,-1.85251863020727,0.081,0.095,1,CLDND2
0.500159081237705,-0.886021382417795,0.014,0.008,1,KCNJ8
0.500204347278796,1.88908309706142,0.334,0.315,1,LOC648987
0.500738282577769,-0.69818475476997,0.024,0.017,1,RHBDL3
0.500754797214765,-0.340380836711904,0.155,0.137,1,MNS1
0.501161249651663,-0.676621783311877,0.063,0.05,1,TP53I11
0.50139858630065,-0.750358837552888,0.014,0.008,1,HOXA13
0.50139858630065,-1.216274528632,0.014,0.008,1,LOC101928858
0.50139858630065,-0.969548821848238,0.014,0.008,1,MANEA-AS1
0.50139858630065,-1.95105011280941,0.014,0.008,1,MMP11
0.50139858630065,-1.7881673689662,0.014,0.008,1,TCAM1P
0.501445736716554,-2.02511340643735,0.033,0.041,1,RASSF2
0.501497274210666,-0.332571887397349,0.477,0.44,1,TMEM170A
0.501580228347176,-0.664629832646318,0.196,0.216,1,VAV3
0.501993236911731,-1.96237551544529,0.014,0.021,1,NOD2
0.502168294857542,0.296925294599203,0.218,0.245,1,C10orf10
0.502170641734003,-0.949249740695613,0.024,0.033,1,C19orf35
0.502348431267592,-0.804055814630061,0.118,0.1,1,LOC100287846
0.50236546155216,-1.44296643880457,0.029,0.037,1,SAP25
0.502513318524529,0.40349878089911,0.053,0.041,1,LIG1
0.50253684145434,-0.560511295351595,0.096,0.112,1,FAM200A
