gene,F,P.Value,adj.P.Val
ZNF563,2.11380875741481,0.0736528187053754,0.255154407657908
MYL10,2.11362626999891,0.0736754539039581,0.255196219438162
NAALAD2,2.11331057294809,0.0737146282696898,0.255295299196705
SMPD2,2.11306530218561,0.0737450777561973,0.25536413807103
BRAF,2.11296404495914,0.0737576521036594,0.255371068127822
COLCA2,2.11270653597527,0.0737896396905109,0.255433794590575
CCDC28B,2.11258184158429,0.0738051340681968,0.255433794590575
VSNL1,2.1125628351751,0.0738074960645727,0.255433794590575
TMED11P,2.11222529401063,0.0738494559946507,0.255542394074326
FBLN1,2.11212412302872,0.0738620372077007,0.255549317386849
VPS72,2.11139590555234,0.0739526579042978,0.255725058435435
ARIH2,2.11139441041688,0.0739528440746459,0.255725058435435
CRIPAK,2.11136280639801,0.0739567794325872,0.255725058435435
PIBF1,2.11133497346547,0.0739602453832203,0.255725058435435
DOK4,2.11128313865465,0.0739667006428181,0.255725058435435
CDHR1,2.11120559697547,0.0739763583525187,0.255725058435435
PTGS1,2.11024235626023,0.0740964326084801,0.256103482654925
GPX1,2.11005119964272,0.0741202844264126,0.256149267384625
SSRP1,2.10987424540957,0.0741423708862381,0.256161850366037
LOC554206,2.10985208664181,0.0741451370806509,0.256161850366037
SRRD,2.10897267114648,0.0742550014804011,0.256504726938806
SHANK2,2.10876373074162,0.0742811278148423,0.256558284014284
SLC2A13,2.10846755556229,0.0743181777283598,0.256649549138272
EMB,2.1082222151707,0.0743488823127789,0.256718878413231
SYNJ2-IT1,2.10768744387105,0.0744158528978386,0.256913392658876
ANO5,2.10755749159172,0.0744321361076631,0.25693288315112
AKIP1,2.10736714669499,0.0744559929554741,0.256978507838463
SEPN1,2.10669856210544,0.0745398497919762,0.257231174742906
CLASP2,2.10601674234106,0.074625462745832,0.257489828814297
RNF41,2.105008040479,0.0747522989801218,0.257821617109256
LINC01152,2.1050020033399,0.0747530587431226,0.257821617109256
C11orf49,2.10499734594573,0.0747536448729399,0.257821617109256
RHOT2,2.10464748218109,0.074797687967772,0.257936687248086
TAS2R19,2.10454465147021,0.0748106378311438,0.257944516136419
SMIM13,2.10393097145814,0.0748879669575771,0.258128328745623
MRPL48,2.1038924068983,0.0748928290703874,0.258128328745623
MAP2K2,2.10386717877937,0.0748960099304156,0.258128328745623
C6orf163,2.10293050348912,0.0750142041266268,0.258498797584594
RRP8,2.10274970688671,0.0750370391168291,0.258502711525378
ABHD11-AS1,2.10268234377002,0.0750455489754139,0.258502711525378
IL34,2.10266731177941,0.0750474480692232,0.258502711525378
HOMEZ,2.10254062604665,0.0750634550271119,0.258520979505181
ESPNL,2.10241237270755,0.0750796634899195,0.258539936166528
RPS6KC1,2.10207548191822,0.0751222557064108,0.258649728022372
TRIM5,2.10012033104529,0.0753699118471159,0.259465433415535
TMEM121,2.09984832996319,0.0754044296635601,0.259547269440497
PARP4,2.09897886654565,0.0755148721268568,0.259890382798514
PCDH11Y,2.09868217019429,0.0755525961404624,0.259974744902229
FAM193A,2.09861678575653,0.0755609120694591,0.259974744902229
RANBP6,2.0984070399358,0.0755875947222988,0.26001073199314
TSTD3,2.09836533007358,0.0755929019192575,0.26001073199314
LOC101929340,2.09746598277427,0.0757074251487913,0.260367569360495
LRPAP1,2.09717114463557,0.0757450072263885,0.260459732280604
CENPB,2.09644112324226,0.0758381400150761,0.260742860609841
PKD2,2.09624279506338,0.0758634613413936,0.260792795584782
GPR55,2.09558480214133,0.0759475296460471,0.261044639752523
AKAP5,2.09502302227273,0.0760193780948157,0.261254416494605
PTS,2.09484250279821,0.076042479751325,0.261292345099035
TRIO,2.09476772819431,0.0760520509272642,0.261292345099035
TLR1,2.09428719525809,0.07611358770025,0.261466574274518
RMND5B,2.09364494992787,0.0761959100262326,0.261712146596074
IPO13,2.09330719185985,0.0762392387577308,0.261823735776407
PTK6,2.0932069903751,0.0762520976158048,0.261830667289527
LINC00857,2.09259088598983,0.0763312093650711,0.262065060383022
CD163,2.09237513557176,0.0763589322497196,0.262122980475764
CACYBP,2.09212425012897,0.0763911823132391,0.262152679054176
PTPN3,2.09209812327216,0.0763945415622976,0.262152679054176
NMI,2.09205454273486,0.0764001452350576,0.262152679054176
PLTP,2.09179163413878,0.0764339591562995,0.262231451065639
ZNF577,2.09164835324027,0.0764523934104266,0.26225744326687
SYNE3,2.0911346512809,0.0765185214269583,0.262447010511974
STAU1,2.090792079124,0.0765626515559285,0.262561085195278
ARNTL2,2.09062341184971,0.0765843884936374,0.262598344021412
PBLD,2.09049497047639,0.076600945417017,0.262617833166389
ZFAND3,2.08991642362159,0.0766755676516342,0.262807622552271
DUXA,2.08989706736029,0.0766780655043205,0.262807622552271
FNDC4,2.08961589192894,0.0767143591931012,0.262892152895441
MANEAL,2.08953737238161,0.0767244974023917,0.262892152895441
LOC101929420,2.08914592476906,0.0767750596785535,0.262994273884975
BEX1,2.08913803941063,0.076776078547715,0.262994273884975
ZNF576,2.08869372325971,0.076833510313602,0.263153683296147
GNG7,2.08849292274965,0.0768594794509263,0.263205303725822
SVIP,2.08810741628339,0.0769093605274509,0.263338784352073
SRBD1,2.0877452237848,0.0769562540900897,0.26346199929666
LPPR2,2.08761225336116,0.076973477033698,0.263483615475469
SLC25A29,2.08752659663802,0.0769845737023554,0.263484257989654
SLC45A1,2.08725201365867,0.0770201560564086,0.263568692155063
PFN2,2.08716552037806,0.077031367812159,0.263569716215764
TCTEX1D2,2.08661967767078,0.0771021602369813,0.263774571700256
TMEM242,2.08651098788175,0.0771162642924995,0.263781876631412
PSMD5,2.0864349094778,0.0771261380686056,0.263781876631412
GRIPAP1,2.086258066804,0.077149094276411,0.263823031864385
CPT2,2.08604762918907,0.0771764202773702,0.26387911650047
HPRT1,2.08594424684575,0.0771898483049273,0.263887672485337
CREM,2.08526498936382,0.0772781324002771,0.264148491834449
GAPVD1,2.08518901131582,0.0772880135715668,0.264148491834449
PPP6C,2.08503042137725,0.0773086426816061,0.26418161384958
PAQR6,2.08464392197939,0.0773589406213786,0.264316097443508
CENPF,2.08424780327145,0.0774105238899913,0.264419131866942
LRRC2,2.08424421240146,0.0774109916545004,0.264419131866942
EFR3B,2.08328032891663,0.0775366527717396,0.264810912669093
TBCD,2.08299277471437,0.0775741800564443,0.264901621787544
FRMD6-AS1,2.08275417498845,0.0776053321335486,0.264934217135442
PSD3,2.08275163885486,0.0776056633227032,0.264934217135442
IFT81,2.08259523327906,0.0776260907417953,0.264966502216871
ARMCX4,2.08245682181728,0.0776441724552349,0.264990772546459
USP7,2.08232667502681,0.077661178283276,0.265011364661764
PKNOX1,2.08201850889831,0.0777014599286063,0.26509124643854
IPW,2.08197966743355,0.0777065385163277,0.26509124643854
MUM1L1,2.08159513752025,0.0777568341263109,0.265225365718513
BUB3,2.0815077797356,0.0777682647945641,0.265226899122156
