"subtype","mean_preserved","mean_OA","delta","t","p","p_adj"
"EC",0.149454755305672,0.124391195356568,0.0250635599491048,10.6123658980131,5.19220733631154e-12,3.63454513541807e-11
"FC",0.0889956801634238,0.0884950605414188,0.000500619622004964,0.125069222454829,0.901251171370022,0.901251171370022
"HomC",0.187049693102166,0.174685509911744,0.0123641831904219,4.74085476783251,4.21406049302858e-05,5.89968469024001e-05
"HTC",0.100158797137654,0.0802470194238949,0.0199117777137587,5.46970090226803,5.06420265567642e-06,1.1816472863245e-05
"preHTC",0.286749771360122,0.333556872989465,-0.0468071016293431,-6.7623710094354,1.21796506999707e-07,4.26287774498975e-07
"ProC",0.0976857368816443,0.121296301607516,-0.0236105647258715,-4.98012002052729,2.10535221168199e-05,3.68436637044348e-05
"RegC",0.0899055660493181,0.0773280401693939,0.0125775258799242,1.69562342870434,0.0996674683202329,0.116278713040272
