logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
-4.1806759087,0.46619968304,-16.1021179954532,1.29020476051669e-21,2.8064533950759e-17,38.5689640203271,IL1R2
-3.54627589255,0.48970555596,-13.7738323627156,8.4906911640263e-19,9.05123065532201e-15,32.3763463353361,SRGN
3.369430061625,-0.3475600507,13.6258171698103,1.31142686251258e-18,9.05123065532201e-15,31.9585777631335,FOXS1
-1.2982975331,0.13958826352,-13.5450508310959,1.66444109145311e-18,9.05123065532201e-15,31.7293659363341,HDGF
-3.6299429886,0.65090352912,-13.3960368221021,2.58944306272754e-18,1.12651131000899e-14,31.3041434266725,FPR1
1.495372791675,-0.15237418666,12.9990867050496,8.52031600351164e-18,3.08889856180642e-14,30.1566194783089,FBXL2
1.373971227775,-0.16412019378,12.8389790979049,1.38532496337397e-17,4.30479837190152e-14,29.687653448145,RUNX1T1
-1.36595295605,0.07207499516,-12.7563875198625,1.78238913973802e-17,4.53707094955667e-14,29.4443571707954,NUP98
-3.304511804175,0.18800379666,-12.7394321305605,1.87723604937523e-17,4.53707094955667e-14,29.3942940668304,SLC2A5
-1.9745104569,0.24360006448,-12.6170096323873,2.73255259435008e-17,5.87691131216516e-14,29.0316479843261,SLA
-1.109398924875,0.0893419551,-12.5897093886717,2.97195772498238e-17,5.87691131216516e-14,28.9504957469692,SIAH2
-1.8178695959,0.11438404328,-12.4310005810925,4.85185359308117e-17,8.79479327972514e-14,28.4766817936266,TKT
-1.387600280025,0.11210986998,-12.2132330295645,9.55601666539273e-17,1.59894211158171e-13,27.8208867831754,LPCAT3
-1.686312440425,0.24312287766,-12.1124779257172,1.31030386172128e-16,2.03583782858295e-13,27.5152503638878,IRAK3
-2.17398702595,0.27560899924,-12.0692941747339,1.50073927175403e-16,2.17627204261291e-13,27.3838248208627,P2RY8
-1.233136848425,0.13629001826,-11.9101880304986,2.47936357722508e-16,3.37069478323749e-13,26.8973787074417,RPIA
-1.001728386525,0.02401458578,-11.8591959493205,2.91419392285135e-16,3.72879683587426e-13,26.740738093923,ANP32B
-2.616335197075,0.31073461234,-11.458756482915,1.04876831040937e-15,1.2569155052144e-12,25.4982122946457,SLC7A5
-1.4072395928,0.11385395076,-11.44456030459,1.09789419819205e-15,1.2569155052144e-12,25.4537594347334,ANP32E
-2.111903942775,0.32668768578,-11.3863596428884,1.32490385131139e-15,1.44096542868626e-12,25.2712265840064,DHRS13
-1.1565094034,0.12183656728,-11.2487794071463,2.06958082169559e-15,2.14369152540583e-12,24.8379037379257,IL17RA
-1.02632221515,0.11060382588,-11.1475374236435,2.87799126803159e-15,2.84554845737378e-12,24.5173911302231,FAM100B
-2.1611452266,0.22614677372,-11.0950386936068,3.41642441350755e-15,3.2037602615241e-12,24.3506447125325,PGD
-1.75774965925,0.1199737026,-11.0846195002111,3.53485869237672e-15,3.2037602615241e-12,24.3175070763259,LILRB3
1.162589682675,-0.14984511286,11.038165437727,4.11558637366432e-15,3.51465696286689e-12,24.1695847987425,ZNF793
1.7174999799,-0.27298072808,11.0292061825618,4.23824254729954e-15,3.51465696286689e-12,24.1410227277515,LOC648149
-2.699637522375,0.0857189321,-11.0203850920583,4.36262127608524e-15,3.51465696286689e-12,24.1128905898274,LIN7A
-2.91612492275,0.3803493218,-10.9302992600948,5.86514588943504e-15,4.55638047810682e-12,23.8249923128077,SLC22A4
1.605651255325,-0.04354897574,10.8827256838997,6.86016020434563e-15,5.14559326775608e-12,23.6725176963005,B4GALNT1
-1.41815592815,0.08310373248,-10.8354267990981,8.01897981209459e-15,5.81429496242272e-12,23.520624440288,GLRX
1.0963597157,-0.07894369244,10.7905417412585,9.30159140966851e-15,6.52671665622934e-12,23.3762078642048,AFAP1L2
1.82972824075,0.0111182246,10.7681171229839,1.00182438138863e-14,6.80990123248919e-12,23.3039571377611,PTPRD
-1.340844684725,0.15338255222,-10.6945689942768,1.27851178423766e-14,8.42732979719323e-12,23.0665231177675,GYPC
1.279899134475,-0.17708290042,10.6364858740757,1.55079313521928e-14,9.92142714037937e-12,22.8785109503242,ZNF287
-1.3229558729,0.09201371068,-10.5447785600849,2.10529141854262e-14,1.30840854103255e-11,22.5807590977294,BAZ1A
1.294051359575,-0.17779535234,10.5321153817723,2.19623706357162e-14,1.32049575204425e-11,22.539558549313,TPTE2P1
