"subtype","n_pairs","mean_LT","mean_MT","delta_LT_minus_MT","t","p","p_adj"
"EC",20,0.138647609839648,0.063819116536254,0.0748284933033937,7.0943903549763,9.51195840015041e-07,3.32918544005264e-06
"FC",20,0.15334506655744,0.149615923952887,0.00372914260455283,0.322347837105606,0.750709174282809,0.750709174282809
"HomC",20,0.1760515988963,0.106158862150602,0.0698927367456981,5.6922061075117,1.73590605864181e-05,4.05044747016421e-05
"HTC",20,0.135866340932295,0.177232085471394,-0.0413657445390985,-3.2988002262933,0.00377554100985795,0.00440479784483428
"preHTC",20,0.111636382158616,0.239539754188818,-0.127903372030202,-7.69871450013619,2.94990708116433e-07,2.06493495681503e-06
"ProC",20,0.114761698263383,0.170929426633171,-0.0561677283697885,-4.79008532265998,0.000127274037014318,0.000178183651820046
"RegC",20,0.169691303352319,0.0927048310668747,0.0769864722854445,4.99833046571247,7.97966820453358e-05,0.000139644193579338
