logFC,AveExpr,t,P.Value,adj.P.Val,B,gene
-1.5451193185,-0.04523788475,-14.990843039541,3.99903711472942e-13,6.44825032729166e-09,19.9208875464488,C2CD2
1.7020680405,0.15761694825,14.5701097239324,7.12820926245771e-13,6.44825032729166e-09,19.3847541047774,S100A4
-2.2398475215,0.45012681225,-14.4116541888517,8.89332060586382e-13,6.44825032729166e-09,19.1787887853822,MAPT
1.7831552968,0.1029370844,12.8315192243725,9.05335131790208e-12,4.61596043736757e-08,16.9955057509647,C20orf103
2.6175971588,0.6377137436,12.7286519375185,1.06104276327868e-11,4.61596043736757e-08,16.8447567007958,PPEF1
-1.29282638435,0.059532532175,-12.5408462573545,1.42127750873694e-11,4.70273920094134e-08,16.5666612126033,CTF1
-1.6764502285,0.09781475775,-12.3947462910134,1.78830629604208e-11,4.70273920094134e-08,16.3477222988596,GRB14
-1.44380569605,0.118446825275,-12.3779428556188,1.83642488573902e-11,4.70273920094134e-08,16.3223940297597,HOOK2
2.559513792,0.3010545925,12.3413960535282,1.94578212617102e-11,4.70273920094134e-08,16.2672004534699,TNFSF11
-3.313996535,0.0742728595,-12.2095944547548,2.39971457956211e-11,5.0408649213349e-08,16.0669432362092,NPR3
-2.0757483782,0.2292301099,-12.171815506711,2.54916854241835e-11,5.0408649213349e-08,16.0091915271562,LOC152286
-2.8162907485,0.04549194875,-11.9737247079127,3.50741604132196e-11,6.0970090109776e-08,15.7037878280806,ITIH5
-2.821239758,-0.2497596735,-11.931485499669,3.75629334983867e-11,6.0970090109776e-08,15.6380994250912,CA4
-2.05344799085,-0.128921642425,-11.9046067441674,3.92415070585171e-11,6.0970090109776e-08,15.5961943506684,RSPO3
1.6390274998,0.4745537756,11.8030826037449,4.63176042141277e-11,6.7166701791047e-08,15.4371770991496,LOC100130111
1.7520440368,0.4939214541,11.6138327806845,6.32683973460757e-11,8.27722550073945e-08,15.1376156447563,HOMER2
1.29525960615,0.087438272425,11.5375539305056,7.18180927388236e-11,8.27722550073945e-08,15.0157070391074,ANGPT2
-1.9812942009,-0.66713268605,-11.5256609552614,7.32555162198082e-11,8.27722550073945e-08,14.9966387969294,IRS2
-1.381463518,0.2078018155,-11.5106926045832,7.51071864124073e-11,8.27722550073945e-08,14.9726163151854,FIGN
-2.48955750605,0.465160923975,-11.4846353923949,7.84473770824754e-11,8.27722550073945e-08,14.9307350998473,CYP4X1
-1.029863598,-0.1864197035,-11.4735805536024,7.99106912079479e-11,8.27722550073945e-08,14.9129429097709,GAB2
-2.68617123735,-0.231301467825,-11.4235062364122,8.69024461697724e-11,8.59228185947677e-08,14.8321715588246,ACADL
-1.49037804575,0.023752908375,-11.3879520530007,9.22499936889305e-11,8.72444288139834e-08,14.7746427672753,ADHFE1
-1.774759768,0.4470331895,-11.3100067430789,1.05202665096551e-10,9.5348682132507e-08,14.6480005362745,EGFEM1P
-1.25163817475,0.095354055625,-11.2147834402526,1.23628755632749e-10,1.06442722836578e-07,14.4923070344932,SNN
-1.45998733775,0.316718784625,-11.1795958063175,1.31258737233128e-10,1.06442722836578e-07,14.4345000683224,EEPD1
-0.941160346,-0.0250911935,-11.1738191172231,1.32557283039804e-10,1.06442722836578e-07,14.4249958265263,ANKRD40
-1.74298378945,-0.120901860575,-11.154416938018,1.37017112882685e-10,1.06442722836578e-07,14.3930445884077,LRIG1
1.39033251755,0.275395776925,11.0807956624558,1.55406116197008e-10,1.16565304810942e-07,14.27139398041,LOC728763
-1.5382510655,0.13476030825,-11.0554597988475,1.62311626744883e-10,1.17686750165156e-07,14.2293780523424,ALPK3
-1.99426157725,0.696807753875,-11.0202777481123,1.72432745579295e-10,1.2049199890436e-07,14.1709046226099,LINC00116
-1.37341862485,-0.000222491574999992,-10.9916878394182,1.81138648538853e-10,1.2049199890436e-07,14.1232767644747,ALDH4A1
-1.62211847225,0.032894608625,-10.9858916385959,1.82958544005154e-10,1.2049199890436e-07,14.1136087607852,C3orf55
2.1164948185,0.62220640975,10.9461056465652,1.95973529524661e-10,1.2049199890436e-07,14.0471355689481,LHX2
1.5041976833,0.23464063985,10.9338857198984,2.00160897518098e-10,1.2049199890436e-07,14.0266800933815,PRRX2
-1.68868668975,-0.078870494125,-10.9214358440342,2.04522570018465e-10,1.2049199890436e-07,14.0058209099166,RNF157
-2.101208737,-0.180364629,-10.9202136040929,2.04956048154712e-10,1.2049199890436e-07,14.0037720813894,PLIN5
-1.1063105796,-0.0867878545,-10.9040072471197,2.10794694722464e-10,1.20663321042185e-07,13.9765882264839,ESYT1
-1.9357110847,0.34394597465,-10.759361103889,2.71208013919672e-10,1.48609946666762e-07,13.7325336444584,KCNB1
1.9297194625,0.52144489425,10.7550123525059,2.73280519799122e-10,1.48609946666762e-07,13.7251561707547,DIRAS1
-3.3925043028,0.7878133479,-10.7274740761168,2.86791496378737e-10,1.49904211984468e-07,13.6783841424086,CCL8
-1.1340046483,0.15429696585,-10.7222266911919,2.89443586950518e-10,1.49904211984468e-07,13.6694611014571,RNFT2
1.8694116127,-0.11194069515,10.6643934371657,3.20415283034061e-10,1.62085424105974e-07,13.5708899898611,INHBA
1.82754912975,-0.051974985625,10.6350490226576,3.37425179614961e-10,1.66810738795105e-07,13.5207156345922,FZD10
-1.3351813959,-0.15752223365,-10.5695406563031,3.78861490559736e-10,1.81862301810989e-07,13.4083172259226,GPT2
1.36849001145,0.419518722275,10.5610689663715,3.84592951604702e-10,1.81862301810989e-07,13.3937422348234,STXBP6
-1.04330842895,0.081031785275,-10.5421325599763,3.97731544111767e-10,1.82268300003885e-07,13.3611306968315,PRICKLE2
1.1806519586,-0.1928002837,10.535825258072,4.02210297912214e-10,1.82268300003885e-07,13.3502584734128,CD55
1.39418310265,0.307060456675,10.5030795391755,4.26317538985625e-10,1.89250185877864e-07,13.2937322641256,TPBG
-1.20779821755,-0.185112989575,-10.4871529617781,4.3857922465614e-10,1.90146326548848e-07,13.2661905447411,LOC641510
2.7650553225,0.93512432175,10.470293348735,4.51958132745377e-10,1.90146326548848e-07,13.2370003398946,C21orf37
1.64660153785,0.419695336575,10.4520961218449,4.66874051793916e-10,1.90146326548848e-07,13.205453795928,LOC84856
-2.877457289,0.386763452,-10.4454924070813,4.72412358937866e-10,1.90146326548848e-07,13.1939952652084,NPY1R
1.4198410062,-0.1925062401,10.4332232230538,4.82883586290409e-10,1.90146326548848e-07,13.1726915080306,LPPR3
1.88993578205,0.019619170025,10.4321433289039,4.83816673334721e-10,1.90146326548848e-07,13.1708155038112,MEPE
-0.81889458005,0.009868955675,-10.4255810720165,4.89527137124655e-10,1.90146326548848e-07,13.159412289505,LSS
2.6318949759,0.89350661925,10.4022583685024,5.1039410586799e-10,1.94773554225272e-07,13.1188401539896,DIO2
-1.8435969829,0.64055306855,-10.371575282292,5.39259268107067e-10,1.99077126366247e-07,13.0653583310847,ELMOD3
-2.1810978664,0.4835057603,-10.3494486718339,5.61120939844428e-10,1.99077126366247e-07,13.0267161933869,LEPR
1.54248098615,0.491785163925,10.3463607189169,5.64244150882461e-10,1.99077126366247e-07,13.0213183842033,HEY1
-0.8610578478,-0.11774816455,-10.345581982594,5.65034619056408e-10,1.99077126366247e-07,13.0199569435044,ACSS2
1.58800847815,0.344183981425,10.3432270238795,5.67432044626118e-10,1.99077126366247e-07,13.0158393697376,FAM155A
1.6303030777,0.18304727965,10.3236689353008,5.87754676294059e-10,2.02933963789657e-07,12.9816152157272,RSPO4
1.5474099666,0.3254238358,10.3014435526643,6.11767045375615e-10,2.07924324547037e-07,12.9426641383021,HRASLS
-2.86500991455,-0.212735858075,-10.2889337417922,6.25727562426327e-10,2.09397322121499e-07,12.9207122016581,AQP7P3
-1.23204233875,0.030230484375,-10.241378823956,6.81881516408955e-10,2.18920759711679e-07,12.837080285068,NPR1
-2.28210509225,-0.346052272375,-10.2401950550599,6.83344143641966e-10,2.18920759711679e-07,12.8349947492521,MAOB
-2.2670026749,0.2198092227,-10.2371647998125,6.87103057993451e-10,2.18920759711679e-07,12.8296552947742,FREM1
-1.3933774318,0.2020732321,-10.2312965848036,6.9444338084341e-10,2.18920759711679e-07,12.8193118532415,FP588
-1.43887678225,0.186830066375,-10.2144408998993,7.1598269566745e-10,2.22201021782363e-07,12.7895769537922,TCF15
