outcome,n_case,n_ctrl,ivw_se_re,ivw_se_fe,mde_beta_re,mde_beta_fe,mde_OR_re,mde_OR_fe,power_OR_1.1,power_OR_1.2,power_OR_1.5,power_OR_2
"OA (overall, M13_ARTHROSIS)",101454,315115,0.155039894512983,0.0355861952530644,0.434357476685367,0.0996977585898671,1.54397070300577,1.10483694013246,0.0942936569412503,0.217377032457741,0.74385438923894,0.993977148452674
Knee OA (gonarthrosis),61356,315115,0.146550536620305,0.0430821971939197,0.410573817101969,0.120698446822314,1.50768267104694,1.12828462324881,0.0996872905635042,0.237711071077138,0.790099196151511,0.997195330525807
Hip OA (coxarthrosis),30802,315115,0.057231995360828,0.057231995360828,0.160340312206006,0.160340312206006,1.17391029902635,1.17391029902635,0.384281205254048,0.889843188457619,0.999999850933974,1
