donor,n_lateral,n_medial,overall_delta_lateral_minus_medial,det_lateral,det_medial
113,6200,3180,-0.0518610068299869,0.215483870967742,0.414150943396226
116,3785,3547,-0.146826417240252,0.278996036988111,0.532280800676628
118,4640,4876,-0.0727833223140678,0.334051724137931,0.470672682526661
