"gene","n_pairs","mean_preserved","mean_OA","delta_preserved_minus_OA","t","p","OA_vs_healthy_p"
"PIEZO1",33,11.1475284638788,11.4005965163636,-0.253068052484848,-2.63712280423203,0.0127962578419452,0.694060526451463
"COL2A1",33,12.1548980445909,11.9533623715,0.201535673090909,2.84689371629913,0.00764644945813156,0.0530806095573317
"SOX9",33,11.0300495216364,10.9972869936364,0.032762528,0.279222948261436,0.781870495668008,0.113322811551796
"ACAN",33,8.87709861178788,8.79747844268182,0.0796201691060605,0.800051014560648,0.429580844909823,0.866653412172742
"PRG4",0,NA,NA,NA,NA,NA,NA
"MMP13",33,7.71183848218182,7.45155956048485,0.26027892169697,2.49178563983216,0.0180832397946341,0.00132672476496554
"RUNX2",33,7.17386621943939,7.1488608100303,0.0250054094090908,1.02371478416756,0.313647061224139,0.229823642769299
"IL1B",33,7.15042712354545,7.09602341093939,0.0544037126060607,1.01735476149072,0.316615287573643,0.0275431479872851
"TNF",33,7.18162770115152,7.13762583075758,0.0440018703939395,1.12129351870953,0.270507212229951,0.526952496696075
