"","EC","FC","HomC","HTC","preHTC","ProC","RegC"
"113",15.6968471828539,0.125831366967942,23.771269855802,17.0301985658199,-50.973111096721,-15.704966008968,10.0539301342452
"116",55.9303757430918,-62.5944339518257,60.0495099594852,60.9344298426823,-89.4205253248607,-14.1879002232809,-10.7114560452921
"118",27.6917913499627,2.46171786234217,38.5185594192847,35.9737837734862,-87.9800058689922,-24.1221622416101,7.45631570552661
"PIEZO1",-0.0518610068299869,-0.146826417240252,-0.0727833223140678,-0.0518610068299869,-0.146826417240252,-0.0727833223140678,-0.0518610068299869
