outcome,n_snp,ivw_fe_beta,ivw_fe_se,ivw_fe_p,ivw_re_beta,ivw_re_se,ivw_re_p,wm_beta,wm_se,wm_p,egger_slope,egger_slope_se,egger_slope_p,egger_intercept,egger_intercept_se,egger_intercept_p
"OA (overall, M13_ARTHROSIS)",5,-0.0523491517613075,0.0355861952530644,0.141276993364445,0.0206066573137081,0.155039894512983,0.894263002729286,-0.0609912827998178,0.0359892309219236,0.0901305887155482,-0.0144842567240984,0.0595969073071101,0.823646472452098,-0.00908185590092167,0.00893291226943972,0.38416506498459
Knee OA (gonarthrosis),5,-0.0617330914126532,0.0430821971939197,0.151882363419188,-0.0206637952849457,0.146550536620305,0.887869027984651,-0.0675034119905524,0.0438927579872739,0.124068947417851,-0.0436741699090528,0.0719098507582863,0.586507527102536,-0.00432553562491672,0.0107885073173462,0.715313028134589
Hip OA (coxarthrosis),5,-0.0203784570683986,0.057231995360828,0.721789968934779,-0.0203784570683986,0.057231995360828,0.721789968934779,-0.0398608266503082,0.0581632609387673,0.493137884897443,0.0586119208558588,0.0347450192744381,0.190204806619128,-0.0189247261774157,0.00521435482063703,0.0360098446460088
