outcome,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4
OA (overall),8790,1.59140112021828e-138,0.0500612387142967,3.01749088557528e-137,0.949221509764863,0.000717251520855007
Knee OA,8790,9.61622910767269e-140,0.00302500943837805,3.16916043903405e-137,0.996933385465992,4.16050956360228e-05
Hip OA,8790,4.58683525833089e-138,0.144289614914284,2.71697011341001e-137,0.854685374911247,0.00102501017445618
