p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0.045816201101807,-1.29305713310782,0.024,0.042,1,MEX3A
0.205166071463568,-1.294242322943,0.005,0.01,1,TNFSF4
0.945409286549502,-1.29496071777766,0.078,0.078,1,CTDP1
0.552007064994391,-1.29743060605254,0.025,0.02,1,GALNT6
0.695434621478778,-1.29958793424159,0.054,0.058,1,UBE2Q2L
0.300591369211309,-1.30002309945423,0.008,0.014,1,TCP10L
0.900843429470701,-1.30048666638652,0.016,0.017,1,TBXAS1
0.778501943955492,-1.30201203921076,0.017,0.015,1,SCN4B
0.629312035823104,-1.30277236394696,0.024,0.02,1,RAC2
0.530942888385507,-1.30306789087831,0.027,0.022,1,SUSD3
0.822565230516328,-1.30571290118519,0.011,0.01,1,LRMP
0.699062412762807,-1.30574179391109,0.071,0.074,1,ERICH2
0.820491469908806,-1.30575172485408,0.017,0.019,1,CACNA1E
0.583077269473003,-1.30579477518283,0.04,0.046,1,GAPLINC
0.482162061653744,-1.30596378206285,0.026,0.032,1,KBTBD11
0.459935321026421,-1.3070303092811,0.032,0.039,1,ROPN1B
0.917424000963449,-1.30778813579357,0.044,0.044,1,TFAMP1
0.666368985549626,-1.31051726350982,0.008,0.01,1,AGBL4
0.590299791901938,-1.31351331089499,0.047,0.041,1,SHF
0.409967868325546,-1.31459459672829,0.016,0.022,1,UNC13D
0.902230611806845,-1.31586902672872,0.048,0.046,1,RAI1
0.94293144151863,-1.31699822176227,0.04,0.039,1,PRTG
0.118169970970194,-1.31988226299928,0.007,0.015,1,LOC152225
0.912595504403729,-1.32028253803837,0.026,0.027,1,C2CD4A
0.0969991074744066,-1.32274256568237,0.031,0.047,1,ZNRD1-AS1
0.893274227823201,-1.32288696821563,0.019,0.02,1,WDR31
0.276943996315213,-1.32582642161277,0.015,0.008,1,TMEM86B
0.864929275987722,-1.32608764541852,0.052,0.052,1,GPR153
0.458918203868573,-1.32693032210862,0.018,0.024,1,CDS1
0.892035989119784,-1.32866355438762,0.019,0.02,1,KCNMA1-AS3
0.280083246235025,-1.3288967678482,0.046,0.034,1,SLX4
0.985138094682832,-1.32903810517552,0.074,0.073,1,CTSH
0.866783061899379,-1.33030038656639,0.022,0.02,1,MYPOP
0.0570165607528912,-1.33043755453003,0.021,0.037,1,PPP1R1C
0.786706124512109,-1.3314443513417,0.018,0.02,1,ZNF415
0.20721784961443,-1.33594566597684,0.141,0.112,1,ALPL
0.0940348358392235,-1.33676075263714,0.017,0.03,1,SNAI3-AS1
0.284429294922184,-1.33770411602344,0.027,0.019,1,HPN-AS1
0.276943996315213,-1.33787606075787,0.015,0.008,1,EHF
0.957222479174845,-1.33920777979061,0.032,0.032,1,PABPC5
0.964685124669436,-1.33933002014214,0.022,0.022,1,OR7E37P
0.896762915912611,-1.34160675321351,0.016,0.017,1,GS1-259H13.2
0.19765093654659,-1.34166362914816,0.007,0.014,1,ZNF813
0.555633035603159,-1.34183730369775,0.04,0.046,1,POM121L10P
0.660178762593347,-1.3420412284442,0.008,0.01,1,LINC01336
0.0612642469972043,-1.34463452607361,0.055,0.034,1,FRMD4A
0.0777790271658517,-1.34534015201227,0.03,0.015,1,PNPLA3
0.318668679586087,-1.34558301488596,0.007,0.012,1,PRCD
0.645452550505746,-1.34581673825715,0.038,0.042,1,FAM102B
0.319310710076176,-1.34586215472159,0.031,0.022,1,PTENP1-AS
0.341008841512443,-1.34592965146104,0.047,0.058,1,NAT6
0.985750459036691,-1.34692324061131,0.014,0.014,1,LINC00536
0.372757369899408,-1.34745102920343,0.04,0.049,1,KIAA0895L
0.430548269382341,-1.34761552745848,0.031,0.024,1,MMP25-AS1
0.529197696069725,-1.34813136541812,0.03,0.036,1,HOXA3
0.494862264155776,-1.35099434519009,0.031,0.037,1,IL4R
0.92426311424801,-1.35207484050195,0.019,0.019,1,THEMIS2
0.114028720247523,-1.35294714865625,0.005,0.012,1,RNASEH2B-AS1
0.795832512168856,-1.35480378780767,0.022,0.024,1,FAM170B
0.851717145035582,-1.35486637425677,0.024,0.025,1,S1PR1
0.456041874339566,-1.35504021846701,0.048,0.056,1,FAAP24
0.662427090905688,-1.35570720468212,0.008,0.01,1,ZNF418
0.0267454193899737,-1.35745978300759,0.014,0.03,1,CLUHP3
0.973493041672837,-1.35806459320965,0.073,0.073,1,DGKZ
0.101386515761009,-1.35817650229589,0.014,0.025,1,LOC100289561
0.204353491438503,-1.36057226841855,0.126,0.142,1,RUNX2
0.727597385871893,-1.36170125491087,0.01,0.008,1,CXorf58
