"programme","delta_lateral_minus_medial","t","p","p_adj"
"EC",31.890235569002,73.5797311122535,0,0
"FC",-17.1930864166685,-23.3900079601141,9.1038191432558e-120,1.06211223337984e-119
"HomC",39.8539539551614,96.140307148038,0,0
"HTC",36.9066340042552,79.673252187456,0,0
"preHTC",-76.0716762043335,-113.174535504409,0,0
"ProC",-18.4360135600187,-43.762332115032,0,0
"RegC",3.04995265260179,2.9746999225733,0.00293542343394303,0.00293542343394303
