donor,state,prop_lateral,prop_medial,delta_prop
113,EC,0.243225806451613,0.143396226415094,0.0998295800365186
113,FC,0.0685483870967742,0.0452830188679245,0.0232653682288497
113,HomC,0.276774193548387,0.107861635220126,0.168912558328261
113,HTC,0.214032258064516,0.144654088050314,0.0693781700142017
113,preHTC,0.047258064516129,0.377672955974843,-0.330414891458714
113,ProC,0.0504838709677419,0.146540880503145,-0.0960570095354027
113,RegC,0.0996774193548387,0.0345911949685535,0.0650862243862853
116,EC,0.24227212681638,0.0386241894558782,0.203647937360502
116,FC,0.0324966974900925,0.221595714688469,-0.189099017198377
116,HomC,0.289828269484808,0.0293205525796448,0.260507716905164
116,HTC,0.227212681638045,0.0383422610656893,0.188870420572356
116,preHTC,0.0850726552179657,0.516774739216239,-0.431702083998273
116,ProC,0.0319682959048877,0.101494220468001,-0.0695259245631134
116,RegC,0.0911492734478203,0.0538483225260784,0.037300950921742
118,EC,0.192025862068966,0.066447908121411,0.125577953947555
118,FC,0.0553879310344828,0.0242001640689089,0.0311877669655738
118,HomC,0.239870689655172,0.0430680885972108,0.196802601057962
118,HTC,0.296551724137931,0.0824446267432322,0.214107097394699
118,preHTC,0.111422413793103,0.651968826907301,-0.540546413114198
118,ProC,0.0676724137931034,0.116488925348646,-0.048816511555543
118,RegC,0.0370689655172414,0.0153814602132896,0.0216875053039518
